ID;Grafema;IPA;Descripcion;Modo;Punto;Sonoridad;Nasal;Valor
40;ph;/f/;fricativa labiodental sorda (ing/fr);fricativa;labiodental;sorda;no;17

41;v;/v/;fricativa labiodental sonora;fricativa;labiodental;sonora;no;18
41;vv;/v/;fricativa labiodental sonora;fricativa;labiodental;sonora;no;18

42;s;/s/;fricativa alveolar sorda;fricativa;alveolar;sorda;no;15
42;ss;/s/;fricativa alveolar sorda;fricativa;alveolar;sorda;no;15
42;c;/s/;fricativa alveolar sorda (antes de e/i);fricativa;alveolar;sorda;no;15
42;ç;/s/;fricativa alveolar sorda (cat/pt/fr);fricativa;alveolar;sorda;no;15
42;x;/s/;fricativa alveolar sorda (cat);fricativa;alveolar;sorda;no;15

43;z;/z/;fricativa alveolar sonora;fricativa;alveolar;sonora;no;16
43;s;/z/;fricativa alveolar sonora (fr entre vocales);fricativa;alveolar;sonora;no;16
43;x;/z/;fricativa alveolar sonora (pt: ex-);fricativa;alveolar;sonora;no;16

44;x;/ʃ/;fricativa palatal sorda (cat);fricativa;palatal;sorda;no;13
44;sh;/ʃ/;fricativa palatal sorda (ing);fricativa;palatal;sorda;no;13
44;ch;/ʃ/;fricativa palatal sorda (fr);fricativa;palatal;sorda;no;13

45;j;/ʒ/;fricativa palatal sonora (fr);fricativa;palatal;sonora;no;14
45;ge;/ʒ/;fricativa palatal sonora (fr);fricativa;palatal;sonora;no;14
45;gi;/ʒ/;fricativa palatal sonora (fr);fricativa;palatal;sonora;no;14

46;c;/θ/;fricativa dental sorda;fricativa;dental;sorda;no;15
46;z;/θ/;fricativa dental sorda;fricativa;dental;sorda;no;15

47;d͡z;/ð/;fricativa dental sonora;fricativa;dental;sonora;no;16
47;dh;/ð/;fricativa dental sonora (inglés);fricativa;dental;sonora;no;16

48;j;/x/;fricativa velar sorda (es);fricativa;velar;sorda;no;12
48;g;/x/;fricativa velar sorda (antes de e/i);fricativa;velar;sorda;no;12

49;h;/h/;fricativa glotal sorda;fricativa;glotal;sorda;no;10

50;gh;/ɣ/;fricativa velar sonora;fricativa;velar;sonora;no;13

51;r;/ʁ/;fricativa uvular sonora (fr);fricativa;uvular;sonora;no;12

52;rh;/χ/;fricativa uvular sorda (fr);fricativa;uvular;sorda;no;11

53;β;/β/;fricativa bilabial sonora;fricativa;bilabial;sonora;no;19

54;ɸ;/ɸ/;fricativa bilabial sorda;fricativa;bilabial;sorda;no;18

55;ṣ;/ʂ/;fricativa retrofleja sorda;fricativa;retrofleja;sorda;no;15

56;ẓ;/ʐ/;fricativa retrofleja sonora;fricativa;retrofleja;sonora;no;16

57;ch;/t͡ʃ/;africada postalveolar sorda;africada;postalveolar;sorda;no;15
57;tx;/t͡ʃ/;africada postalveolar sorda (eus/cat);africada;postalveolar;sorda;no;15
57;tch;/t͡ʃ/;africada postalveolar sorda (fr/ing);africada;postalveolar;sorda;no;15

58;j;/d͡ʒ/;africada postalveolar sonora (ing);africada;postalveolar;sonora;no;16
58;dg;/d͡ʒ/;africada postalveolar sonora;africada;postalveolar;sonora;no;16
58;dj;/d͡ʒ/;africada postalveolar sonora;africada;postalveolar;sonora;no;16

59;r;/ɾ/;vibrante simple;vibrante;alveolar;sonora;no;14

60;rr;/r/;vibrante múltiple;vibrante;alveolar;sonora;no;14
60;r;/r/;vibrante múltiple (inicio de palabra);vibrante;alveolar;sonora;no;14

61;r̃;/ɾ̃/;vibrante simple nasalizada;vibrante;alveolar;sonora;sí;15

62;l;/l/;lateral alveolar;lateral;alveolar;sonora;no;12
62;ll;/l/;lateral alveolar (cat);lateral;alveolar;sonora;no;12

63;ll;/ʎ/;lateral palatal;lateral;palatal;sonora;no;11
63;lh;/ʎ/;lateral palatal (pt);lateral;palatal;sonora;no;11
63;l·l;/ʎ/;lateral palatal (cat);lateral;palatal;sonora;no;11

64;ł;/ɫ/;lateral velarizada (ing);lateral;velar;sonora;no;10

65;r;/ɹ/;aproximante alveolar inglesa;aproximante;alveolar;sonora;no;11

66;w;/β̞/;aproximante bilabial;aproximante;bilabial;sonora;no;13

67;ð;/ð̞/;aproximante dental;aproximante;dental;sonora;no;11

68;ɰ;/ɰ/;aproximante velar;aproximante;velar;sonora;no;10

69;ʋ;/ʋ/;aproximante labiodental;aproximante;labiodental;sonora;no;12

70;ɻ;/ɻ/;aproximante retrofleja;aproximante;retrofleja;sonora;no;11

71;ɰ;/ɰ/;aproximante velar;aproximante;velar;sonora;no;10

