ID;Grafema;IPA;Descripcion;Valor
56;ẓ;/ʐ/;fricativa retrofleja sonora;16
57;ch;/t͡ʃ/;africada postalveolar sorda;15
57;tx;/t͡ʃ/;africada postalveolar sorda (eus/cat);15
57;tch;/t͡ʃ/;africada postalveolar sorda (fr/ing);15
58;j;/d͡ʒ/;africada postalveolar sonora (ing);16
58;dg;/d͡ʒ/;africada postalveolar sonora;16
58;dj;/d͡ʒ/;africada postalveolar sonora;16
59;r;/ɾ/;vibrante simple;14
60;rr;/r/;vibrante múltiple;14
60;r;/r/;vibrante múltiple (inicio de palabra);14
61;r̃;/ɾ̃/;vibrante simple nasalizada;15
62;l;/l/;lateral alveolar;12
62;ll;/l/;lateral alveolar (cat);12
63;ll;/ʎ/;lateral palatal;11
63;lh;/ʎ/;lateral palatal (pt);11
63;l·l;/ʎ/;lateral palatal (cat);11
64;ł;/ɫ/;lateral velarizada (ing);10
65;r;/ɹ/;aproximante alveolar inglesa;11
66;w;/β̞/;aproximante bilabial;13
67;ð;/ð̞/;aproximante dental;11
68;ɰ;/ɰ/;aproximante velar;10
69;ʋ;/ʋ/;aproximante labiodental;12
70;ɻ;/ɻ/;aproximante retrofleja;11
71;ɰ;/ɰ/;aproximante velar;10
80;´;ˈ;acento primario (tónica);5
81;`;ˌ;acento secundario;3
82;0;0;marca de sílaba átona;0
83;:;ː;alargamiento vocálico;2
84;_;‿;enlace/ligadura;2
85;^;̃͡;nasalización prosódica;4
86;::;ːː;geminación consonántica;5
