ID,Grafema,IPA,Modo,V_Modo,Punto,V_Punto,Sonoridad,V_Sonoridad,Nasal,V_Nasal,Valor,Explicacion
63,ll,/ʎ/,lateral,7,palatal,3,sonora,1,no,0,11,"7 (lateral) + 3 (palatal) + 1 (sonora) = 11"
63,lh,/ʎ/,lateral,7,palatal,3,sonora,1,no,0,11,"Mismos rasgos que /ʎ/ palatal lateral"
63,l·l,/ʎ/,lateral,7,palatal,3,sonora,1,no,0,11,"Grafía catalana, mismos rasgos que /ʎ/"
64,ł,/ɫ/,lateral,7,velar,2,sonora,1,no,0,10,"7 (lateral) + 2 (velar) + 1 (sonora) = 10"
65,r,/ɹ/,aproximante,6,alveolar,4,sonora,1,no,0,11,"6 (aproximante) + 4 (alveolar) + 1 (sonora) = 11"
66,w,/β̞/,aproximante,6,bilabial,6,sonora,1,no,0,13,"6 (aproximante) + 6 (bilabial) + 1 (sonora) = 13"
67,ð,/ð̞/,aproximante,6,dental,4,sonora,1,no,0,11,"6 (aproximante) + 4 (dental) + 1 (sonora) = 11"
68,ɰ,/ɰ/,aproximante,6,velar,2,sonora,1,no,0,9,"6 (aproximante) + 2 (velar) + 1 (sonora) = 9"
69,ʋ,/ʋ/,aproximante,6,labiodental,5,sonora,1,no,0,12,"6 (aproximante) + 5 (labiodental) + 1 (sonora) = 12"
70,ɻ,/ɻ/,aproximante,6,retrofleja,3,sonora,1,no,0,10,"6 (aproximante) + 3 (retrofleja) + 1 (sonora) = 10"
71,ɰ,/ɰ/,aproximante,6,velar,2,sonora,1,no,0,9,"Mismos rasgos que /ɰ/ velar aproximante"
72,ts,/ts/,africada,8,alveolar,4,sorda,0,no,0,12,"8 (africada) + 4 (alveolar) = 12"
73,tz,/ts/,africada,8,alveolar,4,sorda,0,no,0,12,"Mismos rasgos que /ts/ alveolar sorda"
