es;ca-ib;ca-va;ca;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Agustín;Agustí;Agustí;Agustí;Agostiño;Agustin;Agostinho;Agostinho;Augustine;Augustine;Augustine;Augustin;M
Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;Aitor;M
Alba;Alba;Alba;Alba;Alba;Albe;Alba;Alba;Dawn;Dawn;Alba;Albe;F
Alberto;Albert;Albert;Albert;Alberte;Alberto;Alberto;Alberto;Albert;Albert;Albert;Albert;M
Albino;Albí;Albí;Albí;Albino;Albin;Albino;Albino;Albin;Albin;Albin;Albin;M
Alceo;Alceu;Alceu;Alceu;Alceo;Alzeo;Alceu;Alceu;Alcaeus;Alcaeus;Alcaeus;Alcée;M
Alceón;Alcíon;Alcíon;Alcíon;Alción;Alzion;Alcíone;Alcíone;Alcyone;Alcyone;Alcyone;Alcyon;U
Alegría;Alegria;Alegria;Alegria;Alegría;Alaitz;Alegria;Alegria;Joy;Joy;Joy;Allégresse;F
Aleix;Aleix;Aleix;Aleix;Aleixo;Aleix;Aleixo;Aleixo;Alexis;Alexis;Alexis;Alexis;M
Alejandro;Alexandre;Alexandre;Alexandre;Alexandro;Alexandro;Alexandre;Alexandre;Alexander;Alexander;Alexander;Alexandre;M
Alejo;Aleix;Aleix;Aleix;Aleixo;Alejo;Aleixo;Aleixo;Alexis;Alexis;Alexis;Alexis;M
Alfonso;Alfons;Alfons;Alfons;Afonso;Alfontso;Afonso;Afonso;Alphonse;Alphonse;Alphonse;Alphonse;M
Alicia;Alícia;Alícia;Alícia;Alicia;Alizia;Alice;Alice;Alice;Alice;Alicia;Alice;F
Alipia;Alípia;Alípia;Alípia;Alípia;Alipia;Alípia;Alípia;Alypia;Alypia;Alypia;Alypie;F
Alipiana;Alipiana;Alipiana;Alipiana;Alipiana;Alipiana;Alipiana;Alipiana;Alypiana;Alypiana;Alypiana;Alypiane;F
Alipio;Alipi;Alipi;Alipi;Alipio;Alipio;Alípio;Alípio;Alypius;Alypius;Alypius;Alype;M
Alodia;Alòdia;Alòdia;Alòdia;Alodia;Alode;Alódia;Alódia;Alodia;Alodia;Alodia;Alodie;F
Alpidia;Alpídia;Alpídia;Alpídia;Alpidia;Alpidia;Alpídia;Alpídia;Alpidia;Alpidia;Alpidia;Alpidie;F
Alpidio;Alpidi;Alpidi;Alpidi;Alpidio;Alpidio;Alpídio;Alpídio;Alpidius;Alpidius;Alpidius;Alpide;M
Álvaro;Àlvar;Àlvar;Àlvar;Álvaro;Albaro;Álvaro;Álvaro;Alvaro;Alvaro;Alvaro;Alvare;M
Amabilia;Amàbil;Amàbil;Amàbil;Amabilia;Amabile;Amável;Amável;Amabilia;Amabilia;Amabilia;Amabile;F
Amado;Amat;Amat;Amat;Amado;Amado;Amado;Amado;Amatus;Amatus;Amatus;Aimé;M
Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;Amaia;F
Amalia;Amàlia;Amàlia;Amàlia;Amalia;Amale;Amália;Amália;Amalia;Amalia;Amalia;Amélie;F
Amancina;Amancina;Amancina;Amancina;Amancina;Amanzine;Amancina;Amancina;Amancina;Amancina;Amancina;Amancine;F
Amancio;Amanci;Amanci;Amanci;Amancio;Amanzio;Amâncio;Amâncio;Amantius;Amantius;Amantius;Amance;M
Amando;Amant;Amant;Amant;Amando;Amando;Amando;Amando;Amandus;Amandus;Amandus;Amand;M
Ambrosio;Ambròs;Ambròs;Ambròs;Ambrosio;Ambroos;Ambrósio;Ambrósio;Ambrose;Ambrose;Ambrose;Ambroise;M
Amelia;Amèlia;Amèlia;Amèlia;Amelia;Amelia;Amélia;Amélia;Amelia;Amelia;Amelia;Amélie;F
Amelina;Amelina;Amelina;Amelina;Amelina;Ameline;Amelina;Amelina;Amelina;Amelina;Amelina;Améline;F
Amparo;Empar;Empar;Empar;Amparo;Babes;Amparo;Amparo;Amparo;Amparo;Amparo;Amparo;F
Ana;Anna;Anna;Anna;Ana;Ane;Ana;Ana;Anne;Anne;Anna;Anne;F
Anaís;Anaís;Anaís;Anaís;Anaís;Anais;Anaís;Anaís;Anais;Anais;Anais;Anaïs;F
Andrea;Andreu;Andreu;Andreu;Andrea;Andrea;Andreia;Andreia;Andrea;Andrea;Andrea;Andrée;U
Andrés;Andreu;Andreu;Andreu;André;Ander;André;André;Andrew;Andrew;Dre;André;M
Anfiloquio;Anfiloqui;Anfiloqui;Anfiloqui;Anfiloquio;Anfilokio;Anfilóquio;Anfilóquio;Amphilochius;Amphilochius;Amphilochius;Amphiloque;M
Ángel;Àngel;Àngel;Àngel;Anxo;Aingeru;Ângelo;Ângelo;Angel;Angel;Angel;Ange;M
Angélica;Angèlica;Angèlica;Angèlica;Anxélica;Angelike;Angélica;Angélica;Angelica;Angelica;Angelica;Angélique;F
Aniceto;Anicet;Anicet;Anicet;Aniceto;Anizeto;Aniceto;Aniceto;Anicetus;Anicetus;Anicetus;Anicet;M
Anselma;Anselma;Anselma;Anselma;Anselma;Antselme;Anselma;Anselma;Anselma;Anselma;Anselma;Anselme;F
Anselmo;Anselm;Anselm;Anselm;Anselmo;Antselmo;Anselmo;Anselmo;Anselm;Anselm;Anselm;Anselme;M
Antero;Anter;Anter;Anter;Antero;Antero;Antero;Antero;Anterus;Anterus;Anterus;Antère;M
Antígona;Antígona;Antígona;Antígona;Antígona;Antigone;Antígona;Antígona;Antigone;Antigone;Antigone;Antigone;F
Antígono;Antígon;Antígon;Antígon;Antígono;Antigono;Antígono;Antígono;Antigonus;Antigonus;Antigonus;Antigone;M
Antíoco;Antíoc;Antíoc;Antíoc;Antíoco;Antioko;Antíoco;Antíoco;Antiochus;Antiochus;Antiochus;Antioche;M
Antolín;Antolí;Antolí;Antolí;Antolín;Antolin;Antolím;Antolím;Antolinus;Antolinus;Antolinus;Antolin;M
Antonia;Antònia;Antònia;Antònia;Antonia;Antone;Antónia;Antônia;Antonia;Antonia;Antonia;Antoinette;F
Antonio;Antoni;Antoni;Antoni;Antón;Antoni;António;Antônio;Anthony;Anthony;Tony;Antoine;M
Antusa;Antusa;Antusa;Antusa;Antusa;Antusa;Antusa;Antusa;Anthusa;Anthusa;Anthusa;Anthuse;F
Anunciación;Anunciació;Anunciació;Anunciació;Anunciación;Iragune;Anunciação;Anunciação;Annunciation;Annunciation;Annunciation;Annonciation;F
Apolonia;Apol·lònia;Apol·lònia;Apol·lònia;Apolonia;Polone;Apolónia;Apolônia;Apollonia;Apollonia;Apollonia;Apolline;F
Araceli;Araceli;Araceli;Araceli;Araceli;Aratxeli;Araceli;Araceli;Araceli;Araceli;Araceli;Araceli;F
Aracelio;Araceli;Araceli;Araceli;Aracelio;Aratxelio;Aracélio;Aracélio;Aracelius;Aracelius;Aracelius;Aracèle;M
Arcadio;Arcadi;Arcadi;Arcadi;Arcadio;Arkadi;Arcádio;Arcádio;Arcadius;Arcadius;Arcadius;Arcade;M
Arcelia;Arcèlia;Arcèlia;Arcèlia;Arcelia;Arzelia;Arcélia;Arcélia;Arcelia;Arcelia;Arcelia;Arcélie;F
Ariadna;Ariadna;Ariadna;Ariadna;Ariadna;Ariadne;Ariadne;Ariadne;Ariadne;Ariadne;Ariadna;Ariane;F
Aristea;Aristea;Aristea;Aristea;Aristea;Aristea;Aristeia;Aristeia;Aristea;Aristea;Aristea;Aristée;F
Aristeo;Aristeu;Aristeu;Aristeu;Aristeo;Aristeo;Aristeu;Aristeu;Aristaeus;Aristaeus;Aristeo;Aristée;M
Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnau;Arnaud;M
Arsenia;Arsènia;Arsènia;Arsènia;Arsenia;Arsenie;Arsénia;Arsênia;Arsenia;Arsenia;Arsenia;Arsénie;F
Arsenio;Arseni;Arseni;Arseni;Arsenio;Arsenio;Arsénio;Arsênio;Arsenius;Arsenius;Arsenio;Arsène;M
Arturo;Artur;Artur;Artur;Artur;Artur;Artur;Artur;Arthur;Arthur;Arturo;Arthur;M
Asunción;Assumpció;Assumpció;Assumpció;Asunción;Agurne;Assunção;Assunção;Assumption;Assumption;Assumption;Assomption;F
Atanasio;Atanasi;Atanasi;Atanasi;Atanasio;Atanasi;Atanásio;Atanásio;Athanasius;Athanasius;Atanasio;Athanase;M
Aurelia;Aurèlia;Aurèlia;Aurèlia;Aurelia;Aurele;Aurélia;Aurélia;Aurelia;Aurelia;Aurelia;Aurélie;F
Aurelio;Aureli;Aureli;Aureli;Aurelio;Aurelio;Aurélio;Aurélio;Aurelius;Aurelius;Aurelio;Aurèle;M
Aurestano;Aurestà;Aurestà;Aurestà;Aurestano;Aurestano;Aurestano;Aurestano;Aurestan;Aurestan;Aurestano;Aurestan;M
Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestina;Aurestine;F
Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Aurora;Aurore;F
Auxencio;Auxenci;Auxenci;Auxenci;Auxencio;Auxentzio;Auxêncio;Auxêncio;Auxentius;Auxentius;Auxencio;Auxence;M
Auxentia;Auxència;Auxència;Auxència;Auxencia;Auxentze;Auxência;Auxência;Auxentia;Auxentia;Auxentia;Auxence;F
Auxentio;Auxenci;Auxenci;Auxenci;Auxentio;Auxentzio;Auxêncio;Auxêncio;Auxentius;Auxentius;Auxentio;Auxence;M
Auxibio;Auxibi;Auxibi;Auxibi;Auxibio;Auxibio;Auxíbio;Auxíbio;Auxibius;Auxibius;Auxibio;Auxibe;M
Auxilia;Auxília;Auxília;Auxília;Auxilia;Auxilia;Auxília;Auxília;Auxilia;Auxilia;Auxilia;Auxilie;F
Auxilio;Auxili;Auxili;Auxili;Auxilio;Auxilio;Auxílio;Auxílio;Auxilio;Auxilio;Auxilio;Auxile;M
Avelino;Avel·lí;Avel·lí;Avel·lí;Avelino;Abellin;Avelino;Avelino;Avelino;Avelino;Avelino;Avelin;M
Baldomera;Baldomera;Baldomera;Baldomera;Baldomera;Baldomere;Baldomera;Baldomera;Baldomera;Baldomera;Baldomera;Baldomère;F
Baldomero;Baldomer;Baldomer;Baldomer;Baldomero;Baldomer;Baldomero;Baldomero;Baldomer;Baldomer;Baldomero;Baldomère;M
Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Baltasar;Balthazar;Balthazar;Baltasar;Balthazar;M
Bárbara;Bàrbara;Bàrbara;Bàrbara;Bárbara;Barbare;Bárbara;Bárbara;Barbara;Barbara;Barbara;Barbe;F
Bartola;Bartola;Bartola;Bartola;Bartola;Bartole;Bartola;Bartola;Bartola;Bartola;Bartola;Bartole;F
Bartolomé;Bartomeu;Bartomeu;Bartomeu;Bartolomeu;Bartolome;Bartolomeu;Bartolomeu;Bartholomew;Bartholomew;Bart;Barthélemy;M
Basilio;Basili;Basili;Basili;Basilio;Basilio;Basílio;Basílio;Basil;Basil;Basilio;Basile;M
Basilisa;Basilissa;Basilissa;Basilissa;Basilisa;Basilise;Basilissa;Basilissa;Basilissa;Basilissa;Basilisa;Basilisse;F
Baudilio;Baudili;Baudili;Baudili;Baudilio;Baudilio;Baudílio;Baudílio;Baudilius;Baudilius;Baudilio;Baudile;M
Beatriz;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Beatriz;Beatriz;Beatrice;Beatrice;Beatriz;Béatrice;F
Begoña;Begonya;Begonya;Begonya;Begoña;Begoña;Begoña;Begoña;Begona;Begona;Begona;Begoña;F
Belén;Betlem;Betlem;Betlem;Belén;Belen;Belém;Belém;Belen;Belen;Belen;Bethléem;F
Belisario;Belisari;Belisari;Belisari;Belisario;Belisario;Belisário;Belisário;Belisarius;Belisarius;Belisario;Bélisaire;M
Belisenda;Elisenda;Elisenda;Elisenda;Belisenda;Belisenda;Belisenda;Belisenda;Belisenda;Belisenda;Belisenda;Mélisande;F
Beltrán;Bertran;Bertran;Bertran;Beltrán;Beltran;Beltrão;Beltrão;Bertram;Bertram;Beltran;Bertrand;M
Benigno;Benigne;Benigne;Benigne;Benigno;Benigno;Benigno;Benigno;Benignus;Benignus;Benigno;Bénigne;M
Benildo;Benild;Benild;Benild;Benildo;Benildo;Benildo;Benildo;Benildus;Benildus;Benildo;Bénilde;M
Benito;Benet;Benet;Benet;Benito;Benedito;Bento;Bento;Benedict;Benedict;Benny;Benoît;M
Benjamín;Benjamí;Benjamí;Benjamí;Benjamín;Benjamin;Benjamim;Benjamim;Benjamin;Benjamin;Benji;Benjamin;M
Berta;Berta;Berta;Berta;Berta;Berta;Berta;Berta;Bertha;Bertha;Berta;Berthe;F
Blanca;Blanca;Blanca;Blanca;Branca;Zuria;Branca;Branca;Blanche;Blanche;Blanca;Blanche;F
Bonifacio;Bonifaci;Bonifaci;Bonifaci;Bonifacio;Bonifazio;Bonifácio;Bonifácio;Boniface;Boniface;Bonifacio;Boniface;M
Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonosa;Bonose;F
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;M
Calepodio;Calepodi;Calepodi;Calepodi;Calepodio;Kalepodio;Calepódio;Calepódio;Calepodius;Calepodius;Calepodio;Calépode;M
Calínico;Cal·línic;Cal·línic;Cal·línic;Calínico;Kaliniko;Calínico;Calínico;Callinicus;Callinicus;Calínico;Callinique;M
Calíope;Cal·líope;Cal·líope;Cal·líope;Calíope;Kaliope;Calíope;Calíope;Calliope;Calliope;Calíope;Calliope;F
Calístrata;Cal·lístrata;Cal·lístrata;Cal·lístrata;Calístrata;Kalistrata;Calístrata;Calístrata;Callistrata;Callistrata;Calístrata;Callistrate;F
Calístrato;Cal·lístrat;Cal·lístrat;Cal·lístrat;Calístrato;Kalistrato;Calístrato;Calístrato;Callistratus;Callistratus;Calístrato;Callistrate;M
Calixta;Calista;Calista;Calista;Calixta;Kalixta;Calixta;Calixta;Callista;Callista;Calixta;Callixte;F
Calixto;Calist;Calist;Calist;Calixto;Kalixto;Calixto;Calixto;Callixtus;Callixtus;Calixto;Callixte;M
Candelaria;Candelària;Candelària;Candelària;Candelaria;Kandelerio;Candelária;Candelária;Candelaria;Candelaria;Candelaria;Chandeleur;F
Cándida;Càndida;Càndida;Càndida;Cándida;Kandida;Cândida;Cândida;Candida;Candida;Candida;Candide;F
Cándido;Càndid;Càndid;Càndid;Cándido;Kandido;Cândido;Cândido;Candidus;Candidus;Candido;Candide;M
Caridad;Caritat;Caritat;Caritat;Caridade;Karitate;Caridade;Caridade;Charity;Charity;Charity;Charité;F
Carlos;Carles;Carles;Carles;Carlos;Karlos;Carlos;Carlos;Charles;Charles;Charlie;Charles;M
Carmen;Carme;Carme;Carme;Carme;Karmen;Carmo;Carmo;Carmen;Carmen;Carmen;Carmen;F
Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Carolina;Caroline;Caroline;Carol;Caroline;F
Casilda;Casilda;Casilda;Casilda;Casilda;Kasilda;Casilda;Casilda;Casilda;Casilda;Casilda;Casilde;F
Casimiro;Casimir;Casimir;Casimir;Casimiro;Kasimir;Casimiro;Casimiro;Casimir;Casimir;Casimiro;Casimir;M
Cástor;Càstor;Càstor;Càstor;Cástor;Kastor;Cástor;Cástor;Castor;Castor;Castor;Castor;M
Cecilia;Cecília;Cecília;Cecília;Cecilia;Zezilia;Cecília;Cecília;Cecilia;Cecilia;Cecilia;Cécile;F
Celerina;Celerina;Celerina;Celerina;Celerina;Kelerina;Celerina;Celerina;Celerina;Celerina;Celerina;Célérine;F
Celestino;Celestí;Celestí;Celestí;Celestino;Zelestino;Celestino;Celestino;Celestine;Celestine;Celestino;Célestin;M
Celia;Cèlia;Cèlia;Cèlia;Celia;Zelia;Célia;Célia;Celia;Celia;Celia;Célia;F
César;Cèsar;Cèsar;Cèsar;César;Zesar;César;César;Caesar;Caesar;Cesar;César;M
Cesáreo;Cesari;Cesari;Cesari;Cesáreo;Zesario;Cesário;Cesário;Caesarius;Caesarius;Cesáreo;Césaire;M
Cipriana;Cipriana;Cipriana;Cipriana;Cipriana;Kipriane;Cipriana;Cipriana;Cipriana;Cipriana;Cipriana;Cyprienne;F
Cipriano;Ciprià;Ciprià;Ciprià;Cipriano;Kiprian;Cipriano;Cipriano;Cyprian;Cyprian;Cipriano;Cyprien;M
Cirenia;Cirena;Cirena;Cirena;Cirenia;Kirenia;Cirena;Cirena;Cyrenia;Cyrenia;Cirenia;Cyrénie;F
Ciriaca;Ciriaca;Ciriaca;Ciriaca;Ciriaca;Kiriake;Ciriaca;Ciriaca;Cyriaca;Cyriaca;Ciriaca;Cyriaque;F
Ciriaco;Ciriac;Ciriac;Ciriac;Ciriaco;Kiriako;Ciriaco;Ciriaco;Cyriacus;Cyriacus;Ciriaco;Cyriaque;M
Ciril·lo;Ciril;Ciril;Ciril;Cirilo;Ziril;Cirilo;Cirilo;Cyril;Cyril;Ciril;Cyrille;M
Cirilo;Ciril;Ciril;Ciril;Cirilo;Ziril;Cirilo;Cirilo;Cyril;Cyril;Ciril;Cyrille;M
Ciro;Cir;Cir;Cir;Ciro;Ziro;Ciro;Ciro;Cyrus;Cyrus;Ciro;Cyrus;M
Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Clara;Clara;Clara;Claire;F
Claudia;Clàudia;Clàudia;Clàudia;Claudia;Klaudia;Cláudia;Cláudia;Claudia;Claudia;Claudia;Claudie;F
Clemente;Clement;Clement;Clement;Clemente;Klemente;Clemente;Clemente;Clement;Clement;Clemente;Clément;M
Clímaco;Clímac;Clímac;Clímac;Clímaco;Klimako;Clímaco;Clímaco;Climachus;Climachus;Clímaco;Climaque;M
Clodoaldo;Clodoald;Clodoald;Clodoald;Clodoaldo;Klodoaldo;Clodoaldo;Clodoaldo;Clodoald;Clodoald;Clodoaldo;Clodoald;M
Clorinda;Clorinda;Clorinda;Clorinda;Clorinda;Klorinda;Clorinda;Clorinda;Clorinda;Clorinda;Clorinda;Clorinde;F
Clotario;Clotari;Clotari;Clotari;Clotario;Klotario;Clotário;Clotário;Lothair;Lothair;Clotario;Clotaire;M
Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;Klotilde;Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;F
Concepción;Concepció;Concepció;Concepció;Concepción;Kontzesi;Conceição;Conceição;Conception;Conception;Conception;Conception;F
Consuelo;Consolació;Consolació;Consolació;Consuelo;Kontsuelo;Consolação;Consolação;Consuelo;Consuelo;Consuelo;Consolation;F
Crescencia;Crescència;Crescència;Crescència;Crescencia;Krezentzi;Crescência;Crescência;Crescencia;Crescencia;Crescencia;Crescence;F
Crescenciana;Crescenciana;Crescenciana;Crescenciana;Crescenciana;Krezentzi;Crescenciana;Crescenciana;Crescenciana;Crescenciana;Crescenciana;Crescenciane;F
Crescencio;Crescenci;Crescenci;Crescenci;Crescencio;Krezentzio;Crescêncio;Crescêncio;Crescencius;Crescencius;Crescencio;Crescence;M
Cristian;Cristià;Cristià;Cristià;Cristian;Kristian;Cristian;Cristian;Christian;Christian;Christian;Christian;M
Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christina;Christina;Christina;Christine;F
Cristóbal;Cristòfol;Cristòfol;Cristòfol;Cristovo;Kristobal;Cristóvão;Cristóvão;Christopher;Christopher;Chris;Christophe;M
Daciano;Dacià;Dacià;Dacià;Daciano;Dakiano;Daciano;Daciano;Dacian;Dacian;Daciano;Dacien;M
Damián;Damià;Damià;Damià;Damián;Damian;Damião;Damião;Damian;Damian;Damian;Damien;M
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;M
Daniela;Daniela;Daniela;Daniela;Daniela;Daniele;Daniela;Daniela;Daniela;Daniela;Daniela;Danielle;F
Darío;Darius;Darius;Darius;Darío;Dario;Dário;Dário;Darius;Darius;Darius;Darius;M
David;David;David;David;David;Dabid;David;David;David;David;David;David;M
Demetria;Demètria;Demètria;Demètria;Demetria;Demetre;Demétria;Demétria;Demetria;Demetria;Demetria;Démétrie;F
Demetrio;Demètri;Demètri;Demètri;Demetrio;Demetrio;Demétrio;Demétrio;Demetrius;Demetrius;Demetrius;Démétrius;M
Desiderio;Desideri;Desideri;Desideri;Desiderio;Desiderio;Desidério;Desidério;Desiderius;Desiderius;Desiderio;Désiré;M
Diego;Diego;Diego;Diego;Diego;Diegotxo;Diogo;Diogo;Diego;Diego;Diego;Diègue;M
Diodoro;Diodor;Diodor;Diodor;Diodoro;Diodoro;Diodoro;Diodoro;Diodorus;Diodorus;Diodoro;Diodore;M
Dionisio;Dionís;Dionís;Dionís;Dionisio;Dionosio;Dionísio;Dionísio;Dionysius;Dionysius;Dionisio;Denis;M
Dolores;Dolors;Dolors;Dolors;Dores;Nekane;Dores;Dores;Dolores;Dolores;Dolores;Dolorès;F
Domiciano;Domicià;Domicià;Domicià;Domiciano;Domiziano;Domiciano;Domiciano;Domitian;Domitian;Domiciano;Domitien;M
Domicio;Domici;Domici;Domici;Domicio;Domizio;Domício;Domício;Domitius;Domitius;Domicio;Domice;M
Domingo;Diumenge;Diumenge;Diumenge;Domingos;Txomin;Domingos;Domingos;Dominic;Dominic;Domingo;Dominique;M
Domitila;Domitil·la;Domitil·la;Domitil·la;Domitila;Domitila;Domitila;Domitila;Domitilla;Domitilla;Domitila;Domitille;F
Donaciana;Donaciana;Donaciana;Donaciana;Donaciana;Donaziana;Donaciana;Donaciana;Donaciana;Donaciana;Donaciana;Donaciane;F
Donaciano;Donacià;Donacià;Donacià;Donaciano;Donaziana;Donaciano;Donaciano;Donacian;Donacian;Donaciano;Donacien;M
Donaldo;Donald;Donald;Donald;Donaldo;Donald;Donaldo;Donaldo;Donald;Donald;Donald;Donald;M
Donato;Donat;Donat;Donat;Donato;Donato;Donato;Donato;Donatus;Donatus;Donato;Donat;M
Doniana;Doniana;Doniana;Doniana;Doniana;Doniane;Doniana;Doniana;Doniana;Doniana;Doniana;Doniane;F
Doniano;Donià;Donià;Donià;Doniano;Doniano;Doniano;Doniano;Donian;Donian;Doniano;Donien;M
Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmira;Edelmire;F
Edesia;Edèsia;Edèsia;Edèsia;Edesia;Edesia;Edésia;Edésia;Edesia;Edesia;Edesia;Edésie;F
Edesina;Edesina;Edesina;Edesina;Edesina;Edesina;Edesina;Edesina;Edesina;Edesina;Edesina;Edesine;F
Edesio;Edesi;Edesi;Edesi;Edesio;Edesio;Edésio;Edésio;Edesius;Edesius;Edesio;Edesie;M
Edgardo;Edgard;Edgard;Edgard;Edgardo;Edgard;Edgardo;Edgardo;Edgar;Edgar;Edgar;Edgard;M
Eduardo;Eduard;Eduard;Eduard;Eduardo;Eduard;Eduardo;Eduardo;Edward;Edward;Eddie;Édouard;M
Efigenia;Efigènia;Efigènia;Efigènia;Efixenia;Efigenia;Efigénia;Efigênia;Iphigenia;Iphigenia;Efigenia;Iphigénie;F
Eladio;Eladi;Eladi;Eladi;Eladio;Eladio;Eládio;Eládio;Eladius;Eladius;Eladio;Élade;M
Elena;Elena;Elena;Elena;Elena;Helene;Helena;Helena;Helen;Helen;Elena;Hélène;F
Eleonora;Elionor;Elionor;Elionor;Eleonora;Eleonora;Eleonora;Eleonora;Eleanor;Eleanor;Eleonora;Éléonore;F
Eleuterio;Eleuteri;Eleuteri;Eleuteri;Eleuterio;Eleuterio;Eleutério;Eleutério;Eleutherius;Eleutherius;Eleuterio;Eleuthère;M
Eloísa;Eloïsa;Eloïsa;Eloïsa;Eloísa;Eloisa;Eloísa;Eloísa;Eloise;Eloise;Eloisa;Éloïse;F
Eloy;Eloi;Eloi;Eloi;Eloi;Eloi;Eloi;Eloi;Loy;Loy;Eloy;Éloi;M
Elpidio;Elpidi;Elpidi;Elpidi;Elpidio;Elpidio;Elpídio;Elpídio;Elpidius;Elpidius;Elpidio;Elpide;M
Elvira;Elvira;Elvira;Elvira;Elvira;Elbira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvire;F
Emerenciana;Emerenciana;Emerenciana;Emerenciana;Emerenciana;Emerentziane;Emerenciana;Emerenciana;Emerentiana;Emerentiana;Emerenciana;Émerentienne;F
Emerico;Emeric;Emeric;Emeric;Emerico;Emeriko;Américo;Américo;Emery;Emery;Emeric;Émeric;M
