fr;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en_gb;en-us;en-us-af;Género
Élina;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Elaina;Elaina;Elaina;F
Élisabeth;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;F
Élise;Elisabet;Elisabet;Elisabet;Elisa;Elisa;Elise;Elisa;Elisa;Elise;Elise;Lisa;F
Élodie;Elòdia;Elòdia;Elòdia;Elodia;Elodia;Elodie;Elódia;Elódia;Elodie;Elodie;Elodie;F
Éloi;Eloi;Eloi;Eloi;Eloy;Eloi;Eloi;Elói;Elói;Eloy;Eloy;Eloy;M
Éloïse;Eloïsa;Eloïsa;Eloïsa;Eloísa;Eloísa;Eloisa;Eloísa;Eloísa;Eloise;Eloise;Eloise;F
Émeric;Amalric;Amalric;Amalric;Américo;Américo;Ameriko;Américo;Américo;Americus;Americo;Aymeric;M
Émile;Emili;Emili;Emili;Emilio;Emilio;Emili;Emílio;Emílio;Emil;Emil;Emil;M
Émilie;Emília;Emília;Emília;Emilia;Emilia;Emile;Emília;Emília;Emily;Emily;Emmy;F
Emmanuelle;Manuela;Manuela;Manuela;Manuela;Manuela;Imanol;Manuela;Manuela;Emmanuelle;Emmanuelle;Emmanuelle;F
Enguerrand;Enguerrand;Enguerrand;Enguerrand;Enguerrando;Enguerrando;Enguerrand;Enguerrando;Enguerrando;Enguerrand;Enguerrand;Enguerrand;M
Énora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;F
Éric;Èric;Èric;Èric;Eric;Eric;Erika;Erico;Érico;Eric;Eric;Erik;M
Erwan;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn;M
Esmée;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Esme;Esme;Esme;F
Estelle;Estel;Estel;Estel;Estrella;Estrela;Izar;Estela;Estrela;Stella;Stella;Stella;F
Étienne;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Stephen;Stephen;Steve;M
Eugénie;Eugènia;Eugènia;Eugènia;Eugenia;Euxenia;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Genie;F
Eulalie;Eulàlia;Eulàlia;Eulàlia;Eulalia;Olaia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia;F
Eusèbe;Eusebi;Eusebi;Eusebi;Eusebio;Eusebio;Eusebio;Eusébio;Eusébio;Eusebius;Eusebius;Eusebius;M
Fabien;Fabià;Fabià;Fabià;Fabián;Fabián;Fabian;Fabião;Fabião;Fabian;Fabian;Fabian;M
Fabienne;Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;Fabiane;Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;F
Fabrice;Fabrici;Fabrici;Fabrici;Fabricio;Fabricio;Fabrizio;Fabrício;Fabrício;Fabricius;Fabricio;Fabricio;M
Fanny;Francesca;Francesca;Francesca;Francisca;Francisca;Frantzeska;Francisca;Francisca;Frances;Frances;Frani;F
Félix;Fèlix;Fèlix;Fèlix;Félix;Félix;Felix;Félix;Félix;Felix;Felix;Felix;M
Firmin;Fermí;Fermí;Fermí;Fermín;Fermín;Fermin;Fermim;Fermim;Firmin;Firmin;Firmin;M
Flavie;Flàvia;Flàvia;Flàvia;Flavia;Flavia;Flabia;Flávia;Flávia;Flavia;Flavia;Flavia;F
Fleur;Flor;Flor;Flor;Flor;Flor;Lorea;Flor;Flor;Flower;Flower;Lorea;F
Florence;Florència;Florència;Florència;Florencia;Florencia;Florentzi;Florência;Florência;Florence;Florence;Flo;F
Florent;Florent;Florent;Florent;Florente;Florente;Florent;Florente;Florente;Florent;Florent;Florent;M
Florentin;Florentí;Florentí;Florentí;Florentino;Florentino;Florentino;Florentino;Florentino;Florentin;Florentin;Florentin;M
Florian;Florià;Florià;Florià;Florián;Florián;Florian;Floriano;Floriano;Florian;Florian;Florian;M
Floriane;Floriana;Floriana;Floriana;Floriana;Floriana;Floriane;Floriana;Floriana;Floriana;Floriana;Floriana;F
François;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Francis;Francis;Frank;M
Françoise;Francesca;Francesca;Francesca;Francisca;Francisca;Frantzeska;Francisca;Francisca;Frances;Frances;Frani;F
Frédéric;Frederic;Frederic;Frederic;Federico;Federico;Frederiko;Frederico;Frederico;Frederick;Frederick;Eddie (Fred);M
Gabin;Gabin;Gabin;Gabin;Gabino;Gabino;Gabin;Gabino;Gabino;Gavin;Gavin;Gavin;M
Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabirel;Gabriel;Gabriel;Gabriel;Gabriel;Gabe;M
Gabrielle;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Gabrielle;Gabrielle;Gaby;F
Gaël;Gaël;Gaël;Gaël;Gaël;Gaël;Gael;Gael;Gael;Gael;Gael;Gael;M
Gaëlle;Gaëlle;Gaëlle;Gaëlle;Gaëlle;Gaëlle;Gaelle;Gaelle;Gaelle;Gaelle;Gaelle;Gaelle;F
Gaétan;Gaietà;Gaietà;Gaietà;Cayetano;Caietano;Kaiet;Caetano;Caetano;Gaetan;Gaetan;Gaetan;M
Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;F
Gaspard;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Jasper;Jasper;Gaspar;M
Gaston;Gastó;Gastó;Gastó;Gastón;Gastón;Gaston;Gastão;Gastão;Gaston;Gaston;Gaston;M
Gauthier;Valter;Valter;Valter;Gualterio;Gualterio;Gualter;Gualtério;Gualtério;Walter;Walter;Walter;M
Gédéon;Gedeó;Gedeó;Gedeó;Gedeón;Gedeón;Gedeon;Gideão;Gideão;Gideon;Gideon;Gideon;M
Geneviève;Genoveva;Genoveva;Genoveva;Genoveva;Genoveva;Genobeba;Genoveva;Genoveva;Genevieve;Genevieve;Genevieve;F
Georges;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;Jorge;George;George;Georgethon;M
Gérald;Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Gerald;Gerald;Gerry;M
Gérard;Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Gerard;Gerard;Garrett;M
Géraud;Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Gerald;Gerald;Gerry;M
Ghislain;Gislà;Gislà;Gislà;Gislán;Gislán;Gislain;Gislão;Gislão;Ghislain;Ghislain;Ghislain;M
Gilles;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Giles;Giles;Giles;M
Gisèle;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;F
Gratien;Gracià;Gracià;Gracià;Graciano;Graciano;Gratian;Graciano;Graciano;Gratian;Gratian;Gratian;M
Grégoire;Gregori;Gregori;Gregori;Gregorio;Gregorio;Gregorio;Gregório;Gregório;Gregory;Gregory;Greg;M
Guénolé;Guinhola;Guinhola;Guinhola;Guinolé;Guinolé;Guenole;Guinolé;Guinolé;Guenole;Guenole;Guenole;M
Guillaume;Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;William;William;Willie;M
Gustave;Gustau;Gustau;Gustau;Gustavo;Gustavo;Gustabo;Gustavo;Gustavo;Gustav;Gustave;Gus;M
Gwenaëlle;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;F
Hector;Hèctor;Hèctor;Hèctor;Héctor;Héitor;Hektor;Heitor;Heitor;Hector;Hector;Hector;M
Hélène;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Helen;Helen;Helen;F
Henri;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henrique;Henry;Henry;Hank;M
Henriette;Enriqueta;Enriqueta;Enriqueta;Enriqueta;Henriqueta;Endrike;Henriqueta;Henriqueta;Harriet;Harriet;Hattie;F
Hervé;Hervé;Hervé;Hervé;Hervé;Hervé;Herbe;Hervé;Hervé;Harvey;Harvey;Harvey;M
Honoré;Honrat;Honrat;Honrat;Honorato;Honorato;Onorata;Honorato;Honorato;Honor;Honor;Honor;M
Hortense;Hortènsia;Hortènsia;Hortènsia;Hortensia;Hortensia;Hortentsia;Hortênsia;Hortênsia;Hortense;Hortense;Hortensia;F
Hugo;Hug;Hug;Hug;Hugo;Hugo;Hugo;Hugo;Hugo;Hugh;Hugo;Hugo;M
Inès;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Inês;Agnes;Agnes;Nessie;F
Irène;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Ireen;F
Isabeau;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Latoya;F
Isabelle;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;F
Isaline;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Iseline;Iseline;Iseline;F
Isidore;Isidre;Isidre;Isidre;Isidro;Isidro;Isidore;Isidro;Isidro;Isidore;Isidore;Isidore;M
Jacqueline;Jaquelina;Jaquelina;Jaquelina;Jacqueline;Xaqueline;Jakue;Jaqueline;Jaqueline;Jacqueline;Jacqueline;Jackie;F
Jacques;Jaume;Jaume;Jaume;Santiago;Santiago;Jakue;Tiago;Tiago;James;James;Jamal;M
Jean;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn;M
Jeanne;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Joan;Jane;Shanice;F
Jérôme;Jeroni;Jeroni;Jeroni;Jerónimo;Xerónimo;Jeronimo;Jerónimo;Jerônimo;Jerome;Jerome;Jerry;M
Joël;Joel;Joel;Joel;Joel;Xoel;Joel;Joel;Joel;Joel;Joel;Joelle;M
Joséphine;Josepa;Josepa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josephine;Josephine;Jo-Sista;F
Josette;Josepa;Josepa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josie;Josie;Josie;F
Josselin;Josselí;Josselí;Josselí;Jocelyn;Xocelín;Jozulin;Jocelino;Jocelino;Jocelyn;Jocelyn;Jocelyn;M
Jules;Juli;Juli;Juli;Julio;Xulio;Yuli;Júlio;Júlio;Jules;Jules;Jules;M
Julie;Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Júlia;Julia;Julia;Juliette;F
Julien;Julià;Julià;Julià;Julián;Xulián;Julian;Julião;Julião;Julian;Julian;Julian;M
Juliette;Julieta;Julieta;Julieta;Julieta;Xulieta;Yuliete;Julieta;Julieta;Juliet;Juliet;Juliette;F
Laetitia;Letícia;Letícia;Letícia;Leticia;Leticia;Letizia;Letícia;Letícia;Letitia;Letitia;Letty;F
Laurence;Llorença;Llorença;Llorença;Lorenza;Lourenza;Lontzi;Lourença;Lourença;Lauren;Lauren;Lauren;U
