en-us-af;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-gb;en-us;fr;Género
Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;Ayana;F
Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;Bailey;U
Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;Blair;U
Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;Blake;U
Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;Brandon;M
Brianna;Briana;Briana;Briana;Briana;Briana;Briana;Briana;Briana;Brianna;Brianna;Briane;F
Brielle;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Brielle;Brielle;Gabrielle;F
Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;Brooklyn;F
Caitlin;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Catherine;Caitlin;Catherine;F
Caleb;Caleb;Caleb;Caleb;Caleb;Caleb;Kaleb;Caleb;Caleb;Caleb;Caleb;Caleb;M
Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;Cameron;U
Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;Casey;U
Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;Cassidy;U
Charles;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Charles;Charles;Charles;M
Chloe;Cloe;Cloe;Cloe;Cloe;Cloe;Kloe;Cloe;Cloe;Chloe;Chloe;Cloé;F
Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;Clayton;M
Cole;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Cole;Cole;Nicolas;M
Collin;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Collin;Collin;Nicolas;M
Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;Connor;M
Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;Courtney;F
Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;Dakota;U
Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;Dalton;M
Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;Darnell;M
DeAndre;Andreu;Andreu;Andreu;Andrés;André;Ander;André;André;Andrew;DeAndre;André;M
Deion;Dionís;Dionís;Dionís;Dionisio;Dinis;Dunixi;Dionísio;Dionísio;Dionysus;Deion;Denis;M
Deja;Deja;Deja;Deja;Deja;Deja;Deja;Deja;Deja;Deja;Deja;Déjà;F
DeMarcus;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Marcus;DeMarcus;Marc;M
Demonte;Muntanya;Muntanya;Muntanya;Monte;Monte;Mendi;Monte;Monte;Mount;Demonte;Mont;M
DeShawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;DeShawn;Jean;M
Destinee;Destí;Destí;Destí;Destino;Destino; kohtu;Destino;Destino;Destiny;Destinee;Destinée;F
Destiny;Destí;Destí;Destí;Destino;Destino; kohtu;Destino;Destino;Destiny;Destiny;Destinée;F
Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;Devin;U
DeVonte;Vicent;Vicent;Vicenç;Vicente;Vicente;Bixente;Vicente;Vicente;Vincent;DeVonte;Vincent;M
Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;Dylan;M
Eden;Edèn;Edèn;Edèn;Edén;Edén;Eden;Éden;Éden;Eden;Eden;Éden;U
Elliot;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elias;Elliot;Elliot;Élie;M
Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;U
Emma;Emma;Emma;Emma;Emma;Ema;Ebe;Ema;Ema;Emma;Emma;Emma;F
Erica;Èrica;Èrica;Èrica;Erica;Erica;Erika;Érica;Érica;Erica;Erica;Érica;F
Ethan;Etan;Etan;Etan;Etán;Etan;Etan;Etan;Etan;Ethan;Ethan;Ethan;M
Evan;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Evan;Evan;Jean;M
Faith;Fe;Fe;Fe;Fe;Fe;Fede;Fé;Fé;Faith;Faith;Foi;F
Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;U
Frankie;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Frankie;Frankie;François;U
Gabrielle;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Gabrielle;Gabrielle;Gabrielle;F
Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;Hailey;F
Hannah;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Hannah;Hannah;Anne;F
Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;U
Heather;Heather;Heather;Heather;Bruguera;Bruguera;Heather;Heather;Heather;Heather;Heather;Heather;F
Hunter;Caçador;Caçador;Caçador;Cazador;Cazador;Ehiztari;Caçador;Caçador;Hunter;Hunter;Chasseur;U
Ian;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Ian;Ian;Jean;M
Imani;Fe;Fe;Fe;Fe;Fe;Fede;Fé;Fé;Faith;Imani;Foi;F
Isaac;Isaac;Isaac;Isaac;Isaac;Isaac;Isaka;Isaque;Isaque;Isaac;Isaac;Isaac;M
Isabella;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabella;Isabella;Isabelle;F
Jack;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Jack;Jack;Jean;M
Jacob;Jacob;Jacob;Jacob;Jacobo;Xacobe;Jakue;Jacó;Jacó;Jacob;Jacob;Jacob;M
Jada;Jade;Jade;Jade;Jade;Xade;Jade;Jade;Jade;Jada;Jada;Jade;F
Jade;Jade;Jade;Jade;Jade;Xade;Jade;Jade;Jade;Jade;Jade;Jade;U
Jake;Jacob;Jacob;Jacob;Jacobo;Xacobe;Jakue;Jacó;Jacó;Jake;Jake;Jacob;M
Jamal;Bonic;Bonic;Bonic;Bello;Belo;Eder;Belo;Belo;Jamal;Jamal;Beau;M
Jamar;Bonic;Bonic;Bonic;Bello;Belo;Eder;Belo;Belo;Jamar;Jamar;Beau;M
James;Jaume;Jaume;Jaume;Santiago;Santiago;Jakue;Tiago;Tiago;James;James;Jacques;M
Jamie;Jaume;Jaume;Jaume;Jaime;Xaime;Jakue;Jaime;Jaime;Jamie;Jamie;Jacques;U
Janelle;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Janelle;Janelle;Jeanne;F
Jared;Jared;Jared;Jared;Jared;Jared;Jared;Jared;Jared;Jared;Jared;Jared;M
Jasmine;Jasmina;Jasmina;Jasmina;Jazmín;Xasmín;Jasmin;Jasmim;Jasmim;Jasmine;Jasmine;Yasmine;F
Jason;Jason;Jason;Jason;Jasón;Jasón;Jason;Jasão;Jasão;Jason;Jason;Jason;M
Javon;Grecia;Grecia;Grecia;Grecia;Grecia;Grezia;Grécia;Grécia;Javon;Javon;Grèce;M
Javonte;Grecia;Grecia;Grecia;Grecia;Grecia;Grezia;Grécia;Grécia;Javonte;Javonte;Grèce;M
Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;U
Jaylen;Jaume;Jaume;Jaume;Jaime;Xaime;Jakue;Jaime;Jaime;Jaylen;Jaylen;Jacques;U
Jaylin;Jaume;Jaume;Jaume;Jaime;Xaime;Jakue;Jaime;Jaime;Jaylin;Jaylin;Jacques;U
Jenna;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Jenna;Jenna;Jeanne;F
Jennifer;Ginebra;Ginebra;Ginebra;Jennifer;Jennifer;Ione;Jennifer;Jennifer;Jennifer;Jennifer;Genièvre;F
Jessica;Jèssica;Jèssica;Jèssica;Jessica;Jessica;Jesika;Jéssica;Jéssica;Jessica;Jessica;Jessica;F
Jessie;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Jessie;Jessie;Jeanne;U
John;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Jean;M
Jordan;Jordà;Jordà;Jordà;Jordán;Xordán;Jordan;Jordão;Jordão;Jordan;Jordan;Jourdain;U
Jules;Juli;Juli;Juli;Julio;Xulio;Yuli;Júlio;Júlio;Jules;Jules;Jules;M
Justice;Justícia;Justícia;Justícia;Justicia;Xustiza;Justizia;Justiça;Justiça;Justice;Justice;Justice;U
Kai;Kai;Kai;Kai;Kai;Kai;Kai;Kai;Kai;Kai;Kai;Kaï;U
Kaitlyn;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Kaitlyn;Kaitlyn;Catherine;F
Kareem;Kareem;Kareem;Kareem;Kareem;Kareem;Kareem;Kareem;Kareem;Kareem;Kareem;Karim;M
Kayla;Caterina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Kayla;Kayla;Catherine;F
Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;Keisha;F
Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;Kelsey;F
Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;U
Keshawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Shawn;Shawn;Jean;M
Keyshawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Shawn;Shawn;Jean;M
Kiana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Kiana;Kiana;Diane;F
Kiara;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Kiara;Kiara;Claire;F
Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;Kiesha;F
Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;F
Kyrie;Senyor;Senyor;Senyor;Señor;Señor;Jaun;Senhor;Senhor;Kyrie;Kyrie;Seigneur;M
Lamont;Muntanya;Muntanya;Muntanya;Monte;Monte;Mendi;Monte;Monte;Lamont;Lamont;Mont;M
LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;LaQuisha;F
LaShonda;Shonda;Shonda;Shonda;Shonda;Shonda;Shonda;Shonda;Shonda;Shonda;LaShonda;Shonda;F
LaTanya;Tània;Tània;Tània;Tania;Tania;Tania;Tânia;Tânia;Tania;LaTanya;Tania;F
Latoya;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Latoya;Latoya;Isabelle;F
Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;Latrell;M
Lauren;Llorença;Llorença;Llorença;Lorenza;Lourenza;Lontzi;Lourença;Lourença;Lauren;Lauren;Laurence;F
LeBron;Bru;Bru;Bru;Bronce;Bronce;LeBron;Bronce;Bronce;LeBron;LeBron;Bronze;M
Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;Logan;U
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Lucas;Lucas;Luc;M
Luis;Lluís;Lluís;Lluís;Luis;Luís;Koldobika;Luís;Luís;Lewis;Luis;Louis;M
Luke;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Lucas;Luke;Luke;Luc;M
Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;Mackenzie;U
Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;Madison;U
Malik;Rei;Rei;Rei;Rey;Rei;Errege;Rei;Rei;Malik;Malik;Roi;M
Marcus;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Marcus;Marcus;Marc;M
Mariah;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mariah;Mariah;Marie;F
Mark;Marc;Marc;Marc;Marcos;Marcos;Marko;Marcos;Marcos;Mark;Mark;Marc;M
Marley;Marley;Marley;Marley;Marley;Marley;Marley;Marley;Marley;Marley;Marley;Marley;U
Marquis;Marquès;Marquès;Marquès;Marqués;Marqués;Markes;Marquês;Marquês;Marquis;Marquis;Marquis;M
Marquise;Marquesa;Marquesa;Marquesa;Marquesa;Marquesa;Markesa;Marquesa;Marquesa;Marquise;Marquise;Marquise;F
Matthew;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Mateus;Matthew;Matthew;Matthieu;M
Megan;Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Megan;Megan;Marguerite;F
Melanie;Melània;Melània;Melània;Melania;Melania;Melania;Melânia;Melânia;Melanie;Melanie;Mélanie;F
Melissa;Melissa;Melissa;Melissa;Melisa;Melisa;Melisa;Melissa;Melissa;Melissa;Melissa;Mélissa;F
Michael;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Michel;M
Michelle;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Miguela;Miguela;Michelle;Michelle;Michèle;F
Milan;Milà;Milà;Milà;Milán;Milán;Milan;Milão;Milão;Milan;Milan;Milan;U
Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Miranda;Mirande;F
Molly;Maria;Maria;Maria;María;María;Maria;Maria;Maria;Molly;Molly;Marie;F
Monica;Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monique;F
Monique;Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monique;Monique;Monique;F
Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;Morgan;U
Nathan;Natan;Natan;Natan;Natán;Natán;Natan;Natão;Natão;Nathan;Nathan;Nathan;M
Nia;Propòsit;Propòsit;Propòsit;Propósito;Propósito;Helburu;Propósito;Propósito;Nia;Nia;But;F
Nicholas;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nicholas;Nicolas;M
Phoenix;Fènix;Fènix;Fènix;Fénix;Fénix;Fenix;Fénix;Fênix;Phoenix;Phoenix;Phénix;U
Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;Quinn;U
Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;Rashad;M
Rashawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Shawn;Shawn;Jean;M
Rasheed;Guia;Guia;Guia;Guía;Guía;Gida;Guia;Guia;Rasheed;Rasheed;Guide;M
Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;Reese;U
Remy;Remigi;Remigi;Remigi;Remigio;Remigio;Remi;Remígio;Remígio;Remy;Remy;Rémy;U
Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;Riley;U
River;Riu;Riu;Riu;Río;Río;Ibai;Rio;Rio;River;River;Rivière;U
Robin;Robert;Robert;Robert;Roberto;Roberto;Robert;Roberto;Roberto;Robin;Robin;Robert;U
Rory;Rory;Rory;Rory;Rory;Rory;Rory;Rory;Rory;Rory;Rory;Rory;U
Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;Rowan;U
Royal;Reial;Reial;Reial;Real;Real;Errege;Real;Real;Royal;Royal;Royal;U
Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;Ryan;M
Sage;Savi;Savi;Savi;Sabio;Sabio;Sage;Sábio;Sábio;Sage;Sage;Sage;U
Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;Samantha;F
Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarah;F
Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;Savannah;F
Shanice;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Shanice;Shanice;Jeanne;F
Shanika;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Shanika;Shanika;Jeanne;F
Shaniqua;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Shaniqua;Shaniqua;Jeanne;F
Shawn;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Shawn;Shawn;Jean;M
Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;Shelby;U
Sophia;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sofia;Sophia;Sophia;Sophie;F
Sydney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sidney;Sydney;Sydney;Sidney;U
Tameka;Tamika;Tamika;Tamika;Tamika;Tamika;Tamika;Tamika;Tamika;Tameka;Tameka;Tamika;F
Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;Tanisha;F
Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;Tanner;M
Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;Taylor;U
Tiana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Tiana;Tiana;Diane;F
Tiffany;Teofania;Teofania;Teofania;Teofanía;Teofanía;Teofania;Teofânia;Teofânia;Tiffany;Tiffany;Tiphaine;F
Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;Travis;M
Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;Trayvon;M
Trevion;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevion;Trevion;Trevor;M
Trevon;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevon;Trevon;Trevor;M
Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;Trevor;M
Tristan;Tristany;Tristany;Tristany;Tristán;Tristán;Tristan;Tristão;Tristão;Tristan;Tristan;Tristan;M
Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;Tyesha;F
Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;Tyler;U
Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;Tyrese;M
Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;Tyriek;M
Tyrone;Tir;Tir;Tir;Tirón;Tirón;Tiron;Tirón;Tirón;Tyrone;Tyrone;Tyrone;M
Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Banesa;Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;F
Victoria;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Victória;Vitória;Victoria;Victoria;Victoire;F
Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;Wyatt;M
Xavier;Xavier;Xavier;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Xavier;Xavier;M
Zaire;Zaire;Zaire;Zaire;Zaire;Zaire;Zaire;Zaire;Zaire;Zaire;Zaire;Zaïre;U
Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;Zaria;F
Zion;Sió;Sió;Sió;Sion;Sion;Sion;Sião;Sião;Zion;Zion;Sion;U
Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoe;Zoé;F
Zuri;Bonic;Bonic;Bonic;Bello;Belo;Eder;Belo;Belo;Zuri;Zuri;Beau;U
