Nombre;Genero;Origen;Etimologia
Beatrice;F;Latín/Italiano;De 'Beatrix'. Significa "la que hace feliz" o "viajera".
Béatrice;F;Latín/Francés;Variante de Beatrix. Significa "la que trae felicidad" o "viajera".
Beatriu;F;Catalán;Forma catalana de Beatriz. Significa "bienaventurada" o "que hace feliz".
Beatriz;F;Latín;De 'Beatrix'. Significa "la que hace feliz" o "portadora de alegría".
Begoña;F;Vasco;De 'Bego-oina', lugar de advocación mariana. Significa "lugar sobre el cerro".
Belinda;F;Germánico;De 'bet' (brillante) y 'linda' (serpiente/escudo) o "la que es bella".
Beltz;M;Vasco;Significa "negro". Usado históricamente como nombre propio.
Benedita;F;Latín;Variante de Benedicta. Significa "bendecida" o "aquella de quien se habla bien".
Benedito;M;Latín;Variante de Benedicto. Significa "bendito".
Benito;M;Latín;Forma abreviada de Benedicto. Significa "el bendecido".
Benjamin;M;Hebreo;De 'Binyamin'. Significa "hijo de la mano derecha" o "hijo de la virtud".
Benjamín;M;Hebreo;Variante en español de Benjamin.
Benoît;M;Francés;Forma francesa de Benedicto. Significa "bendito".
Bento;M;Portugués;Forma abreviada portuguesa de Benedito.
Beñat;M;Vasco;Forma vasca de Bernardo. Significa "guerrero audaz como un oso".
Beor;M;Vasco;Significa "yegua" (nombre de uso antiguo o mitológico).
Bernadette;F;Francés;Diminutivo de Bernard. Significa "osa fuerte y valiente".
Bernard;M;Germánico;De 'beran' (oso) y 'hard' (fuerte). "Fuerte como un oso".
Bernardo;M;Germánico;Variante española de Bernard.
Bernat;M;Catalán;Forma catalana de Bernardo.
Bernice;F;Griego;De 'Pherenike'. Significa "la que trae la victoria".
Berta;F;Germánico;De 'berht'. Significa "brillante", "ilustre" o "resplandeciente".
Bertrand;M;Germánico;De 'berht' (brillo) y 'rand' (escudo/borde). "Escudo reluciente".
Bethany;F;Hebreo;De 'Betania', lugar bíblico. Significa "casa de higos" o "casa de aflicción".
Beverly;F;Inglés;De 'beaver' (castor) y 'leah' (prado). "Prado de castores".
Bianca;F;Italiano;Variante de Blanca. Significa "brillante" o "de piel clara".
Bieita;F;Gallego;Forma gallega de Benedicta. Significa "bendita".
Biel;M;Catalán/Hebreo;Abreviatura de Gabriel. Significa "fuerza de Dios".
Bihotz;F;Vasco;Significa "corazón".
Bittor;M;Vasco;Forma vasca de Víctor. Significa "vencedor" o "conquistador".
Bizen;M;Vasco;Forma vasca de Vicente. Significa "el que vence".
Blair;U;Gaélico;De 'blár'. Significa "campo de batalla" o "llanura".
Blaise;M;Latín;De 'Blasius'. Significa "tartamudo" o "balbuciente".
Blake;M;Inglés;De 'blac' (negro) o 'blaac' (pálido). Significa "oscuro" o "brillante".
Blake;U;Inglés;Uso unisex de Blake.
Blanca;F;Germánico;De 'blank'. Significa "blanca", "brillante" o "pura".
Blandine;F;Latín/Francés;De 'blandus'. Significa "afable", "cariñosa" o "halagadora".
Boniface;M;Latín;De 'Bonifatius'. Significa "el que hace el bien" o "buen destino".
Bradley;M;Inglés;De 'brad' (ancho) y 'leah' (prado). "Prado ancho".
Brais;M;Gallego;Forma gallega de Blas. Significa "aquel que tiene dificultad al hablar".
Branca;F;Gallego/Portugués;Forma gallega de Blanca.
Brandon;M;Inglés/Celta;De 'breen' (colina). Significa "cuervo" o "príncipe de la colina".
Brenda;F;Nórdico/Celta;De 'brand'. Significa "espada" o "antorcha".
Breogán;M;Celta;Nombre del mítico rey celta de Galicia. Significa "el de la fuerza resplandeciente".
Brett;U;Bretón/Francés;Significa "bretón" o "nativo de Bretaña".
Brian;M;Celta/Irlandés;De 'brígh'. Significa "fuerte", "noble" o "de gran valor".
Brianna;F;Celta;Forma femenina de Brian. Significa "noble" o "fuerte".
Brielle;F;Hebreo/Francés;Abreviatura de Gabrielle. Significa "Dios es mi fuerza".
Brigitte;F;Celta/Francés;De 'Brighid'. Significa "fuerza", "poder" o "exaltada".
Brook;U;Inglés;Significa "arroyo" o "corriente de agua pequeña".
Brooke;U;Inglés;Variante de Brook. Significa "del arroyo".
Brooklyn;F;Holandés/Inglés;De "Breukelen" (pantano). Popularizado por el distrito de NY.
Bruce;M;Escocés/Francés;Nombre de clan normando "de Brus". Significa "del bosque".
Bruna;F;Germánico;Femenino de Bruno. Significa "de piel oscura" o "marrón".
Bruno;M;Germánico;De 'brun'. Significa "el que es moreno" o "el que brilla (armadura)".
Bryan;M;Celta;Variante de Brian. Significa "fuerte", "noble" o "virtuoso".
Caio;M;Latín;Variante de Cayo. Significa "alegre" o "el que se regocija".
Caitlin;F;Irlandés/Griego;Forma irlandesa de Catalina. Significa "pura".
Caleb;M;Hebreo;De 'keleb'. Significa "perro" (simbolizando fidelidad) o "todo corazón".
Calixte;M;Griego;De 'kallistos'. Significa "el más bello".
Cameron;M;Gaélico;De 'cam-shron'. Significa "nariz torcida" (originalmente un apodo).
Cameron;U;Gaélico;Uso unisex de Cameron.
Camila;F;Latín;De 'camillus'. Significa "la que mantiene el fuego" o "mensajera de los dioses".
Camilla;F;Latín;Variante de Camila.
Camille;F;Francés;Variante francesa de Camila (usado principalmente en femenino).
Camille;M;Francés;Uso masculino francés de Camille.
Camilo;M;Latín;Forma masculina de Camila. Significa "noble servidor del templo".
Candelaria;F;Latín;De 'candela'. Referente a la fiesta de la Purificación (luz).
Candice;F;Etíope/Latín;Título de las reinas de Etiopía (Kandake). Significa "blanca" o "pura".
Capucine;F;Francés;Significa "capuchina" (la flor). Deriva del latín por la forma de capucha.
Caridade;F;Gallego/Portugués;Significa "caridad", una de las virtudes teologales.
Carine;F;Francés/Latín;Del latín 'carus' (querido). Significa "amada" o "querida".
Carl;M;Germánico;Variante alemana de Carlos. Significa "hombre libre".
Carla;F;Germánico;Femenino de Carlo/Carlos. Significa "mujer fuerte y libre".
Carles;M;Catalán;Forma catalana de Carlos.
Carlos;M;Germánico;De 'karal'. Significa "hombre", "varón" o "hombre libre".
Carlota;F;Germánico/Francés;Diminutivo de Carla. Significa "la que es fuerte".
Carme;F;Catalán/Gallego;Variante de Carmen. Significa "jardín de Dios".
Carmelle;F;Hebreo/Francés;Variante de Carmelo/Carmen. Significa "viñedo".
Carmen;F;Hebreo/Latín;Del hebreo 'karmel' (jardín) o del latín 'carmen' (canto/poema).
Carmiña;F;Gallego;Diminutivo gallego de Carmen.
Carolina;F;Germánico;Variante de Carla. Significa "mujer libre e inteligente".
Caroline;F;Francés/Inglés;Variante de Carolina.
Carter;M;Inglés;Nombre ocupacional. Significa "el que conduce un carro".
Casey;U;Gaélico;De 'cathasaigh'. Significa "vigilante" o "valiente".
Casiano;M;Latín;De 'Cassianus'. Significa "perteneciente a la familia de los Cassii".
Cassandre;F;Griego;Forma francesa de Casandra. Significa "la que brilla entre los hombres".
Cassidy;F;Irlandés;De 'Caiside'. Significa "la de pelo rizado".
Cássio;M;Latín/Portugués;Significa "el que está vacío" o "el que usa casco".
Catalina;F;Griego;De 'katharos'. Significa "pura" o "inmaculada".
Catarina;F;Portugués/Gallego;Forma de Catalina.
Caterina;F;Catalán/Italiano;Forma de Catalina.
Catherine;F;Francés/Inglés;Forma de Catalina.
Cécile;F;Francés;Forma francesa de Cecilia.
Cecilia;F;Latín;De 'caecus'. Significa "ciega" o "pequeña ciega".
Cédric;M;Bretón/Celta;De 'kad' (batalla) y 'ric' (señor). Significa "jefe de guerra".
Célestin;M;Latín/Francés;Significa "perteneciente al cielo" o "celestial".
Celia;F;Latín;De 'caelum'. Significa "perteneciente al cielo".
Célia;F;Portugués/Francés;Variante de Celia.
Céline;F;Francés;Variante de Celia o Selena (luna).
Celsa;F;Latín;Femenino de Celso. Significa "elevada" o "sublime".
Celso;M;Latín;De 'celsus'. Significa "alto", "elevado" o "noble".
Cerise;F;Francés;Significa "cereza" (la fruta).
Césaire;M;Latín/Francés;Variante de César.
César;M;Latín;De 'caesaries'. Significa "cabellera" o "el que nace por cesárea".
Céu;F;Portugués;Significa "cielo".
Chantal;F;Francés;De 'cantal' (piedra/roca). Nombre de familia convertido en nombre propio.
Charles;M;Francés/Inglés;Forma de Carlos. Significa "hombre libre".
Charlie;U;Germánico/Inglés;Hipocorístico de Charles o Charlotte.
Charlotte;F;Francés;Diminutivo femenino de Charles. Significa "pequeña y fuerte".
Chase;M;Francés antiguo;Significa "el cazador" o "perseguir".
Chelsea;F;Inglés;Significa "puerto de tiza" o "lugar de desembarco".
Cheryl;F;Francés/Inglés;Combinación de Cherry (cereza) y Beryl (piedra preciosa).
Chloe;F;Griego;Significa "hierba verde" o "brote joven de planta".
Chloé;F;Francés;Variante de Chloe.
Chris;U;Griego;Abreviatura de Christian o Christopher. Significa "el ungido".
Christelle;F;Francés;Variante de Cristina. Significa "seguidora de Cristo".
Christian;M;Latín;De 'christus'. Significa "seguidor de Cristo".
Christina;F;Latín/Griego;Variante de Cristina.
Christine;F;Francés/Inglés;Variante de Cristina.
Christophe;M;Francés;Forma francesa de Cristóbal.
Christopher;M;Griego;De 'Christophoros'. Significa "el que lleva a Cristo".
Cibrán;M;Gallego;Forma gallega de Cipriano. Significa "procedente de Chipre".
Cira;F;Persa/Griego;Femenino de Ciro. Significa "pastora" o "sol".
Claire;F;Francés;Forma francesa de Clara. Significa "brillante" o "clara".
Clara;F;Latín;De 'clarus'. Significa "brillante", "ilustre" o "famosa".
Claude;M;Latín/Francés;Del nombre romano 'Claudius'. Significa "cojo".
Cláudia;F;Portugués;Forma de Claudia.
Clàudia;F;Catalán;Forma de Claudia.
Claudine;F;Francés;Diminutivo de Claudia.
Clayton;M;Inglés;De 'clay' (arcilla) y 'tun' (pueblo). "Pueblo sobre arcilla".
Cléandre;M;Griego;De 'kleos' (gloria) y 'aner' (hombre). "Hombre glorioso".
