pt-eu;ca-ib;ca-va;ca;es;gl;eu;pt-br;en_gb;en-us;en-us-af;fr
Dinis;Dionís;Dionís;Dionís;Dionisio;Dinis;Dunixi;Diniz;Dionysus;Dionysus;Dunixi;Denis
Diogo;Dídac;Dídac;Dídac;Diego;Diego;Diegotxo;Diogo;Diego;Diego;Diego;Diego
Domingos;Domènec;Domènec;Domènec;Domingo;Domingo;Domeka;Domingos;Dominic;Dominic;Dominique;Dominique
Duarte;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Duarte;Edward;Edward;Eddie;Édouard
Dulce;Dolça;Dolça;Dolça;Dulce;Dulce;Dultze;Dulce;Dulcie;Dulcie;Dulce;Dulce
Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Edgar;Ed;Edgard
Eduardo;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Edward;Edward;Eddie;Édouard
Elias;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elijah;Elijah;Eli;Élie
Eliseu;Eliseu;Eliseu;Eliseu;Eliseo;Eliseo;Eliseu;Eliseu;Elisha;Elisha;Eli;Élisée
Ema;Emma;Emma;Emma;Emma;Ema;Ema;Ema;Emma;Emma;Emma;Emma
Emília;Emília;Emília;Emília;Emilia;Emilia;Emile;Emília;Emily;Emily;Emmy;Émilie
Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinda;Ermelinde
Estevão;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estevão;Stephen;Stephen;Steve;Étienne
Eugénia;Eugènia;Eugènia;Eugènia;Eugenia;Euxenia;Eukene;Eugênia;Eugenia;Eugenia;Genie;Eugénie
Evaristo;Evarist;Evarist;Evarist;Evaristo;Evaristo;Ebaristo;Evaristo;Evaristus;Evaristus;Evaristo;Évariste
Fábio;Fabi;Fabi;Fabi;Fabio;Fabio;Fabio;Fábio;Fabius;Fabius;Fabio;Fabien
Fátima;Fàtima;Fàtima;Fàtima;Fátima;Fátima;Fatima;Fátima;Fatima;Fatima;Fatima;Fatima
Filipa;Felipa;Felipa;Felipa;Felipa;Filipa;Felipe;Filipa;Philippa;Philippa;Pippa;Philippine
Filipe;Felip;Felip;Felip;Felipe;Filipe;Felipe;Felipe;Philip;Philip;Phil;Philippe
Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbela;Florbelle
Francisca;Francisca;Francisca;Francisca;Francisca;Francisca;Frantzeska;Francisca;Frances;Frances;Frani;Françoise
Francisco;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francis;Francis;Frank;François
Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Jasper;Jasper;Gaspar;Gaspard
Geraldo;Gerard;Gerard;Gerard;Gerardo;Geraldo;Geraldo;Geraldo;Gerald;Gerald;Gerry;Gérald
Gil;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Giles;Giles;Giles;Gilles
Glória;Glòria;Glòria;Glòria;Gloria;Gloria;Aintzane;Glória;Gloria;Gloria;Glo;Gloire
Gonçalo;Gonçal;Gonçal;Gonçal;Gonzalo;Gonzalo;Gontzal;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve
Graça;Gràcia;Gràcia;Gràcia;Gracia;Gracia;Gartze;Graça;Grace;Grace;Gracie;Grâce
Gregório;Gregori;Gregori;Gregori;Gregorio;Gregorio;Gregorio;Gregório;Gregory;Gregory;Greg;Grégoire
Helena;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helen;Helen;Yelena;Hélène
Henrique;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henry;Henry;Hank;Henri
Horácio;Horaci;Horaci;Horaci;Horacio;Horacio;Horazio;Horácio;Horace;Horace;Horacio;Horace
Hortênsia;Hortènsia;Hortènsia;Hortènsia;Hortensia;Hortensia;Hortentsia;Hortênsia;Hortense;Hortense;Hortensia;Hortense
Hugo;Hugo;Hugo;Hugo;Hugo;Hugo;Hugo;Hugo;Hugh;Hugo;Hugo;Hugues
Inês;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Agnes;Agnes;Nessie;Agnès
Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Isabelle
Isaque;Isaac;Isaac;Isaac;Isaac;Isaac;Isaka;Isaque;Isaac;Isaac;Ike;Isaac
Ivone;Ivone;Ivone;Ivone;Ivonne;Ivone;Ivone;Ivone;Yvonne;Yvonne;Ivonne;Yvonne
Jacinta;Jacinta;Jacinta;Jacinta;Jacinta;Xacinta;Jakinda;Jacinta;Jacinta;Jacinta;Jacinta;Jacinthe
Jerónimo;Jeroni;Jeroni;Jeroni;Jerónimo;Xerónimo;Jeronimo;Jerônimo;Jerome;Jerome;Jerry;Jérôme
Joana;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joan;Jane;Shanice;Jeanne
João;Joan;Joan;Joan;Juan;Xoán;Jon;João;John;John;Deshawn;Jean
Joaquim;Joaquim;Joaquim;Joaquim;Joaquín;Xaquín;Iokin;Joaquim;Joachim;Joachim;Joakim;Joachim
José;Josep;Josep;Josep;José;Xosé;Joseba;José;Joseph;Joseph;Joe;Joseph
Júlia;Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Julia;Julia;Juliette;Julie
Leandro;Lleandre;Lleandre;Lleandre;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Lander;Léandre
Leonor;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Nora;Éléonore
Leopoldo;Leopold;Leopold;Leopold;Leopoldo;Leopoldo;Leopoldo;Leopoldo;Leopold;Leopold;Leo;Léopold
Lídia;Lídia;Lídia;Lídia;Lidia;Lidia;Lide;Lídia;Lydia;Lydia;Lide;Lydie
Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorraine;Lorraine;Lorena;Lorraine
Lourenço;Llorenç;Llorenç;Llorenç;Lorenzo;Lorenzo;Lontzi;Lourenço;Lawrence;Lawrence;Larry;Laurent
Luís;Lluís;Lluís;Lluís;Luis;Lois;Koldobika;Luís;Louis;Louis;Louie;Louis
Luísa;Lluïsa;Lluïsa;Lluïsa;Luisa;Luísa;Luisa;Luísa;Louisa;Louisa;Lulu;Louise
Madalena;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Matilda;Matilda;Tillie;Mathilde
Manuel;Manel;Manel;Manel;Manuel;Manuel;Imanol;Manuel;Manuel;Manuel;Manny;Manuel
Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara
Márcio;Març;Març;Març;Marcio;Marcio;Markio;Márcio;Marcius;Marcius;Marcio;Marcius
Margarida;Margalida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margaret;Margaret;Maggie;Marguerite
Maria;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie
Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Marian;Marian;Marianne;Marianne
Mário;Mário;Mário;Mário;Mario;Mario;Mario;Mário;Marius;Marius;Mario;Marius
Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marise
Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Martha;Marthe
Martim;Martí;Martí;Martí;Martín;Martiño;Martin;Martim;Martin;Martin;Martell;Martin
Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie;Mathilde
Maurício;Maurici;Maurici;Maurici;Mauricio;Mauricio;Maurizio;Maurício;Maurice;Maurice;Maurice;Maurice
Micaela;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Micaela;Michaela;Michaela;Makayla;Michèle
Miguel;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Michael;Michael;Micheal;Michel
Nicolau;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicholas;Nicholas;Nick;Nicolas
Noémia;Noèmia;Noèmia;Noèmia;Noemí;Noemí;Noemi;Noêmia;Naomi;Naomi;Naomi;Noémie
Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno
Odete;Odeta;Odeta;Odeta;Odette;Odete;Odete;Odete;Odette;Odette;Odette;Odette
Ofélia;Ofèlia;Ofèlia;Ofèlia;Ofelia;Ofelia;Ofelia;Ofélia;Ophelia;Ophelia;Ophelia;Ophélie
Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga
Óscar;Òscar;Òscar;Òscar;Óscar;Óscar;Oskar;Oscar;Oscar;Oscar;Oscar;Oscar
Pascual;Pasqual;Pasqual;Pasqual;Pascual;Pascual;Paskual;Pascoal;Pascal;Pascal;Pascual;Pascal
Patrícia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patricia;Patricia;Patrice;Patrice
Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paule
Paulo;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paul;Paul;Pauley;Paul
Pedro;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Peter;Peter;Pete;Pierre
Rafael;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël
Rafaela;Rafela;Rafela;Rafaela;Rafaela;Rafaela;Rafaela;Rafaela;Raphaela;Raphaela;Rafaela;Raphaëlle
Renato;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renato;Renato;Renato;René
Ricardo;Ricard;Ricard;Ricard;Ricardo;Ricardo;Ricard;Ricardo;Richard;Richard;Richie;Richard
Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Marguerite
Rodrigo;Rodric;Roderic;Roderic;Rodrigo;Roi;Rodrigo;Rodrigo;Roderick;Roderick;Rod;Rodrigue
Rogério;Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Roger;Roger;Rodger;Roger
Rosário;Roser;Roser;Roser;Rosario;Rosario;Arrosari;Rosário;Rosary;Rosary;Rosario;Rosaire
Rui;Roderic;Roderic;Roderic;Rodrigo;Rui;Rui;Rui;Roderick;Roderick;Ruy;Rodrigue
Salomé;Salomé;Salomé;Salomé;Salomé;Salomé;Salome;Salomé;Salome;Salome;Salome;Salomé
Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salbatore;Salvador;Salvador;Salvador;Sal;Sauveur
Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Zandra;Alexandra
Sebastião;Sebastià;Sebastià;Sebastià;Sebastián;Sebastián;Sebas;Sebastião;Sebastian;Sebastian;Seb;Sébastien
Sérgio;Sergi;Sergi;Sergi;Sergio;Serxio;Sergi;Sérgio;Sergius;Sergio;Sergio;Serge
Sílvia;Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Silvia;Sylvia;Sylvia;Sylvie
Sílvio;Silvi;Silvi;Silvi;Silvio;Silvio;Silvio;Sílvio;Silvius;Silvio;Silvio;Sylvain
Simão;Simó;Simó;Simó;Simón;Simón;Simon;Simão;Simon;Simon;Simone;Simon
Sofia;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sophia;Sophia;Safiya;Sophie
Susana;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susan;Susan;Suzette;Suzanne
Tadeu;Tadeu;Tadeu;Tadeu;Tadeo;Tadeo;Tadeo;Tadeu;Thaddeus;Thaddeus;Thad;Thaddée
Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatyana;Tatiana
Teresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse
Tiago;Jaume;Jaume;Jaume;Santiago;Iago;Jakue;Tiago;James;James;Jamal;Jacques
Tomás;Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Thomas;Thomas;Thom;Thomas
Valentim;Valentí;Valentí;Valentí;Valentín;Valentín;Valentin;Valentim;Valentine;Valentine;Val;Valentin
Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco
Verónica;Verònica;Verònica;Verònica;Verónica;Verónica;Veronike;Verônica;Veronica;Veronica;Ronnie;Véronique
Vítor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vitor;Victor;Victor;Victor;Victor
Vitória;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Vitória;Victoria;Victoria;Vickie;Victoire
Xavier;Xavier;Xavier;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Zavier;Xavier
Zélia;Zèlia;Zèlia;Zèlia;Zelia;Zelia;Zelia;Zélia;Zelia;Zelia;Zelia;Zélie
