eu;ca-ib;ca-va;ca;es;gl;pt-eu;pt-br;en-gb;en-us;en-us-af;fr
Alazne;Miracle;Miracle;Miracle;Milagros;Milagres;Milagres;Milagres;Miracle;Miracle;Alazne;Miracle
Aldats;Pendent;Pendent;Pendent;Pendiente;Pendente;Pendente;Pendente;Slope;Slope;Aldats;Pente
Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo;Aldo
Amaia;Amaia;Amaia;Amaia;Amaya;Amaya;Amaia;Amaia;Amaya;Amaya;Amaya;Amaïa
Amets;Somni;Somni;Somni;Sueño;Sonio;Sonho;Sonho;Dream;Dream;Amets;Rêve
Ametza;Reboll;Reboll;Reboll;Quejigo;Caxigo;Carvalho;Carvalho;Oak;Oak;Ametza;Chêne
Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru;Amuru
Anai;Germà;Germà;Germà;Hermano;Irmán;Irmão;Irmão;Brother;Brother;Anai;Frère
Anartz;Robust;Robust;Robust;Robusto;Robusto;Robusto;Robusto;Robust;Robust;Anartz;Robuste
Ander;Andreu;Andreu;Andreu;Andrés;Andrés;André;André;Andrew;Andrew;Andre;André
Andoni;Antoni;Antoni;Antoni;Antonio;Antón;António;Antônio;Anthony;Anthony;Antwan;Antoine
Ane;Aina;Anna;Anna;Ana;Ana;Ana;Ana;Anne;Anna;Quiana;Anne
Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania;Ania
Anitz;Molt;Molt;Molt;Mucho;Moito;Muito;Muito;Many;Many;Anitz;Maint
Anuntz;Anunci;Anunci;Anunci;Anuncio;Anuncio;Anúncio;Anúncio;Anunciation;Anunciation;Anuntz;Annonce
Apar;Escuma;Escuma;Escuma;Espuma;Escuma;Escuma;Escuma;Foam;Foam;Apar;Écume
Arago;Aragó;Aragó;Aragó;Aragón;Aragón;Aragão;Aragão;Aragon;Aragon;Arago;Aragon
Arantxa;Espina;Espina;Espina;Espina;Espiña;Espinha;Espinha;Thorn;Thorn;Arantxa;Épine
Arantza;Espina;Espina;Espina;Espina;Espiña;Espinha;Espinha;Thorn;Thorn;Arantza;Épine
Aratz;Pur;Pur;Pur;Puro;Puro;Puro;Puro;Pure;Pure;Aratz;Pur
Ardan;Vi;Vi;Vi;Vino;Viño;Vinho;Vinho;Wine;Wine;Ardan;Vin
Argi;Llum;Llum;Llum;Luz;Luz;Luz;Luz;Light;Light;Argi;Lumière
Argider;Llum-bella;Llum-bella;Llum-bella;Luz-bella;Luz-bela;Luz-bela;Luz-bela;Beautiful-light;Beautiful-light;Argider;Belle-lumière
Argimiro;Argimir;Argimir;Argimir;Argimiro;Argimiro;Argimiro;Argimiro;Argimiro;Argimiro;Argimiro;Argimire
Argiñe;Llum;Llum;Llum;Lucía;Lucía;Lúcia;Lúcia;Lucy;Lucy;Argiñe;Lucie
Argiñeta;Llumeta;Llumeta;Llumeta;Lucita;Luciña;Lucinha;Lucinha;Lucille;Lucille;Argiñeta;Lucette
Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz;Argoitz
Arima;Ànima;Ànima;Ànima;Alma;Alma;Alma;Alma;Soul;Soul;Arima;Âme
Arin;Lleuger;Lleuger;Lleuger;Ligero;Lixeiro;Ligeiro;Ligeiro;Light;Light;Arin;Léger
Aritz;Roure;Roure;Roure;Roble;Carballo;Carvalho;Carvalho;Oak;Oak;Aritz;Chêne
Ariz;Roure;Roure;Roure;Roble;Carballo;Carvalho;Carvalho;Oak;Oak;Ariz;Chêne
Ariznabar;Roure-vetejat;Roure-vetejat;Roure-vetejat;Roble-veteado;Carballo-veteado;Carvalho-raiado;Carvalho-raiado;Mottled-oak;Mottled-oak;Ariznabar;Chêne-vairé
Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia;Arkaia
Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan;Arkan
Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz;Arketz
Arman;Armand;Armand;Armand;Armando;Armando;Armando;Armando;Armand;Armand;Armani;Armand
Arnaut;Arnau;Arnau;Arnau;Arnaldo;Arnaldo;Arnaldo;Arnaldo;Arnold;Arnold;Arnie;Arnaud
Arri;Pedra;Pedra;Pedra;Piedra;Pedra;Pedra;Pedra;Stone;Stone;Arri;Pierre
Arritz;Pedregós;Pedregós;Pedregós;Pedregoso;Pedregoso;Pedregoso;Pedregoso;Stony;Stony;Arritz;Pierreux
Arrosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rosa;Rose;Rose;Rosetta;Rose
Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai;Artai
Artzai;Pastor;Pastor;Pastor;Pastor;Pastor;Pastor;Pastor;Shepherd;Shepherd;Artzai;Berger
Ase;Ase;Ase;Ase;Asno;Asno;Asno;Asno;Donkey;Donkey;Ase;Âne
Asentzio;Ascensió;Ascensió;Ascensió;Ascensión;Ascensión;Ascensão;Ascensão;Ascension;Ascension;Asentzio;Ascension
Asier;Començament;Començament;Començament;Principio;Principio;Princípio;Princípio;Beginning;Beginning;Asier;Commencement
Aste;Setmana;Setmana;Setmana;Semana;Semana;Semana;Semana;Week;Week;Aste;Semaine
Asto;Ase;Ase;Ase;Burro;Burro;Burro;Burro;Donkey;Donkey;Asto;Âne
Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi;Atarrabi
Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator;Ator
Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte;Atxarte
Aurre;Davant;Davant;Davant;Adelante;Adiante;Adiante;Adiante;Forward;Forward;Aurre;Devant
Aurtz;Nen;Nen;Nen;Niño;Neno;Menino;Menino;Child;Child;Aurtz;Enfant
Auzolan;Treball-veïnal;Treball-veïnal;Treball-veïnal;Trabajo-vecinal;Traballo-veciñal;Trabalho-comunitário;Trabalho-comunitário;Community-work;Community-work;Auzolan;Travail-communautaire
Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular;Axular
Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde;Baialde
Bakarne;Soledat;Soledat;Soledat;Soledad;Soledade;Solidão;Solidão;Solitude;Solitude;Bakarne;Solitude
Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar;Balkar
Baltz;Negre;Negre;Negre;Negro;Negro;Preto;Preto;Black;Black;Baltz;Noir
Beltz;Negre;Negre;Negre;Negro;Negro;Preto;Preto;Black;Black;Beltz;Noir
Beñat;Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernardo;Bernardo;Bernard;Bernard;Bernie;Bernard
Beor;Euga;Euga;Euga;Yegua;Egoa;Égua;Égua;Mare;Mare;Beor;Jument
Bihotz;Cor;Cor;Cor;Corazón;Corazón;Coração;Coração;Heart;Heart;Bihotz;Cœur
Bittor;Víctor;Víctor;Víctor;Víctor;Víctor;Vítor;Vitor;Victor;Victor;Victor;Victor
Bizen;Vicenç;Vicent;Vicenç;Vicente;Vicente;Vicente;Vicente;Vincent;Vincent;Vince;Vincent
Danel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny;Daniel
Danele;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Daniela;Dani;Danielle
Dunixi;Dionís;Dionís;Dionís;Dionisio;Dionisio;Dionísio;Dionísio;Dionysus;Dionysus;Dunixi;Denis
Eban;Joan;Joan;Joan;Juan;Xoán;João;João;John;John;Deshawn;Jean
Eder;Bell;Bell;Bell;Bello;Belo;Belo;Belo;Handsome;Handsome;Eder;Beau
Ederne;Bella;Bella;Bella;Bella;Bela;Bela;Bela;Beautiful;Beautiful;Ederne;Belle
Edur;Neu;Neu;Neu;Nieve;Neve;Neve;Neve;Snow;Snow;Edur;Neige
Edurne;Neus;Neus;Neus;Nieves;Neves;Neves;Neves;Snows;Snow;Nieva;Neige
Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider;Eider
Ekain;Juny;Juny;Juny;Junio;Xuño;Junho;Junho;June;June;Ekain;Juin
Ekhi;Sol;Sol;Sol;Sol;Sol;Sol;Sol;Sun;Sun;Ekhi;Soleil
Eki;Sol;Sol;Sol;Sol;Sol;Sol;Sol;Sun;Sun;Eki;Soleil
Ekiñe;Sol;Sol;Sol;Sol;Sol;Sol;Sol;Sun;Sun;Ekiñe;Soleil
Elbira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvira;Elvire
Elixabete;Isabel;Isabel;Isabel;Isabel;Sabela;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Élisabeth
Elixane;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elisenda;Elixane;Elisende
Elor;Espí;Espí;Espí;Espino;Espiño;Espinheiro;Espinheiro;Thorn;Thorn;Elor;Aubépine
Elorri;Espí;Espí;Espí;Espino;Espiño;Espinheiro;Espinheiro;Thorn;Thorn;Elorri;Aubépine
Elur;Neu;Neu;Neu;Nieve;Neve;Neve;Neve;Snow;Snow;Elur;Neige
Enara;Oreneta;Oreneta;Oreneta;Golondrina;Andoriña;Andorinha;Andorinha;Swallow;Swallow;Enara;Hirondelle
Endika;Enric;Enric;Enric;Enrique;Henrique;Henrique;Henrique;Henry;Henry;Hank;Henri
Eneko;Èneco;Èneco;Èneco;Íñigo;Eneko;Íñigo;Íñigo;Inigo;Inigo;Eneko;Inigo
Enetz;Enetz;Enetz;Enetz;Enezo;Enezo;Enezo;Enezo;Enetz;Enetz;Enetz;Enetz
Eragin;Eragin;Eragin;Eragin;Influencia;Influencia;Influência;Influência;Influence;Influence;Eragin;Influence
Erik;Èric;Èric;Èric;Eric;Eric;Erico;Érico;Eric;Eric;Erik;Éric
Erle;Abella;Abella;Abella;Abeja;Abella;Abelha;Abelha;Bee;Bee;Erle;Abeille
Ernai;Desperta;Desperta;Desperta;Alerta;Alerta;Alerta;Alerta;Alert;Alert;Ernai;Alerte
Ero;Boig;Boig;Boig;Loco;Tolo;Louco;Louco;Mad;Mad;Ero;Fou
Esti;Mel;Mel;Mel;Miel;Mel;Mel;Mel;Honey;Honey;Esti;Miel
Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun;Etxahun
Gaizka;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Sal;Sauveur
Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri
Garaitz;Victòria;Victòria;Victòria;Victoria;Victoria;Vitória;Vitória;Victory;Victory;Vickie;Victoire
Garazi;Gràcia;Gràcia;Gràcia;Engracia;Engracia;Engrácia;Engrácia;Grace;Grace;Gracie;Engrâce
Gari;Blat;Blat;Blat;Trigo;Trigo;Trigo;Trigo;Wheat;Wheat;Gari;Blé
Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz
Garoa;Folguera;Folguera;Folguera;Helecho;Fento;Feto;Feto;Fern;Fern;Garoa;Fougère
Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot
Gartze;Gràcia;Gràcia;Gràcia;Gracia;Gracia;Graça;Graça;Grace;Grace;Gracie;Grâce
Gartzen;Graciós;Graciós;Graciós;Gracioso;Gracioso;Gracioso;Gracioso;Gracious;Gracious;Gartzen;Gracieux
Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari
Gau;Nit;Nit;Nit;Noche;Noite;Noite;Noite;Night;Night;Gau;Nuit
Gauargi;Llum de nit;Llum de nit;Llum de nit;Luz nocturna;Luz nocturna;Luz noturna;Luz noturna;Nightlight;Nightlight;Gauargi;Lumière de nuit
Gontzal;Gonçal;Gonçal;Gonçal;Gonzalo;Gonzalo;Gonçalo;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve
Gorane;Exaltació;Exaltació;Exaltació;Exaltación;Exaltación;Exaltação;Exaltação;Exaltation;Exaltation;Gorane;Exaltation
Gorka;Jordi;Jordi;Jordi;Jorge;Xurxo;Jorge;Jorge;George;George;Georgethon;Georges
Gorosti;Grèvol;Grèvol;Grèvol;Acebo;Azevo;Azevinho;Azevinho;Holly;Holly;Gorosti;Houx
Gotzon;Àngel;Àngel;Àngel;Ángel;Anxo;Ângelo;Ângelo;Angel;Angel;Angel;Ange
Haizea;Vent;Vent;Vent;Viento;Vento;Vento;Vento;Wind;Wind;Haizea;Vent
Haran;Vall;Vall;Vall;Valle;Valle;Vale;Vale;Valley;Valley;Haran;Vallée
Haranburu;Cap de la vall;Cap de la vall;Cap de la vall;Cabeza del valle;Cabeza do valle;Cabeça do vale;Cabeça do vale;Valleyhead;Valleyhead;Haranburu;Chef-de-vallée
Haritz;Roure;Roure;Roure;Roble;Carballo;Carvalho;Carvalho;Oak;Oak;Aritz;Chêne
Harkaitz;Penya;Penya;Penya;Peña;Pena;Rocha;Rocha;Rock;Rock;Harkaitz;Rocher
Hegoi;Vent del sud;Vent del sud;Vent del sud;Viento del sur;Vento do sur;Vento do sul;Vento do sul;Southwind;Southwind;Hegoi;Vent du sud
Hirune;Trinitat;Trinitat;Trinitat;Trinidad;Trindade;Trindade;Trindade;Trinity;Trinity;Hirune;Trinité
Hodei;Núvol;Núvol;Núvol;Nube;Nube;Nuvem;Nuvem;Cloud;Cloud;Hodei;Nuage
Ibai;Riu;Riu;Riu;Río;Río;Rio;Rio;River;River;Ibai;Rivière
Ibar;Vall;Vall;Vall;Valle;Valle;Vale;Vale;Valley;Valley;Ibar;Vallée
Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor
Iker;Visitació;Visitació;Visitació;Visitación;Visitación;Visitação;Visitação;Visitation;Visitation;Iker;Visitation
Ilargi;Lluna;Lluna;Lluna;Luna;Lúa;Lua;Lua;Moon;Moon;Luna;Lune
Ilazki;Llum de lluna;Llum de lluna;Llum de lluna;Luz de luna;Luz de lúa;Luz da lua;Luz da lua;Moonlight;Moonlight;Ilazki;Clair de lune
Ilun;Fosc;Fosc;Fosc;Oscuro;Escuro;Escuro;Escuro;Dark;Dark;Ilun;Sombre
Imanol;Manel;Manel;Manel;Manuel;Manuel;Manuel;Manuel;Manuel;Manuel;Manny;Manuel
Iñaki;Ignasi;Ignasi;Ignasi;Ignacio;Ignacio;Inácio;Inácio;Ignatius;Ignatius;Iggy;Ignace
Iñigo;Íñigo;Íñigo;Íñigo;Íñigo;Íñigo;Íñigo;Íñigo;Inigo;Inigo;Iñigo;Inigo
Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai
Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati
Iratzeder;Falguera bella;Falguera bella;Falguera bella;Helecho bello;Fento belo;Feto belo;Feto belo;Beautiful fern;Beautiful fern;Iratzeder;Fougère belle
Irene;Irene;Irene;Irene;Irene;Irea;Irene;Irene;Irene;Irene;Ireen;Irène
Irrintzi;Crida;Crida;Crida;Grito;Berro;Grito;Grito;Shout;Shout;Irrintzi;Cri
Iruñe;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Iruñe;Pampelune
Isats;Gesta;Gesta;Gesta;Retama;Xesta;Giesta;Giesta;Broom;Broom;Isats;Genêt
Itsasne;Maria del Mar;Maria del Mar;Maria del Mar;Mar;Mariña;Mar;Mar;Ocean;Ocean;Itsasne;Marine
Itsaso;Mar;Mar;Mar;Mar;Mar;Mar;Mar;Sea;Sea;Itsaso;Mer
Itur;Font;Font;Font;Fuente;Fonte;Fonte;Fonte;Fountain;Fountain;Itur;Fontaine
Iturri;Font;Font;Font;Fuente;Fonte;Fonte;Fonte;Fountain;Fountain;Iturri;Fontaine
Itxaro;Esperança;Esperança;Esperança;Esperanza;Esperanza;Esperança;Esperança;Hope;Hope;Itxaro;Espérance
Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar
Izadi;Natura;Natura;Natura;Naturaleza;Natureza;Natureza;Natureza;Nature;Nature;Izadi;Nature
Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan
Izar;Estel;Estel;Estel;Estrella;Estrela;Estrela;Estrela;Star;Star;Izar;Étoile
Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro
Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun
Izotz;Gel;Gel;Gel;Hielo;Xeo;Gelo;Gelo;Ice;Ice;Izotz;Glace
Jon;Joan;Joan;Joan;Juan;Xoán;João;João;John;John;Deshawn;Jean
Julen;Julià;Julià;Julià;Julián;Xulián;Julião;Julião;Julian;Julian;Julian;Julien
June;June;June;June;June;June;June;June;June;June;June;June
Karlos;Carles;Carles;Carles;Carlos;Carlos;Carlos;Carlos;Charles;Charles;Charley;Charles
Katalin;Caterina;Caterina;Caterina;Catalina;Catalina;Catarina;Catarina;Catherine;Catherine;Kayla;Catherine
Kattalin;Caterineta;Caterineta;Caterineta;Catalinita;Cataliniña;Catarininha;Catarininha;Cathy;Cathy;Kattie;Catherinette
Kemen;Valor;Valor;Valor;Valor;Valor;Valor;Valor;Courage;Courage;Kemen;Courage
Kepa;Pere;Pere;Pere;Pedro;Pedro;Pedro;Pedro;Peter;Peter;Pete;Pierre
Kerman;Germà;Germà;Germà;Germán;Xermán;Germano;Germano;German;German;Germain;Germain
Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza
Koldo;Lluís;Lluís;Lluís;Luis;Lois;Luís;Luís;Louis;Louis;Louie;Louis
Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida
Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain
Lander;Lleandre;Lleandre;Lleandre;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Lander;Léandre
Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun
Leire;Leire;Leire;Leire;Leyre;Leire;Leire;Leire;Leire;Leire;Leire;Leyre
Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe
Lide;Lídia;Lídia;Lídia;Lidia;Lidia;Lídia;Lídia;Lydia;Lydia;Lide;Lydie
Lizar;Freixe;Freixe;Freixe;Fresno;Freixo;Freixo;Freixo;Ash;Ash;Lizar;Frêne
Lorea;Flor;Flor;Flor;Flor;Flor;Flor;Flor;Flower;Flower;Lorea;Fleur
Loredi;Roser;Roser;Roser;Rosaleda;Rosaleda;Rosal;Rosal;Rose-garden;Rose-garden;Loredi;Roseraie
Loretxe;Casa de flors;Casa de flors;Casa de flors;Casa de flores;Casa de flores;Casa de flores;Casa de flores;Flower-house;Flower-house;Loretxe;Maison des fleurs
Loretxo;Floreta;Floreta;Floreta;Florcita;Floriña;Florzinha;Florzinha;Little-flower;Little-flower;Loretxo;Fleurette
Luken;Lluc;Lluc;Lluc;Lucas;Lucas;Lucas;Lucas;Luke;Luke;Luken;Luc
Lur;Terra;Terra;Terra;Tierra;Terra;Terra;Terra;Earth;Earth;Lur;Terre
Maddalen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Maddi;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie
Maialen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Maialen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider
Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite
Malen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Marian;Maria;Maria;Maria;Mariana;Mariana;Mariana;Mariana;Marian;Marian;Marian;Marianne
Markel;Marc;Marc;Marc;Marcos;Marcos;Marcos;Marcos;Mark;Mark;Marcus;Marc
Mikel;Miquel;Miquel;Miquel;Miguel;Miguel;Miguel;Miguel;Michael;Michael;Micheal;Michel
Mikelats;Miquel;Miquel;Miquel;Miguel;Miguel;Miguel;Miguel;Michael;Michael;Micheal;Michel
Miren;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie
Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore
Nahia;Desig;Desig;Desig;Deseo;Desexo;Desejo;Desejo;Desire;Desire;Desirée;Désirée
Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara
Nekane;Dolors;Dolors;Dolors;Dolores;Dores;Dores;Dores;Dolores;Dolores;Lola;Dolores
Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea
Odei;Núvol;Núvol;Núvol;Nube;Nube;Nuvem;Nuvem;Cloud;Cloud;Odei;Nuage
Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier
Oihana;Selva;Selva;Selva;Selva;Selva;Selva;Selva;Forest;Forest;Oihana;Sylvie
Oihane;Selva;Selva;Selva;Selva;Selva;Selva;Selva;Forest;Forest;Oihane;Sylvie
Oinatz;Petjada;Petjada;Petjada;Huella;Pegada;Pegada;Pegada;Footprint;Footprint;Oinatz;Trace
Olaia;Eulàlia;Eulàlia;Eulàlia;Eulalia;Olalla;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie
Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine
Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz
Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz
Orkatz;Cabirol;Cabirol;Cabirol;Corzo;Corzo;Corço;Corço;Roe-deer;Roe-deer;Orkatz;Chevreuil
Ortzi;Cel;Cel;Cel;Cielo;Ceo;Céu;Céu;Sky;Sky;Ortzi;Ciel
Otsanda;Lloba;Lloba;Lloba;Loba;Loba;Loba;Loba;She-wolf;She-wolf;Otsanda;Louve
Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar
Peru;Pere;Pere;Pere;Pedro;Pedro;Pedro;Pedro;Peter;Peter;Pete;Pierre
Sagardo;Sidra;Sidra;Sidra;Sidra;Sidra;Sidra;Sidra;Cider;Cider;Sagardo;Cidre
Saindur;Sant;Sant;Sant;Santo;Santo;Santo;Santo;Saint;Saint;Saindur;Saint
Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa
Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi
Sua;Foc;Foc;Foc;Fuego;Lume;Fogo;Fogo;Fire;Fire;Sua;Feu
Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi;Sugoi
Suhaitz;Arbre;Arbre;Arbre;Árbol;Árbore;Árvore;Árvore;Tree;Tree;Suhaitz;Arbre
Ttala;Atalaia;Atalaia;Atalaia;Atalaya;Atalaia;Atalaia;Atalaia;Watchtower;Watchtower;Ttala;Atalaie
Uda;Estiu;Estiu;Estiu;Verano;Verán;Verão;Verão;Summer;Summer;Uda;Été
Udane;Estiu;Estiu;Estiu;Verano;Verán;Verão;Verão;Summer;Summer;Udane;Été
Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi;Udi
