gl;ca-ib;ca-va;ca;es;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Estevo;Esteve;Esteve;Esteve;Esteban;Eztebe;Estêvão;Estêvão;Stephen;Stephen;Steve;Étienne;M
Euxenia;Eugènia;Eugènia;Eugènia;Eugenia;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Genie;Eugénie;F
Euxenio;Eugeni;Eugeni;Eugeni;Eugenio;Euken;Eugénio;Eugênio;Eugene;Eugene;Gene;Eugène;M
Evaristo;Evarist;Evarist;Evarist;Evaristo;Ebaristo;Evaristo;Evaristo;Evaristus;Evaristus;Evaristo;Évariste;M
Fabián;Fabià;Fabià;Fabià;Fabián;Fabian;Fabião;Fabião;Fabian;Fabian;Fabian;Fabien;M
Fabiola;Fabiola;Fabiola;Fabiola;Fabiola;Fabiola;Fabíola;Fabíola;Fabiola;Fabiola;Fabiola;Fabiole;F
Felicidade;Felicitat;Felicitat;Felicitat;Felicidad;Felizitate;Felicidade;Felicidade;Felicity;Felicity;Felicity;Felicité;F
Froilán;Froilà;Froilà;Froilà;Froilán;Froilan;Froilão;Froilão;Froilan;Froilan;Froilan;Froila;M
Gonzalo;Gonçal;Gonçal;Gonçal;Gonzalo;Gontzal;Gonçalo;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve;M
Gumersindo;Gumersind;Gumersind;Gumersind;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersind;M
Helena;Elena;Elena;Elena;Elena;Elene;Helena;Helena;Helen;Helen;Yelena;Hélène;F
Hernán;Ferran;Ferran;Ferran;Hernán;Errando;Fernão;Fernão;Ferdinand;Ferdinand;Hernan;Fernand;M
Iago;Jaume;Jaume;Jaume;Santiago;Jakue;Tiago;Tiago;James;James;Jamal;Jacques;M
Icía;Cecília;Cecília;Cecília;Cecilia;Zezili;Cecília;Cecília;Cecilia;Cecilia;Cece;Cécile;F
Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Irie;F
Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;F
Isidro;Isidre;Isidre;Isidre;Isidro;Isidore;Isidro;Isidro;Isidore;Isidore;Isidore;Isidore;M
Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isoline;F
Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;F
Lázaro;Llàtzer;Llàtzer;Llàtzer;Lázaro;Lazar;Lázaro;Lázaro;Lazarus;Lazarus;Lazarus;Lazare;M
Lisardo;Lisard;Lisard;Lisard;Lisardo;Lisardo;Lisardo;Lisardo;Lisardo;Lisardo;Lisardo;Lisard;M
Lito;Manuel;Manel;Manel;Manolito;Imanol;Manelinho;Manelinho;Manny;Manny;Manny;Manel;M
Lois;Lluís;Lluís;Lluís;Luis;Koldobika;Luís;Luís;Louis;Louis;Louie;Louis;M
Lorenzo;Llorenç;Llorenç;Llorenç;Lorenzo;Lontzi;Lourenço;Lourenço;Lawrence;Lawrence;Larry;Laurent;M
Lúa;Lluna;Lluna;Lluna;Luna;Ilargi;Lua;Lua;Moon;Moon;Luna;Lune;F
Madalena;Magdalena;Magdalena;Magdalena;Magdalena;Maialen;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Maiola;Maiola;Maiola;Maiola;Mayola;Maiola;Maiola;Maiola;Mayola;Mayola;Mayola;Mayole;F
Manuel;Manel;Manel;Manel;Manuel;Imanol;Manuel;Manuel;Manuel;Manuel;Manny;Manuel;M
Marcos;Marc;Marc;Marc;Marcos;Marko;Marcos;Marcos;Mark;Mark;Marcus;Marc;M
María;Maria;Maria;Maria;María;Maria;Maria;Maria;Mary;Mary;Tamika;Marie;F
María Antonia;Maria Antònia;Maria Antònia;Maria Antònia;María Antonia;Maria Antone;Maria Antónia;Maria Antônia;Mary Antonia;Mary Antonia;Latonia;Marie-Antonie;F
María Xosé;Maria Josep;Maria Josep;Maria Josep;María José;Maria Josebe;Maria José;Maria José;Mary Jo;Mary Jo;Mary-Jo;Marie-Josèphe;F
Mariña;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marine;F
Martín;Martí;Martí;Martí;Martín;Martin;Martim;Martim;Martin;Martin;Martell;Martin;M
Martiño;Martí;Martí;Martí;Martín;Martin;Martim;Martim;Martin;Martin;Martell;Martin;M
Maruxa;Maria;Maria;Maria;María;Maria;Maria;Maria;Mary;Mary;Tamika;Marie;F
Mateo;Mateu;Mateu;Mateu;Mateo;Mateo;Mateus;Mateus;Matthew;Matthew;Matt;Matthieu;M
Melisa;Melisa;Melisa;Melisa;Melisa;Melisa;Melissa;Melissa;Melissa;Melissa;Missy;Mélissa;F
Mencía;Mencia;Mencia;Mencia;Mencía;Mentzia;Mencia;Mencia;Mencia;Mencia;Mencia;Mencie;F
Miguel;Miquel;Miquel;Miquel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Micheal;Michel;M
Mireia;Mireia;Mireia;Mireia;Mireya;Mireia;Mireia;Mireia;Mireia;Mireia;Miree;Mireille;F
Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;F
Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;Nikanor;Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;M
Noa;Noa;Noa;Noa;Noa;Noa;Noa;Noa;Noah;Noah;Noah;Noa;F
Noé;Noé;Noé;Noé;Noé;Noe;Noé;Noé;Noah;Noah;Noah;Noé;M
Noela;Noela;Noela;Noela;Noela;Noela;Noela;Noela;Noella;Noella;Noela;Noëlle;F
Olaia;Eulàlia;Eulàlia;Eulàlia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie;F
Olalla;Eulàlia;Eulàlia;Eulàlia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie;F
Ovidio;Ovidi;Ovidi;Ovidi;Ovidio;Ovidio;Ovídio;Ovídio;Ovid;Ovid;Ovidio;Ovide;M
Paulo;Pau;Pau;Pau;Pablo;Paul;Paulo;Paulo;Paul;Paul;Pauley;Paul;M
Pedro;Pere;Pere;Pere;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pete;Pierre;M
Pomba;Coloma;Coloma;Coloma;Paloma;Uxue;Pomba;Pomba;Dove;Dove;Paloma;Colombe;F
Prudencio;Prudenci;Prudenci;Prudenci;Prudencio;Prudentzi;Prudêncio;Prudêncio;Prudence;Prudence;Prudencio;Prudence;M
Raimundo;Ramon;Ramon;Ramon;Ramón;Erramun;Raimundo;Raimundo;Raymond;Raymond;Ray;Raymond;M
Ramiro;Ramir;Ramir;Ramir;Ramiro;Ramir;Ramiro;Ramiro;Ramiro;Ramiro;Ramiro;Ramire;M
Rebeca;Rebeca;Rebeca;Rebeca;Rebeca;Rebeke;Rebeca;Rebeca;Rebecca;Rebecca;Becca;Rébecca;F
Rexina;Regina;Regina;Regina;Regina;Erregina;Regina;Regina;Regina;Regina;Regina;Reine;F
Roi;Rodric;Roderic;Roderic;Rodrigo;Rodrigo;Rodrigo;Rodrigo;Roderick;Roderick;Rod;Rodrigue;M
Roque;Roc;Roc;Roc;Roque;Roke;Roque;Roque;Rocco;Rocco;Rocky;Roch;M
Sabela;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Isabelle;F
Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Samuel;Sammy;Samuel;M
Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Séverine;F
Severino;Severí;Severí;Severí;Severino;Severino;Severino;Severino;Severinus;Severinus;Severino;Séverin;M
Simón;Simó;Simó;Simó;Simón;Simon;Simão;Simão;Simon;Simon;Simone;Simon;M
Tadeo;Tadeu;Tadeu;Tadeu;Tadeo;Tadeo;Tadeu;Tadeu;Thaddeus;Thaddeus;Thad;Thaddée;M
Tareixa;Teresa;Teresa;Teresa;Teresa;Terexa;Teresa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Teodoro;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theodore;Theo;Théodore;M
Tomé;Tomàs;Tomàs;Tomàs;Tomás;Tomas;Tomé;Tomé;Thomas;Thomas;Thom;Thomas;M
Ubaldo;Ubald;Ubald;Ubald;Ubaldo;Ubaldo;Ubaldo;Ubaldo;Ubald;Ubald;Ubaldo;Ubalde;M
Urbano;Urbà;Urbà;Urbà;Urbano;Urbano;Urbano;Urbano;Urban;Urban;Urban;Urbain;M
Uxía;Eugènia;Eugènia;Eugènia;Eugenia;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Genie;Eugénie;F
Uxío;Eugeni;Eugeni;Eugeni;Eugenio;Euken;Eugénio;Eugênio;Eugene;Eugene;Gene;Eugène;M
Valentín;Valentí;Valentí;Valentí;Valentín;Valentin;Valentim;Valentim;Valentine;Valentine;Val;Valentin;M
Xacinto;Jacint;Jacint;Jacint;Jacinto;Jakint;Jacinto;Jacinto;Hyacinth;Hyacinth;Hyacinth;Hyacinthe;M
Xacobe;Jaume;Jaume;Jaume;Jacobo;Jakue;Jacó;Jacó;Jacob;Jacob;Jake;Jacques;M
Xacobo;Jaume;Jaume;Jaume;Jacobo;Jakue;Jacó;Jacó;Jacob;Jacob;Jake;Jacques;M
Xandra;Sandra;Sandra;Sandra;Sandra;Sandra;Alexandra;Alexandra;Alexandra;Alexandra;Zandra;Alexandra;F
Xandre;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Alex;Alexandre;M
Xela;Àngela;Àngela;Àngela;Ángela;Aingeru;Ângela;Ângela;Angela;Angela;Angie;Angèle;F
Xenebra;Ginebra;Ginebra;Ginebra;Ginebra;Ginebra;Ginebra;Ginebra;Geneva;Geneva;Genova;Genève;F
Xermán;Germà;Germà;Germà;Germán;German;Germano;Germano;German;German;Germain;Germain;M
Xiana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Julienne;F
Xil;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Giles;Giles;Giles;Gilles;M
Ximena;Ximena;Ximena;Ximena;Jimena;Jimena;Jimena;Jimena;Jimena;Jimena;Jimena;Chimène;F
Xoán;Joan;Joan;Joan;Juan;Jon;João;João;John;John;Deshawn;Jean;M
Xoán Antón;Joan Antoni;Joan Antoni;Joan Antoni;Juan Antonio;Jon Antoni;João António;João Antônio;John Anthony;John Anthony;John-Antwan;Jean-Antoine;M
Xoana;Joana;Joana;Joana;Juana;Jone;Joana;Joana;Joan;Jane;Shanice;Jeanne;F
Xoanciño;Joan;Joan;Joan;Juanito;Jon;Joãozinho;Joãozinho;Johnny;Johnny;Jonny;Jean;M
Xoel;Joel;Joel;Joel;Joel;Joel;Joel;Joel;Joel;Joel;Joelle;Joël;M
Xosé;Josep;Josep;Josep;José;Joseba;José;José;Joseph;Joseph;Joe;Joseph;M
Xosefa;Josepa;Josepa;Josepa;Josefa;Josebe;Josefa;Josefa;Josephine;Josephine;Jo-Sista;Josèphe;F
Xulia;Júlia;Júlia;Júlia;Julia;Yuile;Júlia;Júlia;Julia;Julia;Juliette;Julie;F
Xulián;Julià;Julià;Julià;Julián;Julian;Julião;Julião;Julian;Julian;Julian;Julien;M
Xurxo;Jordi;Jordi;Jordi;Jorge;Gorka;Jorge;Jorge;George;George;Georgethon;Georges;M
Xusto;Just;Just;Just;Justo;Justo;Justo;Justo;Justus;Justus;Justus;Juste;M
