fr;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en_gb;en-us;en-us-af
Antoinette;Antònia;Antònia;Antònia;Antonia;Antonia;Antone;Antónia;Antônia;Antonia;Antonia;Latonia
Apolline;Apol·lònia;Apol·lònia;Apol·lònia;Apolonia;Apolonia;Apoloni;Apolónia;Apolônia;Apollonia;Apollonia;Apollonia
Ariane;Ariana;Ariana;Ariana;Ariana;Ariana;Ariane;Ariana;Ariana;Ariana;Ariana;Aryana
Armand;Armand;Armand;Armand;Armando;Armando;Arman;Armando;Armando;Armand;Armand;Armani
Armelle;Armela;Armela;Armela;Armela;Armela;Armela;Armela;Armela;Armelle;Armelle;Armelle
Arnaud;Arnau;Arnau;Arnau;Arnaldo;Arnaldo;Arnau;Arnaldo;Arnaldo;Arnold;Arnold;Arnie
Arsène;Arseni;Arseni;Arseni;Arsenio;Arsenio;Arsenio;Arsénio;Arsênio;Arsenius;Arsenius;Arsenio
Arthur;Artur;Artur;Artur;Arturo;Artur;Artur;Artur;Artur;Arthur;Arthur;Art
Aubin;Albí;Albí;Albí;Albino;Albino;Albin;Albino;Albino;Albin;Albin;Alvin
Aude;Auda;Auda;Auda;Alda;Alda;Alde;Alda;Alda;Alda;Alda;Alda
Audric;Aldric;Aldric;Aldric;Aldrico;Aldrico;Aldric;Aldrico;Aldrico;Aldric;Aldric;Audric
Augustin;Agustí;Agustí;Agustí;Agustín;Agostiño;Augustin;Agostinho;Agostinho;Augustine;Augustine;August
Aurèle;Aureli;Aureli;Aureli;Aurelio;Aurelio;Aurelio;Aurélio;Aurélio;Aurelius;Aurelius;Aurelius
Aurélie;Aurèlia;Aurèlia;Aurèlia;Aurelia;Aurelia;Aure;Aurélia;Aurélia;Aurelia;Aurelia;Aurelia
Aurélien;Aurelià;Aurelià;Aurelià;Aureliano;Aureliano;Aureliano;Aureliano;Aureliano;Aurelian;Aurelian;Aurelian
Aurore;Aurora;Aurora;Aurora;Aurora;Aurora;Goizargi;Aurora;Aurora;Aurora;Aurora;Rora
Axelle;Axel·la;Axel·la;Axel·la;Axela;Axela;Axelle;Axela;Axela;Axelle;Axelle;Axelle
Baptiste;Baptista;Baptista;Baptista;Bautista;Bautista;Batista;Batista;Batista;Baptist;Baptist;Baptist
Basile;Basili;Basili;Basili;Basilio;Basilio;Basili;Basílio;Basílio;Basil;Basil;Basil
Bastien;Sebastià;Sebastià;Sebastià;Sebastián;Sebastián;Sebas;Sebastião;Sebastião;Sebastian;Sebastian;Seb
Béatrice;Beatriu;Beatriu;Beatriu;Beatriz;Beatriz;Batirtze;Beatriz;Beatriz;Beatrice;Beatrice;Beatrice
Benjamin;Benjamí;Benjamí;Benjamí;Benjamín;Benxamín;Benjamin;Benjamim;Benjamim;Benjamin;Benjamin;Benji
Benoît;Benet;Benet;Benet;Benito;Bieito;Benedit;Bento;Bento;Benedict;Benedict;Ben
Bérénice;Berenice;Berenice;Berenice;Berenice;Berenice;Berenize;Berenice;Berenice;Berenice;Berenice;Berenice
Bernadette;Bernadeta;Bernadeta;Bernadeta;Bernadette;Bernadette;Bernadete;Bernadete;Bernadete;Bernadette;Bernadette;Bernadette
Bernard;Bernat;Bernat;Bernat;Bernardo;Bernardo;Bernat;Bernardo;Bernardo;Bernard;Bernard;Bernie
Bertrand;Bertran;Bertran;Bertran;Beltrán;Bertrán;Bertran;Bertrando;Bertrando;Bertram;Bertram;Bertram
Blaise;Blai;Blai;Blai;Blas;Brais;Bladi;Brás;Brás;Blaise;Blaise;Blaze
Blandine;Blandina;Blandina;Blandina;Blandina;Blandina;Blandine;Blandina;Blandina;Blandina;Blandina;Blandina
Boniface;Bonifaci;Bonifaci;Bonifaci;Bonifacio;Bonifacio;Bonifazio;Bonifácio;Bonifácio;Boniface;Boniface;Boniface
Brigitte;Brígida;Brígida;Brígida;Brígida;Bríxida;Brigida;Brígida;Brígida;Bridget;Bridget;Biddy
Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno;Bruno
Calixte;Calixt;Calixt;Calixt;Calixto;Calixto;Kalisto;Calixto;Calixto;Calixtus;Calixtus;Calixto
Camille;Camil;Camil;Camil;Camilo;Camilo;Kamilo;Camilo;Camilo;Camille;Camille;Camille
Capucine;Caputxina;Caputxina;Caputxina;Capuchina;Capuchina;Capucine;Capuchinha;Capuchinha;Capucine;Capucine;Capucine
Carine;Carina;Carina;Carina;Carina;Carina;Karine;Carina;Carina;Carina;Carina;Karine
Carmelle;Carme;Carme;Carme;Carmen;Carme;Karmen;Carmo;Carmo;Carmel;Carmel;Carmel
Caroline;Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Carolina;Caroline;Caroline;Carrie
Cassandre;Cassandra;Cassandra;Cassandra;Cassandra;Cassandra;Kasandra;Cassandra;Cassandra;Cassandra;Cassandra;Cassandra
Catherine;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Catherine;Catherine;Kayla
Cécile;Cecília;Cecília;Cecília;Cecilia;Icía;Zezili;Cecília;Cecília;Cecilia;Cecilia;Cece
Cédric;Cédric;Cédric;Cédric;Cedric;Cedric;Sedrik;Cédric;Cédric;Cedric;Cedric;Cedric
Célestin;Celestí;Celestí;Celestí;Celestino;Celestino;Selestino;Celestino;Celestino;Celestine;Celestine;Celestine
Céline;Celia;Celia;Celia;Celia;Celia;Zelia;Célia;Célia;Celia;Celia;Cece
Cerise;Cirera;Cirera;Cirera;Cereza;Cereixa;Gerezi;Cereja;Cereja;Cherry;Cherry;Cherry
Césaire;Cèsar;Cèsar;Cèsar;César;César;Zesar;César;César;Caesar;Caesar;Cezar
Chantal;Txantal;Txantal;Txantal;Chantal;Chantal;Txantal;Chantal;Chantal;Chantal;Chantal;Chantal
Charles;Carles;Carles;Carles;Carlos;Carlos;Karlata;Carlos;Carlos;Charles;Charles;Charley
Charlotte;Carlota;Carlota;Carlota;Carlota;Carlota;Karlote;Carlota;Carlota;Charlotte;Charlotte;Lottie
Chloé;Cloe;Cloe;Cloe;Cloe;Cloe;Kloe;Cloe;Cloe;Chloe;Chloe;Khloe
Christelle;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christina;Christina;Chrissy
Christine;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christine;Christine;Chrissy
Christophe;Cristòfol;Cristòfol;Cristòfol;Cristóbal;Cristovo;Kristobal;Cristóvão;Cristóvão;Christopher;Christopher;Chris
Claire;Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Claire;Claire;Clarette
Clarisse;Clarissa;Clarissa;Clarissa;Clarisa;Clarisa;Klaris;Clarice;Clarice;Clarice;Clarice;Clarissa
Claude;Claudi;Claudi;Claudi;Claudio;Claudio;Klaudio;Cláudio;Cláudio;Claude;Claude;Claude
Claudine;Clàudia;Clàudia;Clàudia;Claudia;Claudia;Klaudia;Cláudia;Cláudia;Claudine;Claudine;Claudette
Cléandre;Cleandre;Cleandre;Cleandre;Cleandro;Cleandro;Kleandro;Cleandro;Cleandro;Cleander;Cleander;Cleander
Clémence;Climentça;Climentça;Climentça;Clemencia;Clemencia;Klementze;Clemência;Clemência;Clemency;Clemence;Clemence
Clément;Climent;Climent;Climent;Clemente;Clemente;Klemente;Clemente;Clemente;Clement;Clement;Clement
Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;Clotilde;Klotilde;Clotilde;Clotilde;Clotilde;Clotilde;Clotilde
Clovis;Lluís;Lluís;Lluís;Clodoveo;Clodoveo;Koldobika;Clodoveu;Clodoveu;Clovis;Clovis;Clovis
Colette;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Colette;Colette;Colette
Coline;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nicolasa;Nikole;Nicolau;Nicolau;Colleen;Colleen;Colleen
Constance;Constança;Constança;Constança;Constanza;Constanza;Konstantze;Constança;Constança;Constance;Constance;Connie
Constant;Constant;Constant;Constant;Constante;Constante;Konstantin;Constante;Constante;Constant;Constant;Constant
Coralie;Coràlia;Coràlia;Coràlia;Coralia;Coralia;Koralie;Corália;Corália;Coralie;Coralie;Coralie
Corentin;Corentí;Corentí;Corentí;Corentino;Corentino;Corentin;Corentino;Corentino;Corentin;Corentin;Corentin
Corinne;Corinna;Corinna;Corinna;Corina;Corina;Korine;Corina;Corina;Corinne;Corinne;Corinne
Cyprien;Cebrià;Cebrià;Cebrià;Cipriano;Cibrán;Kipiren;Cipriano;Cipriano;Cyprian;Cyprian;Cyprian
Cyril;Cirille;Cirille;Cirille;Cirilo;Cirilo;Ziril;Cirilo;Cirilo;Cyril;Cyril;Cyril
Cyrille;Cirille;Cirille;Cirille;Cirilo;Cirilo;Ziril;Cirilo;Cirilo;Cyril;Cyril;Cyril
Damien;Damià;Damià;Damià;Damián;Damián;Damian;Damião;Damião;Damian;Damian;Damien
Damiens;Damià;Damià;Damià;Damián;Damián;Damian;Damião;Damião;Damian;Damian;Damien
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny
Darius;Darío;Darío;Darío;Darío;Darío;Dario;Dário;Dário;Darius;Darius;Darius
David;David;David;David;David;David;Davidi;David;David;David;David;Dave
Delphine;Delfina;Delfina;Delfina;Delfina;Delfina;Delfine;Delfina;Delfina;Delphine;Delphine;Delphine
Denis;Dionís;Dionís;Dionís;Dionisio;Dinis;Dunixi;Dionísio;Dionísio;Dennis;Dennis;Deion
Denise;Denisa;Denisa;Denisa;Denise;Denise;Denise;Denise;Denise;Denise;Denise;Deneen
Diane;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diana;Diane;Deanna
Didier;Desideri;Desideri;Desideri;Desiderio;Desiderio;Desiderio;Desidério;Desidério;Desiderius;Desiderius;Derek
Dimitri;Demetri;Demetri;Demetri;Demetrio;Demetrio;Demetrio;Demétrio;Demétrio;Demetrius;Demetrius;Dimitri
Dominique;Domènec;Domènec;Domènec;Domingo;Domingo;Domeka;Domingos;Domingos;Dominic;Dominic;Dominique
Donatien;Donacià;Donacià;Donacià;Donaciano;Donaciano;Donatiano;Donaciano;Donaciano;Donatian;Donatian;Donatien
Édith;Èdith;Èdith;Èdith;Edita;Edite;Edit;Edite;Edite;Edith;Edith;Edie
Édouard;Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Eduardo;Edward;Edward;Eddie
Églantine;Eglantina;Eglantina;Eglantina;Eglantina;Eglantina;Eglantine;Eglantina;Eglantina;Eglantine;Eglantine;Eglantine
Éléonore;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Nora
Élie;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elias;Elijah;Eli;Eli
Élina;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Elaina;Elaina;Elaina
Élisabeth;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya
Élise;Elisabet;Elisabet;Elisabet;Elisa;Elisa;Elise;Elisa;Elisa;Elise;Elise;Lisa
Élodie;Elòdia;Elòdia;Elòdia;Elodia;Elodia;Elodie;Elódia;Elódia;Elodie;Elodie;Elodie
Éloi;Eloi;Eloi;Eloi;Eloy;Eloi;Eloi;Elói;Elói;Eloy;Eloy;Eloy
Éloïse;Eloïsa;Eloïsa;Eloïsa;Eloísa;Eloísa;Eloisa;Eloísa;Eloísa;Eloise;Eloise;Eloise
Émeric;Amalric;Amalric;Amalric;Américo;Américo;Ameriko;Américo;Américo;Americus;Americo;Aymeric
Émile;Emili;Emili;Emili;Emilio;Emilio;Emili;Emílio;Emílio;Emil;Emil;Emil
Émilie;Emília;Emília;Emília;Emilia;Emilia;Emile;Emília;Emília;Emily;Emily;Emmy
Emmanuelle;Manuela;Manuela;Manuela;Manuela;Manuela;Imanol;Manuela;Manuela;Emmanuelle;Emmanuelle;Emmanuelle
Enguerrand;Enguerrand;Enguerrand;Enguerrand;Enguerrando;Enguerrando;Enguerrand;Enguerrando;Enguerrando;Enguerrand;Enguerrand;Enguerrand
Énora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora;Enora
Éric;Èric;Èric;Èric;Eric;Eric;Erika;Erico;Érico;Eric;Eric;Erik
Erwan;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn
Esmée;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Amada;Esme;Esme;Esme
Estelle;Estel;Estel;Estel;Estrella;Estrela;Izar;Estela;Estrela;Stella;Stella;Stella
Étienne;Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estêvão;Estêvão;Stephen;Stephen;Steve
Eugénie;Eugènia;Eugènia;Eugènia;Eugenia;Euxenia;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Genie
Eulalie;Eulàlia;Eulàlia;Eulàlia;Eulalia;Olaia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia
Eusèbe;Eusebi;Eusebi;Eusebi;Eusebio;Eusebio;Eusebio;Eusébio;Eusébio;Eusebius;Eusebius;Eusebius
Fabien;Fabià;Fabià;Fabià;Fabián;Fabián;Fabian;Fabião;Fabião;Fabian;Fabian;Fabian
Fabienne;Fabiana;Fabiana;Fabiana;Fabiana;Fabiana;Fabiane;Fabiana;Fabiana;Fabiana;Fabiana;Fabiana
Fabrice;Fabrici;Fabrici;Fabrici;Fabricio;Fabricio;Fabrizio;Fabrício;Fabrício;Fabricius;Fabricio;Fabricio
Fanny;Francesca;Francesca;Francesca;Francisca;Francisca;Frantzeska;Francisca;Francisca;Frances;Frances;Frani
Félix;Fèlix;Fèlix;Fèlix;Félix;Félix;Felix;Félix;Félix;Felix;Felix;Felix
Firmin;Fermí;Fermí;Fermí;Fermín;Fermín;Fermin;Fermim;Fermim;Firmin;Firmin;Firmin
Flavie;Flàvia;Flàvia;Flàvia;Flavia;Flavia;Flabia;Flávia;Flávia;Flavia;Flavia;Flavia
Fleur;Flor;Flor;Flor;Flor;Flor;Lorea;Flor;Flor;Flower;Flower;Lorea
Florence;Florència;Florència;Florència;Florencia;Florencia;Florentzi;Florência;Florência;Florence;Florence;Flo
Florent;Florent;Florent;Florent;Florente;Florente;Florent;Florente;Florente;Florent;Florent;Florent
Florentin;Florentí;Florentí;Florentí;Florentino;Florentino;Florentino;Florentino;Florentino;Florentin;Florentin;Florentin
Florian;Florià;Florià;Florià;Florián;Florián;Florian;Floriano;Floriano;Florian;Florian;Florian
Floriane;Floriana;Floriana;Floriana;Floriana;Floriana;Floriane;Floriana;Floriana;Floriana;Floriana;Floriana
François;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Francis;Francis;Frank
Françoise;Francesca;Francesca;Francesca;Francisca;Francisca;Frantzeska;Francisca;Francisca;Frances;Frances;Frani
Frédéric;Frederic;Frederic;Frederic;Federico;Federico;Frederiko;Frederico;Frederico;Frederick;Frederick;Fred
Gabin;Gabin;Gabin;Gabin;Gabino;Gabino;Gabin;Gabino;Gabino;Gavin;Gavin;Gavin
Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabirel;Gabriel;Gabriel;Gabriel;Gabriel;Gabe
Gabrielle;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Gabrielle;Gabrielle;Gaby
Gaël;Gaël;Gaël;Gaël;Gaël;Gaël;Gael;Gael;Gael;Gael;Gael;Gael
Gaëlle;Gaëlle;Gaëlle;Gaëlle;Gaëlle;Gaëlle;Gaelle;Gaelle;Gaelle;Gaelle;Gaelle;Gaelle
Gaétan;Gaietà;Gaietà;Gaietà;Cayetano;Caietano;Kaiet;Caetano;Caetano;Gaetan;Gaetan;Gaetan
Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance;Garance
Gaspard;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Jasper;Jasper;Gaspar
Gaston;Gastó;Gastó;Gastó;Gastón;Gastón;Gaston;Gastão;Gastão;Gaston;Gaston;Gaston
Gauthier;Valter;Valter;Valter;Gualterio;Gualterio;Gualter;Gualtério;Gualtério;Walter;Walter;Walter
Gédéon;Gedeó;Gedeó;Gedeó;Gedeón;Gedeón;Gedeon;Gideão;Gideão;Gideon;Gideon;Gideon
Geneviève;Genoveva;Genoveva;Genoveva;Genoveva;Genoveva;Genobeba;Genoveva;Genoveva;Genevieve;Genevieve;Genevieve
Georges;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;Jorge;George;George;Georgethon
Gérald;Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Gerald;Gerald;Gerry
Gérard;Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Gerard;Gerard;Garrett
Géraud;Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Gerald;Gerald;Gerry
Ghislain;Gislà;Gislà;Gislà;Gislán;Gislán;Gislain;Gislão;Gislão;Ghislain;Ghislain;Ghislain
Gilles;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Giles;Giles;Giles
Gisèle;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela;Gisela
Gratien;Gracià;Gracià;Gracià;Graciano;Graciano;Gratian;Graciano;Graciano;Gratian;Gratian;Gratian
Grégoire;Gregori;Gregori;Gregori;Gregorio;Gregorio;Gregorio;Gregório;Gregório;Gregory;Gregory;Greg
Guénolé;Guinhola;Guinhola;Guinhola;Guinolé;Guinolé;Guenole;Guinolé;Guinolé;Guenole;Guenole;Guenole
Guillaume;Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;William;William;Willie
Gustave;Gustau;Gustau;Gustau;Gustavo;Gustavo;Gustabo;Gustavo;Gustavo;Gustav;Gustave;Gus
Gwenaëlle;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen;Gwen
Hector;Hèctor;Hèctor;Hèctor;Héctor;Héitor;Hektor;Heitor;Heitor;Hector;Hector;Hector
Hélène;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Helen;Helen;Helen
Henri;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henrique;Henry;Henry;Hank
Henriette;Enriqueta;Enriqueta;Enriqueta;Enriqueta;Henriqueta;Endrike;Henriqueta;Henriqueta;Harriet;Harriet;Hattie
Hervé;Hervé;Hervé;Hervé;Hervé;Hervé;Herbe;Hervé;Hervé;Harvey;Harvey;Harvey
Honoré;Honrat;Honrat;Honrat;Honorato;Honorato;Onorata;Honorato;Honorato;Honor;Honor;Honor
Hortense;Hortènsia;Hortènsia;Hortènsia;Hortensia;Hortensia;Hortentsia;Hortênsia;Hortênsia;Hortense;Hortense;Hortensia
Hugo;Hug;Hug;Hug;Hugo;Hugo;Hugo;Hugo;Hugo;Hugh;Hugo;Hugo
Inès;Inés;Inés;Inés;Inés;Inés;Inese;Inês;Inês;Agnes;Agnes;Nessie
Irène;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Ireen
Isabeau;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Latoya
Isabelle;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya
Isaline;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Iseline;Iseline;Iseline
Isidore;Isidre;Isidre;Isidre;Isidro;Isidro;Isidore;Isidro;Isidro;Isidore;Isidore;Isidore
Jacqueline;Jaquelina;Jaquelina;Jaquelina;Jacqueline;Xaqueline;Jakue;Jaqueline;Jaqueline;Jacqueline;Jacqueline;Jackie
Jacques;Jaume;Jaume;Jaume;Santiago;Santiago;Jakue;Tiago;Tiago;James;James;Jamal
Jean;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Deshawn
Jeanne;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Joan;Jane;Shanice
Jérôme;Jeroni;Jeroni;Jeroni;Jerónimo;Xerónimo;Jeronimo;Jerónimo;Jerônimo;Jerome;Jerome;Jerry
Joël;Joel;Joel;Joel;Joel;Xoel;Joel;Joel;Joel;Joel;Joel;Joelle
Joséphine;Josepa;Josepa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josephine;Josephine;Jo-Sista
Josette;Josepa;Josepa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josie;Josie;Josie
Josselin;Josselí;Josselí;Josselí;Jocelyn;Xocelín;Jozulin;Jocelino;Jocelino;Jocelyn;Jocelyn;Jocelyn
Jules;Juli;Juli;Juli;Julio;Xulio;Yuli;Júlio;Júlio;Jules;Jules;Jules
Julie;Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Júlia;Julia;Julia;Juliette
Julien;Julià;Julià;Julià;Julián;Xulián;Julian;Julião;Julião;Julian;Julian;Julian
Juliette;Julieta;Julieta;Julieta;Julieta;Xulieta;Yuliete;Julieta;Julieta;Juliet;Juliet;Juliette
Laetitia;Letícia;Letícia;Letícia;Leticia;Leticia;Letizia;Letícia;Letícia;Letitia;Letitia;Letty
Laurence;Llorença;Llorença;Llorença;Lorenza;Lourenza;Lontzi;Lourença;Lourença;Lauren;Lauren;Lauren
Laurent;Llorenç;Llorenç;Llorenç;Lorenzo;Lourenzo;Lontzi;Lourenço;Lourenço;Lawrence;Lawrence;Larry
Laurine;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Lauryn
Lazare;Llàtzer;Llàtzer;Llàtzer;Lázaro;Lázaro;Lazar;Lázaro;Lázaro;Lazarus;Lazarus;Lazarus
Léa;Lia;Lia;Lia;Lía;Lía;Lia;Lia;Lia;Leah;Leah;Leah
Léandre;Lleandre;Lleandre;Lleandre;Leandro;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Lander
Léo;Lleó;Lleó;Lleó;Leo;Leo;Leo;Leo;Leo;Leo;Leo;Leo
Léon;Lleó;Lleó;Lleó;León;León;Leon;Leão;Leão;Leon;Leon;Leon
Léonie;Leònia;Leònia;Leònia;Leonia;Leonia;Leonia;Leónia;Leônia;Leonie;Leonie;Leonie
Léopold;Leopold;Leopold;Leopold;Leopoldo;Leopoldo;Leopoldo;Leopoldo;Leopoldo;Leopold;Leopold;Leo
