eu;ca-ib;ca-va;ca;es;gl;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;Gaiztiri;M
Garaitz;Victòria;Victòria;Victòria;Victoria;Victoria;Vitória;Vitória;Victory;Victory;Vickie;Victoire;F
Garazi;Gràcia;Gràcia;Gràcia;Engracia;Engracia;Engrácia;Engrácia;Grace;Grace;Gracie;Engrâce;F
Gari;Blat;Blat;Blat;Trigo;Trigo;Trigo;Trigo;Wheat;Wheat;Gari;Blé;M
Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;Garikoitz;M
Garoa;Folguera;Folguera;Folguera;Helecho;Fento;Feto;Feto;Fern;Fern;Garoa;Fougère;F
Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;Gartxot;M
Gartze;Gràcia;Gràcia;Gràcia;Gracia;Gracia;Graça;Graça;Grace;Grace;Gracie;Grâce;M
Gartzen;Graciós;Graciós;Graciós;Gracioso;Gracioso;Gracioso;Gracioso;Gracious;Gracious;Gartzen;Gracieux;M
Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;Gatari;M
Gau;Nit;Nit;Nit;Noche;Noite;Noite;Noite;Night;Night;Gau;Nuit;F
Gauargi;Llum de nit;Llum de nit;Llum de nit;Luz nocturna;Luz nocturna;Luz noturna;Luz noturna;Nightlight;Nightlight;Gauargi;Lumière de nuit;F
Gontzal;Gonçal;Gonçal;Gonçal;Gonzalo;Gonzalo;Gonçalo;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve;M
Gorane;Exaltació;Exaltació;Exaltació;Exaltación;Exaltación;Exaltação;Exaltação;Exaltation;Exaltation;Gorane;Exaltation;F
Gorka;Jordi;Jordi;Jordi;Jorge;Xurxo;Jorge;Jorge;George;George;Georgethon;Georges;M
Gorosti;Grèvol;Grèvol;Grèvol;Acebo;Azevo;Azevinho;Azevinho;Holly;Holly;Gorosti;Houx;M
Gotzon;Àngel;Àngel;Àngel;Ángel;Anxo;Ângelo;Ângelo;Angel;Angel;Angel;Ange;M
Haizea;Vent;Vent;Vent;Viento;Vento;Vento;Vento;Wind;Wind;Haizea;Vent;F
Haran;Vall;Vall;Vall;Valle;Valle;Vale;Vale;Valley;Valley;Haran;Vallée;M
Haranburu;Cap de la vall;Cap de la vall;Cap de la vall;Cabeza del valle;Cabeza do valle;Cabeça do vale;Cabeça do vale;Valleyhead;Valleyhead;Haranburu;Chef-de-vallée;M
Haritz;Roure;Roure;Roure;Roble;Carballo;Carvalho;Carvalho;Oak;Oak;Aritz;Chêne;M
Harkaitz;Penya;Penya;Penya;Peña;Pena;Rocha;Rocha;Rock;Rock;Harkaitz;Rocher;M
Hegoi;Vent del sud;Vent del sud;Vent del sud;Viento del sur;Vento do sur;Vento do sul;Vento do sul;Southwind;Southwind;Hegoi;Vent du sud;M
Hirune;Trinitat;Trinitat;Trinitat;Trinidad;Trindade;Trindade;Trindade;Trinity;Trinity;Hirune;Trinité;F
Hodei;Núvol;Núvol;Núvol;Nube;Nube;Nuvem;Nuvem;Cloud;Cloud;Hodei;Nuage;M
Ibai;Riu;Riu;Riu;Río;Río;Rio;Rio;River;River;Ibai;Rivière;M
Ibar;Vall;Vall;Vall;Valle;Valle;Vale;Vale;Valley;Valley;Ibar;Vallée;M
Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;M
Iker;Visitació;Visitació;Visitació;Visitación;Visitación;Visitação;Visitação;Visitation;Visitation;Iker;Visitation;M
Ilargi;Lluna;Lluna;Lluna;Luna;Lúa;Lua;Lua;Moon;Moon;Luna;Lune;F
Ilazki;Llum de lluna;Llum de lluna;Llum de lluna;Luz de luna;Luz de lúa;Luz da lua;Luz da lua;Moonlight;Moonlight;Ilazki;Clair de lune;F
Ilun;Fosc;Fosc;Fosc;Oscuro;Escuro;Escuro;Escuro;Dark;Dark;Ilun;Sombre;M
Imanol;Manel;Manel;Manel;Manuel;Manuel;Manuel;Manuel;Manuel;Manuel;Manny;Manuel;M
Iñaki;Ignasi;Ignasi;Ignasi;Ignacio;Ignacio;Inácio;Inácio;Ignatius;Ignatius;Iggy;Ignace;M
Iñigo;Íñigo;Íñigo;Íñigo;Íñigo;Íñigo;Íñigo;Íñigo;Inigo;Inigo;Iñigo;Inigo;M
Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;Irai;M
Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;Irati;F
Iratzeder;Falguera bella;Falguera bella;Falguera bella;Helecho bello;Fento belo;Feto belo;Feto belo;Beautiful fern;Beautiful fern;Iratzeder;Fougère belle;M
Irene;Irene;Irene;Irene;Irene;Irea;Irene;Irene;Irene;Irene;Ireen;Irène;F
Irrintzi;Crida;Crida;Crida;Grito;Berro;Grito;Grito;Shout;Shout;Irrintzi;Cri;M
Iruñe;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Pamplona;Iruñe;Pampelune;F
Isats;Gesta;Gesta;Gesta;Retama;Xesta;Giesta;Giesta;Broom;Broom;Isats;Genêt;M
Itsasne;Maria del Mar;Maria del Mar;Maria del Mar;Mar;Mariña;Mar;Mar;Ocean;Ocean;Itsasne;Marine;F
Itsaso;Mar;Mar;Mar;Mar;Mar;Mar;Mar;Sea;Sea;Itsaso;Mer;U
Itur;Font;Font;Font;Fuente;Fonte;Fonte;Fonte;Fountain;Fountain;Itur;Fontaine;F
Iturri;Font;Font;Font;Fuente;Fonte;Fonte;Fonte;Fountain;Fountain;Iturri;Fontaine;F
Itxaro;Esperança;Esperança;Esperança;Esperanza;Esperanza;Esperança;Esperança;Hope;Hope;Itxaro;Espérance;F
Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;Itziar;F
Izadi;Natura;Natura;Natura;Naturaleza;Natureza;Natureza;Natureza;Nature;Nature;Izadi;Nature;F
Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;Izan;M
Izar;Estel;Estel;Estel;Estrella;Estrela;Estrela;Estrela;Star;Star;Izar;Étoile;F
Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;Izaro;U
Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;Izaskun;F
Izotz;Gel;Gel;Gel;Hielo;Xeo;Gelo;Gelo;Ice;Ice;Izotz;Glace;M
Jon;Joan;Joan;Joan;Juan;Xoán;João;João;John;John;Deshawn;Jean;M
Julen;Julià;Julià;Julià;Julián;Xulián;Julião;Julião;Julian;Julian;Julian;Julien;M
June;June;June;June;June;June;June;June;June;June;June;June;F
Karlos;Carles;Carles;Carles;Carlos;Carlos;Carlos;Carlos;Charles;Charles;Charley;Charles;M
Katalin;Caterina;Caterina;Caterina;Catalina;Catalina;Catarina;Catarina;Catherine;Catherine;Kayla;Catherine;F
Kattalin;Caterineta;Caterineta;Caterineta;Catalinita;Cataliniña;Catarininha;Catarininha;Cathy;Cathy;Kattie;Catherinette;F
Kemen;Valor;Valor;Valor;Valor;Valor;Valor;Valor;Courage;Courage;Kemen;Courage;M
Kepa;Pere;Pere;Pere;Pedro;Pedro;Pedro;Pedro;Peter;Peter;Pete;Pierre;M
Kerman;Germà;Germà;Germà;Germán;Xermán;Germano;Germano;German;German;Germain;Germain;M
Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;Kizkitza;F
Koldo;Lluís;Lluís;Lluís;Luis;Lois;Luís;Luís;Louis;Louis;Louie;Louis;M
Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;Laida;F
Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;Lain;M
Lander;Lleandre;Lleandre;Lleandre;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Lander;Léandre;M
Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;Larrun;M
Leire;Leire;Leire;Leire;Leyre;Leire;Leire;Leire;Leire;Leire;Leire;Leyre;F
Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;Libe;F
Lide;Lídia;Lídia;Lídia;Lidia;Lidia;Lídia;Lídia;Lydia;Lydia;Lide;Lydie;F
Lizar;Freixe;Freixe;Freixe;Fresno;Freixo;Freixo;Freixo;Ash;Ash;Lizar;Frêne;M
Lorea;Flor;Flor;Flor;Flor;Flor;Flor;Flor;Flower;Flower;Lorea;Fleur;F
Loredi;Roser;Roser;Roser;Rosaleda;Rosaleda;Rosal;Rosal;Rose-garden;Rose-garden;Loredi;Roseraie;F
Loretxe;Casa de flors;Casa de flors;Casa de flors;Casa de flores;Casa de flores;Casa de flores;Casa de flores;Flower-house;Flower-house;Loretxe;Maison des fleurs;F
Loretxo;Floreta;Floreta;Floreta;Florcita;Floriña;Florzinha;Florzinha;Little-flower;Little-flower;Loretxo;Fleurette;F
Luken;Lluc;Lluc;Lluc;Lucas;Lucas;Lucas;Lucas;Luke;Luke;Luken;Luc;M
Lur;Terra;Terra;Terra;Tierra;Terra;Terra;Terra;Earth;Earth;Lur;Terre;U
Maddalen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Maddi;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie;F
Maialen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;Maider;F
Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;Maite;F
Malen;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Marian;Maria;Maria;Maria;Mariana;Mariana;Mariana;Mariana;Marian;Marian;Marian;Marianne;F
Markel;Marc;Marc;Marc;Marcos;Marcos;Marcos;Marcos;Mark;Mark;Marcus;Marc;M
Mikel;Miquel;Miquel;Miquel;Miguel;Miguel;Miguel;Miguel;Michael;Michael;Micheal;Michel;M
Mikelats;Miquel;Miquel;Miquel;Miguel;Miguel;Miguel;Miguel;Michael;Michael;Micheal;Michel;M
Miren;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie;F
Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;Nagore;F
Nahia;Desig;Desig;Desig;Deseo;Desexo;Desejo;Desejo;Desire;Desire;Desirée;Désirée;F
Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;F
Nekane;Dolors;Dolors;Dolors;Dolores;Dores;Dores;Dores;Dolores;Dolores;Lola;Dolores;F
Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;Nerea;F
Odei;Núvol;Núvol;Núvol;Nube;Nube;Nuvem;Nuvem;Cloud;Cloud;Odei;Nuage;M
Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;Oier;M
Oihana;Selva;Selva;Selva;Selva;Selva;Selva;Selva;Forest;Forest;Oihana;Sylvie;F
Oihane;Selva;Selva;Selva;Selva;Selva;Selva;Selva;Forest;Forest;Oihane;Sylvie;F
Oinatz;Petjada;Petjada;Petjada;Huella;Pegada;Pegada;Pegada;Footprint;Footprint;Oinatz;Trace;M
Olaia;Eulàlia;Eulàlia;Eulàlia;Eulalia;Olalla;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie;F
Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;Olaine;F
Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;Olaiz;U
Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;Olatz;F
Orkatz;Cabirol;Cabirol;Cabirol;Corzo;Corzo;Corço;Corço;Roe-deer;Roe-deer;Orkatz;Chevreuil;M
Ortzi;Cel;Cel;Cel;Cielo;Ceo;Céu;Céu;Sky;Sky;Ortzi;Ciel;M
Otsanda;Lloba;Lloba;Lloba;Loba;Loba;Loba;Loba;She-wolf;She-wolf;Otsanda;Louve;F
Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;Otxar;M
Peru;Pere;Pere;Pere;Pedro;Pedro;Pedro;Pedro;Peter;Peter;Pete;Pierre;M
Sagardo;Sidra;Sidra;Sidra;Sidra;Sidra;Sidra;Sidra;Cider;Cider;Sagardo;Cidre;M
Saindur;Sant;Sant;Sant;Santo;Santo;Santo;Santo;Saint;Saint;Saindur;Saint;M
Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;Saioa;F
Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;Saroi;U
