ca-va;ca-ib;ca;es;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Ramon;Ramon;Ramon;Ramón;Ramón;Erramun;Raimundo;Raimundo;Raymond;Raymond;Ray;Raymond;M
Raquel;Raquel;Raquel;Raquel;Raquel;Rakel;Raquel;Raquel;Rachel;Rachel;Raquelle;Rachel;F
Rosa;Rosa;Rosa;Rosa;Rosa;Arrosa;Rosa;Rosa;Rose;Rose;Rosetta;Rose;F
Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarah;Sarah;Sarai;Sarah;F
Sergi;Sergi;Sergi;Sergio;Serxio;Sergi;Sérgio;Sérgio;Sergius;Sergio;Sergio;Serge;M
Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Sílvia;Silvia;Sylvia;Sylvia;Sylvie;F
Teresa;Teresa;Teresa;Teresa;Teresa;Terexa;Teresa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Tomás;Thomas;Thomas;Thom;Thomas;M
Toni;Toni;Antoni;Toni;Antón;Antoni;Tónio;Toninho;Tony;Tony;Tony;Antoine;M
Vicent;Vicenç;Vicent;Vicente;Vicente;Bixente;Vicente;Vicente;Vincent;Vincent;Vince;Vincent;M
Vicenta;Vicenta;Vicenta;Vicenta;Vicenta;Bixente;Vicenta;Vicenta;Vincenta;Vincenta;Vicentia;Vincente;F
Xavier;Xavi;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Xavier;Zavier;Xavier;M
Ximo;Ximo;Joaquim;Joaquín;Xaquín;Iokin;Joaquim;Joaquim;Joachim;Joachim;Joakim;Joachim;M
