en-gb;ca-ib;ca-va;ca;es;gl;eu;pt-eu;pt-br;en-us;en-us-af;fr;Género
Eileen;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Eileen;Alene;Hélène;F
Elaine;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Elaine;Lany;Hélène;F
Eleanor;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Leonor;Eleanor;Nora;Éléonore;F
Eli;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elias;Eli;Eli;Élie;M
Elijah;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elias;Elijah;Eli;Élie;M
Elizabeth;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Latoya;Élisabeth;F
Ella;Ella;Ella;Ella;Ella;Ella;Ella;Ela;Ela;Ella;Ella;Ella;F
Ellen;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Ellen;Ellen;Hélène;F
Elliot;Elies;Elies;Elies;Elías;Elías;Elias;Elias;Elias;Elliot;Elliot;Élie;M
Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;Emerson;U
Emery;Emery;Emery;Emery;Emery;Emery;Emery;Emery;Emery;Emery;Emery;Emery;U
Emily;Emília;Emília;Emília;Emilia;Emilia;Emile;Emília;Emília;Emily;Emmy;Émilie;F
Emma;Emma;Emma;Emma;Emma;Ema;Ebe;Ema;Ema;Emma;Emma;Emma;F
Erica;Èrica;Èrica;Èrica;Erica;Erica;Erika;Érica;Érica;Erica;Erika;Érica;F
Erin;Erin;Erin;Erin;Erin;Erin;Erin;Erin;Erin;Erin;Erin;Erin;F
Esme;Esme;Esme;Esme;Esme;Esme;Esme;Esme;Esme;Esme;Esme;Esmée;F
Esther;Ester;Ester;Ester;Ester;Ester;Ester;Ester;Ester;Esther;Esther;Esther;F
Ethan;Etan;Etan;Etan;Etán;Etan;Etan;Etan;Etan;Ethan;Ethan;Ethan;M
Evan;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Evan;Evan;Jean;M
Evelyn;Evelina;Evelina;Evelina;Evelina;Evelina;Ebelina;Evelina;Evelina;Evelyn;Evie;Évelyne;F
Faith;Fe;Fe;Fe;Fe;Fe;Fede;Fé;Fé;Faith;Faith;Foi;F
Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;Finley;U
Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;Fiona;F
Florence;Florència;Florència;Florència;Florencia;Florencia;Florentzi;Florência;Florência;Florence;Flo;Florence;F
Frances;Francesca;Francesca;Francesca;Francisca;Francisca;Frantzeska;Francisca;Francisca;Frances;Frani;Françoise;F
Francis;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Francis;Frank;François;M
Frank;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Frank;Frank;François;M
Frankie;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Frankie;Frankie;François;U
Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;Fraser;M
Frederick;Frederic;Frederic;Frederic;Federico;Federico;Frederiko;Frederico;Frederico;Frederick;Fred;Frédéric;M
Freya;Freya;Freya;Freya;Freya;Freya;Freya;Freya;Freya;Freya;Freya;Freya;F
Gabrielle;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Gabrielle;Gaby;Gabrielle;F
Gavin;Gavin;Gavin;Gavin;Gavin;Gavin;Gabin;Gavin;Gavin;Gavin;Gavin;Gavin;M
George;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;Jorge;George;Georgethon;Georges;M
Georgia;Jordina;Jordina;Jordina;Jorge;Xurxa;Gorka;Jorge;Jorge;Georgia;Georgia;Georgine;F
Geraldine;Gerardina;Gerardina;Gerardina;Gerarda;Gerarda;Gerardine;Gerardina;Gerardina;Geraldine;Geri;Géraldine;F
Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;Gordon;M
Grace;Gràcia;Gràcia;Gràcia;Gracia;Gracia;Gartze;Graça;Graça;Grace;Gracie;Grâce;F
Graham;Graham;Graham;Graham;Graham;Graham;Graham;Graham;Graham;Graham;Graham;Graham;M
Grant;Grant;Grant;Grant;Grant;Grant;Grant;Grant;Grant;Grant;Grant;Grant;M
Gregory;Gregori;Gregori;Gregori;Gregorio;Gregorio;Gregorio;Gregório;Gregório;Gregory;Greg;Grégoire;M
Hannah;Anna;Anna;Anna;Ana;Ana;Ane;Ana;Ana;Hannah;Hana;Anne;F
Harley;Harley;Harley;Harley;Harley;Harley;Harley;Harley;Harley;Harley;Harley;Harley;U
Harold;Harold;Harold;Harold;Haroldo;Haroldo;Haroldo;Haroldo;Haroldo;Harold;Harold;Harold;M
Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;Harper;U
Harriet;Enriqueta;Enriqueta;Enriqueta;Enriqueta;Henriqueta;Endrike;Henriqueta;Henriqueta;Harriet;Hattie;Henriette;F
Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;Harrison;M
Harry;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henrique;Harry;Harry;Henri;M
Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;Harvey;M
Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;Hayden;U
Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;Hazel;F
Heather;Heather;Heather;Heather;Bruguera;Bruguera;Heather;Heather;Heather;Heather;Heather;Heather;F
Helen;Elena;Elena;Elena;Elena;Helena;Elene;Helena;Helena;Helen;Helen;Hélène;F
Henry;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henrique;Henry;Hank;Henri;M
Holly;Grèvol;Grèvol;Grèvol;Acebo;Azevo;Gorosti;Azevinho;Azevinho;Holly;Holly;Houx;F
Hope;Esperança;Esperança;Esperança;Esperanza;Esperanza;Itxaro;Esperança;Esperança;Hope;Hope;Espérance;F
Howard;Howard;Howard;Howard;Howard;Howard;Howard;Howard;Howard;Howard;Howard;Howard;M
Hugh;Hug;Hug;Hug;Hugo;Hugo;Hugo;Hugo;Hugo;Hugh;Hugh;Hugues;M
Hunter;Caçador;Caçador;Caçador;Cazador;Cazador;Ehiztari;Caçador;Caçador;Hunter;Hunter;Chasseur;U
Ian;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Ian;Ian;Jean;M
Imogen;Imogen;Imogen;Imogen;Imogen;Imogen;Imogen;Imogen;Imogen;Imogen;Imogen;Imogène;F
Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Ireen;Irène;F
Isaac;Isaac;Isaac;Isaac;Isaac;Isaac;Isaka;Isaque;Isaque;Isaac;Ike;Isaac;M
Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Latoya;Isabelle;F
Isabella;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabella;Bella;Isabelle;F
Isla;Illa;Illa;Illa;Isla;Illa;Isla;Ilha;Ilha;Isla;Isla;Isla;F
Ivy;Heura;Heura;Heura;Hiedra;Hedra;Huntz;Hera;Hera;Ivy;Ivy;Lierre;F
Jack;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;Jack;Jack;Jean;M
Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;Jackson;M
Jacob;Jacob;Jacob;Jacob;Jacobo;Xacobe;Jakue;Jacó;Jacó;Jacob;Jake;Jacob;M
Jacqueline;Jaquelina;Jaquelina;Jaquelina;Jacqueline;Xaqueline;Jakue;Jaqueline;Jaqueline;Jacqueline;Jackie;Jacqueline;F
Jade;Jade;Jade;Jade;Jade;Xade;Jade;Jade;Jade;Jade;Jade;Jade;U
James;Jaume;Jaume;Jaume;Santiago;Santiago;Jakue;Tiago;Tiago;James;Jamal;Jacques;M
Jamie;Jaume;Jaume;Jaume;Jaime;Xaime;Jakue;Jaime;Jaime;Jamie;Jamie;Jacques;U
Jane;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Jane;Shanice;Jeanne;F
Janet;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Janet;Janet;Jeanne;F
Janice;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Janice;Janice;Jeanne;F
Jason;Jason;Jason;Jason;Jasón;Jasón;Jason;Jasão;Jasão;Jason;Jason;Jason;M
Jay;Gai;Gai;Gai;Cayo;Caio;Kaio;Caio;Caio;Jay;Jay;Caïus;M
Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;Jayden;U
Jean;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Jean;Jean;Jeanne;F
Jeffrey;Geofred;Geofred;Geofred;Godofredo;Godofredo;Gofredo;Godofredo;Godofredo;Jeffrey;Jeff;Geoffroy;M
Jennifer;Ginebra;Ginebra;Ginebra;Jennifer;Jennifer;Ione;Jennifer;Jennifer;Jennifer;Jenna;Genièvre;F
Jeremy;Jeremies;Jeremies;Jeremies;Jeremías;Xeremías;Jeremi;Jeremias;Jeremias;Jeremy;Jeremee;Jérémie;M
Jerome;Jeroni;Jeroni;Jeroni;Jerónimo;Xerónimo;Jeronimo;Jerónimo;Jerônimo;Jerome;Jerry;Jérôme;M
Jerry;Jeroni;Jeroni;Jeroni;Gerardo;Xerardo;Gerardo;Geraldo;Geraldo;Jerry;Jerry;Gérald;M
Jesse;Jesús;Jesús;Jesús;Jesé;Xese;Yese;Jessé;Jessé;Jesse;Jesse;Jessé;M
Jessica;Jèssica;Jèssica;Jèssica;Jessica;Jessica;Jesika;Jéssica;Jéssica;Jessica;Jazzy;Jessica;F
Joan;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Joan;Joan;Jeanne;F
Joanna;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joana;Joanna;Joanna;Jeanne;F
Jocelyn;Jocelina;Jocelina;Jocelina;Jocelyn;Xocelín;Joceline;Joceline;Joceline;Jocelyn;Jocelyn;Jocelyne;F
John;Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;Deshawn;Jean;M
Jonathan;Jonatan;Jonatan;Jonatan;Jonatán;Jonatán;Jonatan;Jónatas;Jônatas;Jonathan;Jathan;Jonathan;M
Jordan;Jordà;Jordà;Jordà;Jordán;Xordán;Jordan;Jordão;Jordão;Jordan;Jordon;Jourdain;U
Joseph;Josep;Josep;Josep;José;Xosé;Joseba;José;José;Joseph;Joe;Joseph;M
Joshua;Josuè;Josuè;Josuè;Josué;Xosué;Josu;Josué;Josué;Joshua;Josh;Josué;M
Joy;Joia;Joia;Joia;Alegría;Alegría;Alaia;Alegria;Alegria;Joy;Joy;Joie;F
Judith;Judit;Judit;Judit;Judit;Xudit;Judit;Judite;Judite;Judith;Judith;Judith;F
Jules;Juli;Juli;Juli;Julio;Xulio;Yuli;Júlio;Júlio;Jules;Jules;Jules;M
Julia;Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Júlia;Julia;Juliette;Julie;F
Julian;Julià;Julià;Julià;Julián;Xulián;Julian;Julião;Julião;Julian;Julian;Julien;M
Julie;Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Júlia;Julie;Julie;Julie;F
June;Juny;Juny;Juny;Junio;Xuño;Ekain;Junho;Junho;June;June;Juin;F
Justice;Justícia;Justícia;Justícia;Justicia;Xustiza;Justizia;Justiça;Justiça;Justice;Justice;Justice;U
Justin;Justí;Justí;Justí;Justino;Xustino;Justin;Justino;Justino;Justin;Justin;Justin;M
Karen;Caterina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Karen;Karen;Catherine;F
Katherine;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Katherine;Kayla;Catherine;F
Kathleen;Catalina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Kathleen;Kathleen;Catherine;F
Kayla;Caterina;Caterina;Caterina;Catalina;Catarina;Katalin;Catarina;Catarina;Kayla;Kayla;Catherine;F
Keira;Keira;Keira;Keira;Keira;Keira;Keira;Keira;Keira;Keira;Kiera;Keira;F
Keith;Keith;Keith;Keith;Keith;Keith;Keith;Keith;Keith;Keith;Keith;Keith;M
Kelly;Kelly;Kelly;Kelly;Kelly;Kelly;Kelly;Kelly;Kelly;Kelly;Kelli;Kelly;F
Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;Kendall;U
Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;Kennedy;U
Kenneth;Kenneth;Kenneth;Kenneth;Kenneth;Kenneth;Kenneth;Kenneth;Kenneth;Kenneth;Ken;Kenneth;M
Kevin;Kevin;Kevin;Kevin;Kevin;Kevin;Kevin;Kevin;Kevin;Kevin;Kev;Kevin;M
Kieran;Quirze;Quirze;Quirze;Quirce;Quirce;Keren;Quirce;Quirce;Kieran;Kieran;Côme;M
Kim;Joaquim;Joaquim;Joaquim;Joaquín;Xaquín;Iokin;Joaquim;Joaquim;Kim;Kim;Joachim;U
Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kimberly;Kim;Kimberly;F
Kristen;Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Kristen;Kristen;Christine;F
