pt-br;ca-ib;ca-va;ca;es;gl;eu;pt-eu;en_gb;en-us;en-us-af;fr
Natália;Natàlia;Natàlia;Natàlia;Natalia;Natalia;Natale;Natália;Natalie;Natalie;Nat;Nathalie
Patrícia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patricia;Patricia;Patrice;Patrice
Paulo;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paul;Paul;Pauley;Paul
Pedro;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Peter;Peter;Pete;Pierre
Rafael;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël
Rafaela;Rafela;Rafela;Rafaela;Rafaela;Rafaela;Rafaela;Rafaela;Raphaela;Raphaela;Rafaela;Raphaëlle
Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renée
Renato;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renato;Renato;Renato;René
Rodrigo;Rodric;Roderic;Roderic;Rodrigo;Roi;Rodrigo;Rodrigo;Roderick;Roderick;Rod;Rodrigue
Rogério;Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Roger;Roger;Rodger;Roger
Ruan;Joan;Joan;Joan;Juan;Xoán;Jon;João;John;John;Deshawn;Jean
Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Sammy;Samuel
Sérgio;Sergi;Sergi;Sergi;Sergio;Serxio;Sergi;Sérgio;Sergius;Sergio;Sergio;Serge
Simone;Simona;Simona;Simona;Simona;Simona;Simona;Simona;Simone;Simone;Simone;Simonne
Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli
Tainá;Tainá;Tainá;Tainá;Tainá;Tainá;Taina;Tainá;Taina;Taina;Taina;Tainá
Tatiane;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatyana;Tatiana
Teresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse
Thiago;Jaume;Jaume;Jaume;Santiago;Iago;Jakue;Tiago;James;James;Jamal;Jacques
Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Banesa;Vanessa;Vanessa;Vanessa;Nessa;Vanessa
Vitor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Victor;Victor;Victor;Victor
Vitória;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Vitória;Victoria;Victoria;Vickie;Victoire
Wagner;Vagner;Vagner;Vagner;Vagner;Vagner;Vagner;Wagner;Wagner;Wagner;Wagner;Wagner
Wesley;Wesley;Wesley;Wesley;Wesley;Wesley;Uesley;Wesley;Wesley;Wesley;Wesley;Wesley
Yasmin;Iasmín;Iasmín;Iasmín;Jazmín;Iasmín;Jasmin;Iasmin;Yasmin;Yasmin;Yazmine;Yasmine
Yuri;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Iuri;George;George;Yuri;Georges
