pt-eu;ca-ib;ca-va;ca;es;gl;eu;pt-br;en_gb;en-us;en-us-af;fr;Género
Isaque;Isaac;Isaac;Isaac;Isaac;Isaac;Isaka;Isaque;Isaac;Isaac;Ike;Isaac;M
Ivone;Ivone;Ivone;Ivone;Ivonne;Ivone;Ivone;Ivone;Yvonne;Yvonne;Ivonne;Yvonne;F
Jacinta;Jacinta;Jacinta;Jacinta;Jacinta;Xacinta;Jakinda;Jacinta;Jacinta;Jacinta;Jacinta;Jacinthe;F
Jerónimo;Jeroni;Jeroni;Jeroni;Jerónimo;Xerónimo;Jeronimo;Jerônimo;Jerome;Jerome;Jerry;Jérôme;M
Joana;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joan;Jane;Shanice;Jeanne;F
João;Joan;Joan;Joan;Juan;Xoán;Jon;João;John;John;Deshawn;Jean;M
Joaquim;Joaquim;Joaquim;Joaquim;Joaquín;Xaquín;Iokin;Joaquim;Joachim;Joachim;Joakim;Joachim;M
José;Josep;Josep;Josep;José;Xosé;Joseba;José;Joseph;Joseph;Joe;Joseph;M
Júlia;Júlia;Júlia;Júlia;Julia;Xulia;Yuile;Júlia;Julia;Julia;Juliette;Julie;F
Leandro;Lleandre;Lleandre;Lleandre;Leandro;Leandro;Leandro;Leandro;Leander;Leander;Lander;Léandre;M
Leonor;Elionor;Elionor;Elionor;Leonor;Leonor;Leonor;Leonor;Eleanor;Eleanor;Nora;Éléonore;F
Leopoldo;Leopold;Leopold;Leopold;Leopoldo;Leopoldo;Leopoldo;Leopoldo;Leopold;Leopold;Leo;Léopold;M
Lídia;Lídia;Lídia;Lídia;Lidia;Lidia;Lide;Lídia;Lydia;Lydia;Lide;Lydie;F
Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorena;Lorraine;Lorraine;Lorena;Lorraine;F
Lourenço;Llorenç;Llorenç;Llorenç;Lorenzo;Lorenzo;Lontzi;Lourenço;Lawrence;Lawrence;Larry;Laurent;M
Luís;Lluís;Lluís;Lluís;Luis;Lois;Koldobika;Luís;Louis;Louis;Louie;Louis;M
Luísa;Lluïsa;Lluïsa;Lluïsa;Luisa;Luísa;Luisa;Luísa;Louisa;Louisa;Lulu;Louise;F
Madalena;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Mafalda;Matilda;Matilda;Tillie;Mathilde;F
Manuel;Manel;Manel;Manel;Manuel;Manuel;Imanol;Manuel;Manuel;Manuel;Manny;Manuel;M
Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;Mara;F
Márcio;Març;Març;Març;Marcio;Marcio;Markio;Márcio;Marcius;Marcius;Marcio;Marcius;M
Margarida;Margalida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margaret;Margaret;Maggie;Marguerite;F
Maria;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie;F
Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Marian;Marian;Marianne;Marianne;F
Mário;Mário;Mário;Mário;Mario;Mario;Mario;Mário;Marius;Marius;Mario;Marius;M
Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marisa;Marise;F
Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Martha;Marthe;F
Martim;Martí;Martí;Martí;Martín;Martiño;Martin;Martim;Martin;Martin;Martell;Martin;M
Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilde;Matilda;Matilda;Tillie;Mathilde;F
Maurício;Maurici;Maurici;Maurici;Mauricio;Mauricio;Maurizio;Maurício;Maurice;Maurice;Maurice;Maurice;M
Micaela;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Micaela;Michaela;Michaela;Makayla;Michèle;F
Miguel;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Michael;Michael;Micheal;Michel;M
Nicolau;Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicholas;Nicholas;Nick;Nicolas;M
Noémia;Noèmia;Noèmia;Noèmia;Noemí;Noemí;Noemi;Noêmia;Naomi;Naomi;Naomi;Noémie;F
Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;Nuno;M
Odete;Odeta;Odeta;Odeta;Odette;Odete;Odete;Odete;Odette;Odette;Odette;Odette;F
Ofélia;Ofèlia;Ofèlia;Ofèlia;Ofelia;Ofelia;Ofelia;Ofélia;Ophelia;Ophelia;Ophelia;Ophélie;F
Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;F
Óscar;Òscar;Òscar;Òscar;Óscar;Óscar;Oskar;Oscar;Oscar;Oscar;Oscar;Oscar;M
Pascual;Pasqual;Pasqual;Pasqual;Pascual;Pascual;Paskual;Pascoal;Pascal;Pascal;Pascual;Pascal;M
Patrícia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patricia;Patricia;Patrice;Patrice;F
Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paule;F
Paulo;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paul;Paul;Pauley;Paul;M
Pedro;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Peter;Peter;Pete;Pierre;M
Rafael;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël;M
Rafaela;Rafela;Rafela;Rafaela;Rafaela;Rafaela;Rafaela;Rafaela;Raphaela;Raphaela;Rafaela;Raphaëlle;F
Renato;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renato;Renato;Renato;René;M
Ricardo;Ricard;Ricard;Ricard;Ricardo;Ricardo;Ricard;Ricardo;Richard;Richard;Richie;Richard;M
Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Rita;Marguerite;F
Rodrigo;Rodric;Roderic;Roderic;Rodrigo;Roi;Rodrigo;Rodrigo;Roderick;Roderick;Rod;Rodrigue;M
Rogério;Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Roger;Roger;Rodger;Roger;M
Rosário;Roser;Roser;Roser;Rosario;Rosario;Arrosari;Rosário;Rosary;Rosary;Rosario;Rosaire;U
Rui;Roderic;Roderic;Roderic;Rodrigo;Rui;Rui;Rui;Roderick;Roderick;Ruy;Rodrigue;M
Salomé;Salomé;Salomé;Salomé;Salomé;Salomé;Salome;Salomé;Salome;Salome;Salome;Salomé;F
Salvador;Salvador;Salvador;Salvador;Salvador;Salvador;Salbatore;Salvador;Salvador;Salvador;Sal;Sauveur;M
Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Sandra;Zandra;Alexandra;F
Sebastião;Sebastià;Sebastià;Sebastià;Sebastián;Sebastián;Sebas;Sebastião;Sebastian;Sebastian;Seb;Sébastien;M
Sérgio;Sergi;Sergi;Sergi;Sergio;Serxio;Sergi;Sérgio;Sergius;Sergio;Sergio;Serge;M
Sílvia;Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Silvia;Sylvia;Sylvia;Sylvie;F
Sílvio;Silvi;Silvi;Silvi;Silvio;Silvio;Silvio;Sílvio;Silvius;Silvio;Silvio;Sylvain;M
Simão;Simó;Simó;Simó;Simón;Simón;Simon;Simão;Simon;Simon;Simone;Simon;M
Sofia;Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sophia;Sophia;Safiya;Sophie;F
Susana;Susanna;Susanna;Susanna;Susana;Susana;Susane;Susana;Susan;Susan;Suzette;Suzanne;F
Tadeu;Tadeu;Tadeu;Tadeu;Tadeo;Tadeo;Tadeo;Tadeu;Thaddeus;Thaddeus;Thad;Thaddée;M
Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatyana;Tatiana;F
Teresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Tiago;Jaume;Jaume;Jaume;Santiago;Iago;Jakue;Tiago;James;James;Jamal;Jacques;M
Tomás;Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Thomas;Thomas;Thom;Thomas;M
Valentim;Valentí;Valentí;Valentí;Valentín;Valentín;Valentin;Valentim;Valentine;Valentine;Val;Valentin;M
Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;Vasco;M
Verónica;Verònica;Verònica;Verònica;Verónica;Verónica;Veronike;Verônica;Veronica;Veronica;Ronnie;Véronique;F
Vítor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vitor;Victor;Victor;Victor;Victor;M
Vitória;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Vitória;Victoria;Victoria;Vickie;Victoire;F
Xavier;Xavier;Xavier;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Zavier;Xavier;M
Zélia;Zèlia;Zèlia;Zèlia;Zelia;Zelia;Zelia;Zélia;Zelia;Zelia;Zelia;Zélie;F
