"NombreOriginal";"Tipo";"Raiz"
"Anfiloquio";"ETIM";"Raíz griega Amphilochios"
"Ángel";"ETIM";"Raíz griega ángelos"
"Àngel";"ETIM";"Raíz griega ángelos"
"Angélica";"ETIM";"Raíz latina angelicus"
"Angèlica";"ETIM";"Raíz latina angelicus"
"Anicet";"ETIM";"Raíz griega aniketos"
"Aniceto";"ETIM";"Raíz griega aniketos"
"Anna";"ETIM";"Raíz hebrea Hannah"
"Anselm";"ETIM";"Raíz germánica ans + helm"
"Anselma";"ETIM";"Raíz germánica ans + helm"
"Anselmo";"ETIM";"Raíz germánica ans + helm"
"Anter";"ETIM";"Raíz latina Anterus"
"Antero";"ETIM";"Raíz latina Anterus"
"Antígon";"ETIM";"Raíz griega Antigonos"
"Antígona";"ETIM";"Raíz griega Antigone"
"Antígono";"ETIM";"Raíz griega Antigonos"
"Antíoc";"ETIM";"Raíz griega Antiokhos"
"Antíoco";"ETIM";"Raíz griega Antiokhos"
"Antolí";"ETIM";"Raíz latina Antonius"
"Antolín";"ETIM";"Raíz latina Antonius"
"Antoni";"ETIM";"Raíz latina Antonius"
"Antonia";"ETIM";"Raíz latina Antonius"
"Antònia";"ETIM";"Raíz latina Antonius"
"Antonio";"ETIM";"Raíz latina Antonius"
"Antusa";"ETIM";"Raíz griega Anthousa"
"Apol·lònia";"ETIM";"Raíz griega Apollonios"
"Apolonia";"ETIM";"Raíz griega Apollonios"
"Arcadi";"ETIM";"Raíz griega Arkadios"
"Arcadio";"ETIM";"Raíz griega Arkadios"
"Arcelia";"CULT";"Origen incierto"
"Ariadna";"ETIM";"Raíz griega Ariadne"
"Aristea";"ETIM";"Raíz griega Aristeia"
"Aristeo";"ETIM";"Raíz griega Aristeus"
"Aristeu";"ETIM";"Raíz griega Aristeus"
"Arnau";"ETIM";"Raíz germánica Arnwald"
"Arseni";"ETIM";"Raíz griega arsenios"
"Arsenia";"ETIM";"Raíz griega arsenios"
"Arsènia";"ETIM";"Raíz griega arsenios"
"Arsenio";"ETIM";"Raíz griega arsenios"
"Artur";"ETIM";"Raíz celta artos"
"Arturo";"ETIM";"Raíz celta artos"
"Atanasi";"ETIM";"Raíz griega Athanasios"
"Atanasio";"ETIM";"Raíz griega Athanasios"
"Aureli";"ETIM";"Raíz latina aureus"
"Aurelia";"ETIM";"Raíz latina aureus"
"Aurelio";"ETIM";"Raíz latina aureus"
"Aurestà";"ETIM";"Raíz latina aureus"
"Aurestano";"ETIM";"Raíz latina aureus"
"Aurora";"ETIM";"Raíz latina aurora"
"Auxenci";"ETIM";"Raíz griega Auxentios"
"Auxencio";"ETIM";"Raíz griega Auxentios"
"Auxentia";"ETIM";"Raíz griega Auxentia"
"Auxèntia";"ETIM";"Raíz griega Auxentia"
"Auxentio";"ETIM";"Raíz griega Auxentios"
"Auxibi";"ETIM";"Raíz griega Auxibios"
"Auxibio";"ETIM";"Raíz griega Auxibios"
"Auxili";"ETIM";"Raíz latina auxilium"
"Auxilia";"ETIM";"Raíz latina auxilium"
"Auxília";"ETIM";"Raíz latina auxilium"
"Auxilio";"ETIM";"Raíz latina auxilium"
"Avel·lí";"ETIM";"Raíz latina Avellinus"
"Avelino";"ETIM";"Raíz latina Avellinus"
"Baldomer";"ETIM";"Raíz germánica bald + mar"
"Baldomera";"ETIM";"Raíz germánica bald + mar"
"Baldomero";"ETIM";"Raíz germánica bald + mar"
"Baltasar";"ETIM";"Raíz semítica Bel-shar-usur"
"Bárbara";"ETIM";"Raíz griega barbaros"
"Bàrbara";"ETIM";"Raíz griega barbaros"
"Bartolomé";"ETIM";"Raíz aramea Bar-Talmai"
"Bartomeu";"ETIM";"Raíz aramea Bar-Talmai"
"Basili";"ETIM";"Raíz griega basileus"
"Basilio";"ETIM";"Raíz griega basileus"
"Basilisa";"ETIM";"Raíz griega basileus"
"Basilissa";"ETIM";"Raíz griega basileus"
"Baudili";"ETIM";"Raíz germánica bald + wulf."
"Baudilio";"ETIM";"Raíz germánica bald + wulf."
"Beatriu";"ETIM";"Raíz latina beatrix"
"Beatriz";"ETIM";"Raíz latina beatrix"
"Belisari";"ETIM";"Raíz griega Belisarios"
"Belisario";"ETIM";"Raíz griega Belisarios"
"Belisenda";"ETIM";"Raíz germánica beli + swinth"
"Beltran";"ETIM";"Raíz germánica berht + hramn"
"Beltrán";"ETIM";"Raíz germánica berht + hrabn"
"Beltrán";"ETIM";"Raíz germánica berht + hramn"
"Benet";"ETIM";"Raíz latina Benedictus"
"Benigne";"ETIM";"Raíz latina benignus"
"Benigno";"ETIM";"Raíz latina benignus"
"Benild";"ETIM";"Raíz germánica beni + hild"
"Benildo";"ETIM";"Raíz germánica beni + hild"
"Benito";"ETIM";"Raíz latina Benedictus"
"Benjamí";"ETIM";"Raíz hebrea Binyamin"
"Benjamín";"ETIM";"Raíz hebrea Binyamin"
"Berta";"ETIM";"Raíz germánica berht"
"Bertran";"ETIM";"Raíz germánica berht + hrabn"
"Blanca";"ETIM";"Raíz germánica blank"
"Bonifaci";"ETIM";"Raíz latina bonum + facere"
"Bonifacio";"ETIM";"Raíz latina bonum + facere"
"Bonosa";"ETIM";"Raíz latina bonus"
"Bruno";"ETIM";"Raíz germánica brun"
"Calepodi";"ETIM";"Raíz latina Calepodius"
"Calepodio";"ETIM";"Raíz latina Calepodius"
"Calínic";"ETIM";"Raíz griega Kallinikos"
"Calínico";"ETIM";"Raíz griega Kallinikos"
"Calíope";"ETIM";"Raíz griega Kalliope"
"Calístrat";"ETIM";"Raíz griega Kallistratos"
"Calístrata";"ETIM";"Raíz griega Kallistrate"
"Calístrato";"ETIM";"Raíz griega Kallistratos"
"Calixta";"ETIM";"Raíz griega Kallistos"
"Calíxta";"ETIM";"Raíz griega Kallistos"
"Calixte";"ETIM";"Raíz griega kallistos"
"Calixto";"ETIM";"Raíz griega kallistos"
"Càndid";"ETIM";"Raíz latina Candidus"
"Cándida";"ETIM";"Raíz latina Candidus"
"Càndida";"ETIM";"Raíz latina Candidus"
"Cándido";"ETIM";"Raíz latina Candidus"
"Carles";"ETIM";"Raíz germánica Karl"
"Carlos";"ETIM";"Raíz germánica Karl"
"Carme";"ETIM";"Raíz hebrea Karmel"
"Carmen";"ETIM";"Raíz hebrea Karmel"
"Carolina";"ETIM";"Raíz germánica Karl"
"Casilda";"CULT";"Origen medieval"
"Casimir";"ETIM";"Raíz eslava Kazimierz"
"Casimiro";"ETIM";"Raíz eslava Kazimierz"
"Cástor";"ETIM";"Raíz griega Kastor"
"Càstor";"ETIM";"Raíz griega Kastor"
"Cecilia";"ETIM";"Raíz latina Caecus"
"Cecília";"ETIM";"Raíz latina Caecus"
"Celerina";"ETIM";"Raíz latina Celer"
"Celestí";"ETIM";"Raíz latina Caelestis"
"Celestino";"ETIM";"Raíz latina Caelestis"
"Celia";"ETIM";"Raíz latina Caelia"
"Cèlia";"ETIM";"Raíz latina Caelia"
"César";"ETIM";"Raíz latina Caesar"
"Cèsar";"ETIM";"Raíz latina Caesar"
"Cesáreo";"ETIM";"Raíz latina Caesarius"
"Cesari";"ETIM";"Raíz latina Caesarius"
"Ciprià";"ETIM";"Raíz latina Cyprianus"
"Cipriana";"ETIM";"Raíz latina Cyprianus"
"Cipriano";"ETIM";"Raíz latina Cyprianus"
"Cirenia";"ETIM";"Raíz griega Kyrene"
"Ciriac";"ETIM";"Raíz griega Kyriakos"
"Ciriaca";"ETIM";"Raíz griega Kyriakos"
"Ciriaco";"ETIM";"Raíz griega Kyriakos"
"Ciril·lo";"ETIM";"Raíz griega Kyrillos"
"Cirilo";"ETIM";"Raíz griega Kyrillos"
"Ciro";"ETIM";"Raíz persa Kûruš"
"Clara";"ETIM";"Raíz latina Clarus"
"Claudia";"ETIM";"Raíz latina Claudius"
"Clàudia";"ETIM";"Raíz latina Claudius"
"Clement";"ETIM";"Raíz latina Clemens"
"Clemente";"ETIM";"Raíz latina Clemens"
"Clímac";"ETIM";"Raíz griega Klimax"
"Clímaco";"ETIM";"Raíz griega Klimax"
"Clodoald";"ETIM";"Raíz germánica hlud + wald"
"Clodoaldo";"ETIM";"Raíz germánica hlud + wald"
"Clorinda";"ETIM";"Raíz griega chloros"
"Clotari";"ETIM";"Raíz germánica hlud + hari"
"Clotario";"ETIM";"Raíz germánica hlud + hari"
"Clotilde";"ETIM";"Raíz germánica hlud + hild"
"Crescenci";"ETIM";"Raíz latina crescere"
"Crescencia";"ETIM";"Raíz latina crescere"
"Crescència";"ETIM";"Raíz latina crescere"
"Crescenciana";"ETIM";"Raíz latina crescere"
"Crescencio";"ETIM";"Raíz latina crescere"
"Cristià";"ETIM";"Raíz latina Christianus"
"Cristian";"ETIM";"Raíz latina Christianus"
"Cristina";"ETIM";"Raíz latina christianus"
"Cristóbal";"ETIM";"Raíz griega Christophoros"
"Cristòfol";"ETIM";"Raíz griega Christophoros"
"Dacià";"ETIM";"Raíz latina Dacianus"
"Daciano";"ETIM";"Raíz latina Dacianus"
"Damià";"ETIM";"Raíz griega Damianos"
"Damián";"ETIM";"Raíz griega Damianos"
"Daniel";"ETIM";"Raíz hebrea Daniyyel"
"Daniela";"ETIM";"Raíz hebrea Daniyyel"
"Dari";"ETIM";"Raíz persa Darayavahuš"
"Darío";"ETIM";"Raíz persa Darayavahuš"
"David";"ETIM";"Raíz hebrea Dawid"
"Demetri";"ETIM";"Raíz griega Demetrios"
"Demetria";"ETIM";"Raíz griega Demetrios"
"Demètria";"ETIM";"Raíz griega Demetrios"
"Demetrio";"ETIM";"Raíz griega Demetrios"
"Desideri";"ETIM";"Raíz latina desiderium"
"Desiderio";"ETIM";"Raíz latina desiderium"
"Diodor";"ETIM";"Raíz griega Diodoros"
"Diodoro";"ETIM";"Raíz griega Diodoros"
"Dionís";"ETIM";"Raíz griega Dionysios"
"Dionisio";"ETIM";"Raíz griega Dionysios"
"Domici";"ETIM";"Raíz latina Domitius"
"Domicià";"ETIM";"Raíz latina Domitianus"
"Domiciano";"ETIM";"Raíz latina Domitianus"
"Domicio";"ETIM";"Raíz latina Domitius"
"Domitila";"ETIM";"Raíz latina Domitius"
"Donacià";"ETIM";"Raíz latina donatus"
"Donaciana";"ETIM";"Raíz latina donatus"
"Donaciano";"ETIM";"Raíz latina donatus"
"Donat";"ETIM";"Raíz latina donatus"
"Donato";"ETIM";"Raíz latina donatus"
"Edelmira";"ETIM";"Raíz germánica adal + meri"
"Edesi";"ETIM";"Raíz griega Hedesios"
"Edesia";"ETIM";"Raíz griega Hedesios"
"Edesio";"ETIM";"Raíz griega Hedesios"
"Edgard";"ETIM";"Raíz germánica ead + gar"
"Edgardo";"ETIM";"Raíz germánica ead + gar"
"Eduard";"ETIM";"Raíz germánica Eadweard"
"Eduardo";"ETIM";"Raíz germánica Eadweard"
"Efigenia";"ETIM";"Raíz griega Iphigeneia"
"Efigènia";"ETIM";"Raíz griega Iphigeneia"
"Eladi";"ETIM";"Raíz griega Helladios"
"Eladio";"ETIM";"Raíz griega Helladios"
"Elena";"ETIM";"Raíz griega Helene"
"Eleonora";"ETIM";"Raíz occitana Aliénor"
"Eleuteri";"ETIM";"Raíz griega Eleutherios"
"Eleuterio";"ETIM";"Raíz griega Eleutherios"
"Elói";"ETIM";"Raíz latina Eligius"
"Eloísa";"ETIM";"Raíz germánica heil + wid"
"Eloïsa";"ETIM";"Raíz germánica heil + wid"
"Eloy";"ETIM";"Raíz latina Eligius"
"Elpidi";"ETIM";"Raíz griega Elpidios"
"Elpidio";"ETIM";"Raíz griega Elpidios"
"Elvira";"ETIM";"Raíz germánica alja + wer"
"Emerenciana";"ETIM";"Raíz latina Emerere"
"Emeric";"ETIM";"Raíz germánica heim + rik"
"Emerico";"ETIM";"Raíz germánica heim + rik"
"Emili";"ETIM";"Raíz latina Aemilius"
"Emilia";"ETIM";"Raíz latina Aemilia"
"Emília";"ETIM";"Raíz latina Aemilia"
"Emilio";"ETIM";"Raíz latina Aemilius"
"Enric";"ETIM";"Raíz germánica haim + rik"
"Enrique";"ETIM";"Raíz germánica haim + rik"
"Epifani";"ETIM";"Raíz griega Epiphaneia"
"Epifanio";"ETIM";"Raíz griega Epiphaneia"
"Ermengild";"ETIM";"Raíz germánica ermen + gild"
"Ernest";"ETIM";"Raíz germánica eornost"
"Ernesto";"ETIM";"Raíz germánica eornost"
"Estanislao";"ETIM";"Raíz eslava Stanislav"
"Estanislau";"ETIM";"Raíz eslava Stanislav"
"Esteban";"ETIM";"Raíz griega Stephanos"
"Estel·la";"ETIM";"Raíz latina stella"
"Estela";"ETIM";"Raíz latina stella"
"Ester";"ETIM";"Raíz hebrea Hadassah"
"Esteve";"ETIM";"Raíz griega Stephanos"
"Esther";"ETIM";"Raíz hebrea Hadassah"
"Eudòcia";"ETIM";"Raíz griega Eudokia"
"Eudosia";"ETIM";"Raíz griega Eudokia"
"Eudoxia";"ETIM";"Raíz griega Eudoxia"
"Eudòxia";"ETIM";"Raíz griega Eudoxia"
"Eufrasi";"ETIM";"Raíz griega Euphrosynos"
"Eufrasia";"ETIM";"Raíz griega Euphrosyne"
"Eufràsia";"ETIM";"Raíz griega Euphrosyne"
"Eufrasio";"ETIM";"Raíz griega Euphrosynos"
"Eufroni";"ETIM";"Raíz griega Euphronios"
"Eufronia";"ETIM";"Raíz griega Euphronios"
"Eufrònia";"ETIM";"Raíz griega Euphronios"
"Eufronio";"ETIM";"Raíz griega Euphronios"
"Eugenia";"ETIM";"Raíz griega eugenes"
"Eugènia";"ETIM";"Raíz griega eugenes"
"Eulalia";"ETIM";"Raíz griega eulalos"
"Eulàlia";"ETIM";"Raíz griega eulalos"
"Eusebi";"ETIM";"Raíz griega Eusebios"
"Eusebia";"ETIM";"Raíz griega Eusebios"
"Eusèbia";"ETIM";"Raíz griega Eusebios"
"Eusebio";"ETIM";"Raíz griega Eusebios"
"Eva";"ETIM";"Raíz hebrea Hawwá"
"Evarist";"ETIM";"Raíz griega eu + aristos"
"Evaristo";"ETIM";"Raíz griega eu + aristos"
"Ezequiel";"ETIM";"Raíz hebrea Yehezkel"
"Fabià";"ETIM";"Raíz latina Fabius"
"Fabián";"ETIM";"Raíz latina Fabius"
"Fátima";"ETIM";"Raíz árabe Fa?imah"
"Fàtima";"ETIM";"Raíz árabe Fa?imah"
"Faustí";"ETIM";"Raíz latina faustus"
"Faustina";"ETIM";"Raíz latina faustus"
"Faustino";"ETIM";"Raíz latina faustus"
"Felicià";"ETIM";"Raíz latina felix"
"Feliciano";"ETIM";"Raíz latina felix"
"Félix";"ETIM";"Raíz latina felix"
"Fèlix";"ETIM";"Raíz latina felix"
"Fermí";"ETIM";"Raíz latina firminus"
"Fermín";"ETIM";"Raíz latina firminus"
"Fernando";"ETIM";"Raíz germánica"
"Ferran";"ETIM";"Raíz germánica"
"Filadelf";"ETIM";"Raíz griega Philadelphos"
"Filadelfa";"ETIM";"Raíz griega Philadelphos"
"Filadelfo";"ETIM";"Raíz griega Philadelphos"
"Filibert";"ETIM";"Raíz germánica filu + berht"
"Filiberto";"ETIM";"Raíz germánica filu + berht"
"Filogoni";"ETIM";"Raíz griega Philogonios"
"Filogonio";"ETIM";"Raíz griega Philogonios"
"Filomen";"ETIM";"Raíz griega Philomenos"
"Filomena";"ETIM";"Raíz griega philomenos"
"Filomeno";"ETIM";"Raíz griega Philomenos"
"Filotea";"ETIM";"Raíz griega Philothea"
"Filoteo";"ETIM";"Raíz griega Philotheos"
"Filoteu";"ETIM";"Raíz griega Philotheos"
"Florenci";"ETIM";"Raíz latina florens"
"Florencio";"ETIM";"Raíz latina florens"
"Fortunat";"ETIM";"Raíz latina fortunatus"
"Fortunato";"ETIM";"Raíz latina fortunatus"
"Francesc";"ETIM";"Raíz latina Franciscus"
"Francisco";"ETIM";"Raíz latina Franciscus"
"Froilà";"ETIM";"Raíz germánica frô + land"
"Froilán";"ETIM";"Raíz germánica frô + land"
"Genoveva";"ETIM";"Raíz germánica kuni + wefa"
"Gerard";"ETIM";"Raíz germánica ger + hard"
"Gerardo";"ETIM";"Raíz germánica ger + hard"
"Germà";"ETIM";"Raíz latina germanus"
"Germán";"ETIM";"Raíz latina germanus"
"Gertrudis";"ETIM";"Raíz germánica ger + trud"
"Gervasi";"ETIM";"Raíz germánica ger + wasi"
"Gervasio";"ETIM";"Raíz germánica ger + wasi"
"Gliceri";"ETIM";"Raíz griega glykys"
"Glicerio";"ETIM";"Raíz griega glykys"
"Gloria";"ETIM";"Raíz latina gloria"
"Glòria";"ETIM";"Raíz latina gloria"
"Gonçal";"ETIM";"Raíz germánica Gundisalvus"
"Gonzalo";"ETIM";"Raíz germánica Gundisalvus"
"Gorgo";"ETIM";"Raíz griega Gorgo"
"Gorgoni";"ETIM";"Raíz griega Gorgonios"
"Gorgonia";"ETIM";"Raíz griega Gorgonia"
"Gorgonía";"ETIM";"Raíz griega Gorgonia"
"Gorgònia";"ETIM";"Raíz griega Gorgonia"
"Gorgonio";"ETIM";"Raíz griega Gorgonios"
"Gregori";"ETIM";"Raíz griega Gregorios"
"Gregoria";"ETIM";"Raíz griega gregorios"
"Gregòria";"ETIM";"Raíz griega gregorios"
"Gregorio";"ETIM";"Raíz griega Gregorios"
"Guillem";"ETIM";"Raíz germánica Willahelm"
"Guillermo";"ETIM";"Raíz germánica Willahelm"
"Gumersind";"ETIM";"Raíz germánica guma + sind"
"Gumersindo";"ETIM";"Raíz germánica guma + sind"
"Héctor";"ETIM";"Raíz griega Hektor"
"Hèctor";"ETIM";"Raíz griega Hektor"
"Heribert";"ETIM";"Raíz germánica hari + berht"
"Heriberto";"ETIM";"Raíz germánica hari + berht"
"Hermelinda";"ETIM";"Raíz germánica ermen + lind"
"Hermenegildo";"ETIM";"Raíz germánica ermen + gild"
"Herminia";"ETIM";"Raíz germánica ermin"
"Hermínia";"ETIM";"Raíz germánica ermin"
"Hermógenes";"ETIM";"Raíz griega Hermogenes"
"Hermògenes";"ETIM";"Raíz griega Hermogenes"
"Higini";"ETIM";"Raíz griega Hyginos"
"Higinio";"ETIM";"Raíz griega Hyginos"
"Hilari";"ETIM";"Raíz latina hilaris"
"Hilaria";"ETIM";"Raíz latina hilaris"
"Hilària";"ETIM";"Raíz latina hilaris"
"Hilario";"ETIM";"Raíz latina hilaris"
"Hilarió";"ETIM";"Raíz griega hilaros"
"Hilarión";"ETIM";"Raíz griega hilaros"
"Hildegarda";"ETIM";"Raíz germánica hild + gard"
"Honorat";"ETIM";"Raíz latina honoratus"
"Honorato";"ETIM";"Raíz latina honoratus"
"Honori";"ETIM";"Raíz latina honoratus"
"Honorio";"ETIM";"Raíz latina honoratus"
"Hortensia";"ETIM";"Raíz latina hortus"
"Hortènsia";"ETIM";"Raíz latina hortus"
"Hug";"ETIM";"Raíz germánica Hug"
"Hugo";"ETIM";"Raíz germánica Hug"
"Ignacio";"ETIM";"Raíz latina ignis"
"Ignasi";"ETIM";"Raíz latina ignis"
"Iker";"CULT";"Origen vasco"
"Inés";"ETIM";"Raíz griega hagné"
"Innocenci";"ETIM";"Raíz latina innocens"
"Inocencio";"ETIM";"Raíz latina innocens"
"Iolanda";"ETIM";"Raíz germánica"
"Irene";"ETIM";"Raíz griega Eirene"
"Irina";"ETIM";"Igual Origen Eslavo"
"Isabel";"ETIM";"Raíz hebrea Elisheva"
"Isandre";"ETIM";"Raíz griega Isandros"
"Isandro";"ETIM";"Raíz griega Isandros"
"Isauri";"ETIM";"Raíz griega Isauros"
"Isauro";"ETIM";"Raíz griega Isauros"
"Isidor";"ETIM";"Raíz griega Isidoros"
"Isidoro";"ETIM";"Raíz griega Isidoros"
"Isidre";"ETIM";"Raíz griega Isidoros"
"Isidro";"ETIM";"Raíz griega Isidoros"
"Ismael";"ETIM";"Raíz hebrea Yishma’el"
"Isócrates";"ETIM";"Raíz griega Isokrates"
"Isòcrates";"ETIM";"Raíz griega Isokrates"
"Jacint";"ETIM";"Raíz griega Hyakinthos"
"Jacinta";"ETIM";"Raíz griega Hyakinthos"
"Jacinto";"ETIM";"Raíz griega Hyakinthos"
"Jacobo";"ETIM";"Raíz hebrea Ya’aqov"
"Jaume";"ETIM";"Raíz hebrea Ya’aqov"
"Javier";"ETIM";"Origen vasco “Etxeberri”"
"Jesús";"ETIM";"Raíz hebrea Yeshua"
"Joan";"ETIM";"Raíz Johannes"
"Joaquim";"ETIM";"Raíz hebrea Yehoiachin"
"Joaquín";"ETIM";"Raíz hebrea Yehoiachin"
"Jordi";"ETIM";"Raíz griega Georgios"
"Jorge";"ETIM";"Raíz griega Georgios"
"José";"ETIM";"Raíz hebrea Yosef"
"Josefa";"ETIM";"Raíz hebrea Yosef"
"Josep";"ETIM";"Raíz hebrea Yosef"
"Juan";"ETIM";"Raíz Johannes"
"Juli";"ETIM";"Raíz latina iulius"
"Julia";"ETIM";"Raíz latina Iulia"
"Julià";"ETIM";"Raíz latina iulianus"
"Júlia";"ETIM";"Raíz latina Iulia"
"Julián";"ETIM";"Raíz latina iulianus"
"Julio";"ETIM";"Raíz latina iulius"
"Just";"ETIM";"Raíz latina iustus"
"Justina";"ETIM";"Raíz latina iustus"
"Justo";"ETIM";"Raíz latina iustus"
"Laura";"ETIM";"Raíz latina Laurus"
"Laureà";"ETIM";"Raíz latina laurus"
"Laureano";"ETIM";"Raíz latina laurus"
"Lázaro";"ETIM";"Raíz hebrea El?azar"
"Leandre";"ETIM";"Raíz griega Leandros"
"Leandro";"ETIM";"Raíz griega Leandros"
"Leire";"CULT";"Origen vasco"
"Leocadi";"ETIM";"Raíz griega Leukadios"
"Leocadia";"ETIM";"Raíz griega leukos"
"Leocàdia";"ETIM";"Raíz griega leukos"
"Leocadio";"ETIM";"Raíz griega Leukadios"
"Leodegari";"ETIM";"Raíz germánica leud + gari"
"Leodegario";"ETIM";"Raíz germánica leud + gari"
"Leodegunda";"ETIM";"Raíz germánica leud + gund"
"León";"ETIM";"Raíz latina leo"
"Leonila";"ETIM";"Raíz latina leo"
"Leonor";"ETIM";"Raíz occitana Aliénor"
"Leovigild";"ETIM";"Raíz germánica leub + gild"
"Leovigilda";"ETIM";"Raíz germánica leub + gild"
"Leovigildo";"ETIM";"Raíz germánica leub + gild"
"Leticia";"ETIM";"Raíz latina laetitia"
"Letícia";"ETIM";"Raíz latina laetitia"
"Libori";"ETIM";"Raíz latina liberius"
"Liborio";"ETIM";"Raíz latina liberius"
"Lidia";"ETIM";"Raíz griega Lydia"
"Lídia";"ETIM";"Raíz griega Lydia"
"Llàtzer";"ETIM";"Raíz hebrea El?azar"
"Lleó";"ETIM";"Raíz latina leo"
"Llorenç";"ETIM";"Raíz latina laurentius"
"Lluci";"ETIM";"Raíz latina lux"
"Llúcia";"ETIM";"Raíz latina Lux"
"Lluís";"ETIM";"Raíz germánica Ludwig"
"Lorenzo";"ETIM";"Raíz latina laurentius"
"Lucía";"ETIM";"Raíz latina Lux"
"Lucio";"ETIM";"Raíz latina lux"
"Luis";"ETIM";"Raíz germánica Ludwig"
"Macari";"ETIM";"Raíz griega makarios"
"Macario";"ETIM";"Raíz griega makarios"
"Magdalena";"ETIM";"Raíz hebrea Migdal"
"Maite";"ETIM";"Raíz vasca maitagarri"
"Manel";"ETIM";"Raíz hebrea Immanuel"
"Manuel";"ETIM";"Raíz hebrea Immanuel"
"Manuela";"ETIM";"Raíz hebrea Immanu’el"
"Marc";"ETIM";"Raíz latina Marcus"
"Marcel·lí";"ETIM";"Raíz latina Marcellinus"
"Marcel·lina";"ETIM";"Raíz latina Marcellinus"
