ca;ca-ib;ca-va;es;gl;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr;Género
Carme;Carme;Carme;Carmen;Carme;Karmen;Carmo;Carmo;Carmen;Carmen;Carmen;Carmen;F
Carmina;Carmina;Carmina;Carmina;Carmina;Karmele;Carmina;Carmina;Carmina;Carmina;Carmina;Carmine;F
Carolina;Carolina;Carolina;Carolina;Carolina;Karoline;Carolina;Carolina;Caroline;Caroline;Carol;Caroline;F
Caterina;Caterina;Caterina;Catalina;Catarina;Katarin;Catarina;Catarina;Catherine;Catherine;Catherine;Catherine;F
Cecília;Cecília;Cecília;Cecilia;Cecilia;Zezilia;Cecília;Cecília;Cecilia;Cecilia;Cecilia;Cécile;F
Cèsar;Cèsar;Cèsar;César;César;Zesar;César;César;Caesar;Caesar;Cesar;César;M
Cesc;Cesc;Cesc;Paco;Fran;Pantxiko;Chico;Chico;Frank;Frank;Quinton;Franck;M
Clara;Clara;Clara;Clara;Clara;Klare;Clara;Clara;Clara;Clara;Clara;Claire;F
Clàudia;Clàudia;Clàudia;Claudia;Claudia;Klaudia;Cláudia;Cláudia;Claudia;Claudia;Claudia;Claudie;F
Coloma;Coloma;Coloma;Paloma;Pomba;Uxue;Pomba;Pomba;Dove;Dove;Paloma;Colombe;F
Consol;Consol;Consol;Consuelo;Consuelo;Kontsuelo;Consolação;Consolação;Consuelo;Consuelo;Consuelo;Consolation;F
Coral;Coral;Coral;Coral;Coral;Korale;Coral;Coral;Coral;Coral;Coral;Corail;F
Cristian;Cristian;Cristian;Cristian;Cristian;Kristian;Cristian;Cristian;Christian;Christian;Christian;Christian;M
Cristina;Cristina;Cristina;Cristina;Cristina;Kristina;Cristina;Cristina;Christina;Christina;Christina;Christine;F
Cugat;Cugat;Cugat;Cucufate;Cucufate;Kukufat;Cucufate;Cucufate;Cucufas;Cucufas;Cucufate;Cucufat;M
Dafne;Dafne;Dafne;Dafne;Dafne;Dafne;Dafne;Dafne;Daphne;Daphne;Dafne;Daphné;F
Dàlia;Dàlia;Dàlia;Dalia;Dalia;Dalia;Dália;Dália;Dahlia;Dahlia;Dahlia;Dahlia;F
Damià;Damià;Damià;Damián;Damián;Damian;Damião;Damião;Damian;Damian;Damian;Damien;M
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;M
David;David;David;David;David;Dabid;David;David;David;David;David;David;M
Didac;Didac;Didac;Diego;Diego;Didako;Diogo;Diogo;Didacus;Didacus;Diego;Didace;M
Dídac;Dídac;Dídac;Diego;Diego;Didako;Diogo;Diogo;Didacus;Didacus;Diego;Didace;M
Dolors;Dolors;Dolors;Dolores;Dores;Nekane;Dores;Dores;Dolores;Dolores;Dolores;Dolorès;F
Domènec;Domènec;Domènec;Domingo;Domingos;Txomin;Domingos;Domingos;Dominic;Dominic;Domingo;Dominique;M
Dúnia;Dúnia;Dúnia;Dunia;Dunia;Dunia;Dúnia;Dúnia;Dunia;Dunia;Dunia;Dounia;F
Eduard;Eduard;Eduard;Eduardo;Eduardo;Eduard;Eduardo;Eduardo;Edward;Edward;Eddie;Édouard;M
Eira;Eira;Eira;Eira;Eira;Eira;Eira;Eira;Eira;Eira;Eira;Eira;F
Elena;Elena;Elena;Elena;Elena;Helene;Helena;Helena;Helen;Helen;Elena;Hélène;F
Elisabet;Elisabet;Elisabet;Elisabet;Isabel;Elisabete;Elisabete;Elisabete;Elizabeth;Elizabeth;Elisabet;Élisabeth;F
Eloi;Eloi;Eloi;Eloy;Eloi;Eloi;Eloi;Eloi;Loy;Loy;Eloy;Éloi;M
Eloïsa;Eloïsa;Eloïsa;Eloísa;Eloísa;Eloisa;Eloísa;Eloísa;Eloise;Eloise;Eloisa;Éloïse;F
Emili;Emili;Emili;Emilio;Emilio;Emilio;Emílio;Emílio;Emilius;Emilius;Emilio;Émile;M
Emma;Emma;Emma;Emma;Emma;Emma;Emma;Emma;Emma;Emma;Emma;Emma;F
Empar;Empar;Empar;Amparo;Amparo;Babes;Amparo;Amparo;Amparo;Amparo;Amparo;Amparo;F
Enric;Enric;Enric;Enrique;Henrique;Endika;Henrique;Henrique;Henry;Henry;Quinton;Henri;M
Ermessenda;Ermessenda;Ermessenda;Ermesinda;Ermesinda;Ermesinda;Ermesinda;Ermesinda;Ermesinda;Ermesinda;Ermesinda;Ermesinde;F
Ernest;Ernest;Ernest;Ernesto;Ernesto;Ernesto;Ernesto;Ernesto;Ernest;Ernest;Ernie;Ernest;M
Estel;Estel;Estel;Estela;Estrela;Izar;Estrela;Estrela;Star;Star;Star;Étoile;F
Estel·la;Estel·la;Estel·la;Estela;Estrela;Estela;Estela;Estela;Stella;Stella;Estela;Estelle;F
Ester;Ester;Ester;Ester;Ester;Ester;Ester;Ester;Esther;Esther;Ester;Esther;F
Esteve;Esteve;Esteve;Esteban;Estevo;Eztebe;Estevão;Estevão;Stephen;Stephen;Stephon;Étienne;M
Eudald;Eudald;Eudald;Eudaldo;Eudaldo;Eudald;Eudaldo;Eudaldo;Eudald;Eudald;Eudaldo;Eudalde;M
Eugeni;Eugeni;Eugeni;Eugenio;Eugenio;Eugenio;Eugénio;Eugênio;Eugene;Eugene;Eugene;Eugène;M
Eulàlia;Eulàlia;Eulàlia;Eulalia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Eulalia;Eulalie;F
Eva;Eva;Eva;Eva;Eva;Eva;Eva;Eva;Eve;Eve;Eva;Eva;F
Fàtima;Fàtima;Fàtima;Fátima;Fátima;Fatima;Fátima;Fátima;Fatima;Fatima;Fatima;Fátima;F
Faustina;Faustina;Faustina;Faustina;Faustina;Faustine;Faustina;Faustina;Faustina;Faustina;Faustina;Faustine;F
Ferran;Ferran;Ferran;Fernando;Fernando;Errando;Fernando;Fernando;Ferdinand;Ferdinand;Fernando;Ferdinand;M
Ferranet;Ferranet;Ferranet;Fernandito;Fernandiño;Errandotxo;Fernandinho;Fernandinho;Fernie;Fernie;Fernandito;Fernandito;M
Filomena;Filomena;Filomena;Filomena;Filomena;Filomena;Filomena;Filomena;Philomena;Philomena;Filomena;Philomène;F
Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francisco;Francis;Francis;Quinton;François;M
Francesc Xavier;Francesc Xavier;Francesc Xavier;Francisco Javier;Francisco Xabier;Frantzisko Xabier;Francisco Xavier;Francisco Xavier;Francis Xavier;Francis Xavier;Francisco Javier;François-Xavier;M
Francina;Francina;Francina;Francisca;Francisca;Frantziska;Francisca;Francisca;Frances;Frances;Francisca;Françoise;F
Francisca;Francisca;Francisca;Francisca;Francisca;Frantziska;Francisca;Francisca;Frances;Frances;Francisca;Françoise;F
Frederic;Frederic;Frederic;Federico;Frederico;Frederiko;Frederico;Frederico;Frederick;Frederick;Fred;Frédéric;M
Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabriele;Gabriela;Gabriela;Gabriella;Gabriella;Gabriela;Gabrielle;F
Gaietà;Gaietà;Gaietà;Cayetano;Caetano;Gaizko;Caetano;Caetano;Cajetan;Cajetan;Cayetano;Gaëtan;M
Gal·la;Gal·la;Gal·la;Gala;Gala;Gala;Gala;Gala;Galla;Galla;Gala;Galla;F
Galdric;Galdric;Galdric;Galdric;Galdric;Galdric;Galdrique;Galdrique;Galdric;Galdric;Galdric;Galdric;M
Gaspar;Gaspard;Gaspard;Gaspar;Gaspar;Gaspar;Gaspar;Gaspar;Jasper;Jasper;Gaspar;Gaspard;M
Gemma;Gemma;Gemma;Gema;Xema;Gemma;Gema;Gema;Gemma;Gemma;Gema;Gemma;F
Genís;Genís;Genís;Ginés;Xenés;Genis;Genésio;Genésio;Genesius;Genesius;Genis;Genès;M
Georgina;Georgina;Georgina;Georgina;Xorxina;Gergine;Georgina;Georgina;Georgina;Georgina;Georgina;Georgine;F
Gerard;Gerard;Gerard;Gerardo;Xerardo;Gerardo;Gerardo;Gerardo;Gerard;Gerard;Gerard;Gérard;M
Germà;Germà;Germà;Germán;Xermán;Kerman;Germano;Germano;German;German;German;Germain;M
Gil;Gil;Gil;Gil;Xil;Gil;Gil;Gil;Giles;Giles;Gil;Gilles;M
Gisela;Gisela;Gisela;Gisela;Xisela;Gisela;Gisela;Gisela;Giselle;Giselle;Gisela;Gisèle;F
Glòria;Glòria;Glòria;Gloria;Gloria;Gloria;Glória;Glória;Gloria;Gloria;Gloria;Gloire;F
Gonçal;Gonçal;Gonçal;Gonzalo;Gonzalo;Gontzal;Gonçalo;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve;M
Guillem;Guillem;Guillem;Guillermo;Guillerme;Guilen;Guilherme;Guilherme;William;William;Liam;Guillaume;M
Helena;Helena;Helena;Elena;Elena;Helene;Helena;Helena;Helen;Helen;Elena;Hélène;F
Hortènsia;Hortènsia;Hortènsia;Hortensia;Hortensia;Hortentsia;Hortênsia;Hortênsia;Hortensia;Hortensia;Hortensia;Hortense;F
Ignasi;Ignasi;Ignasi;Ignacio;Ignacio;Iñaki;Inácio;Inácio;Ignatius;Ignatius;Nate;Ignace;M
Irene;Irene;Irene;Irene;Iria;Irene;Irene;Irene;Irene;Irene;Irene;Irène;F
Irina;Irina;Irina;Irina;Irina;Irina;Irina;Irina;Irina;Irina;Irina;Irina;F
Isabel;Isabel;Isabel;Isabel;Sabela;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Isabel;Isabelle;F
Isidre;Isidre;Isidre;Isidro;Isidro;Isidro;Isidro;Isidro;Isidore;Isidore;Isidore;Isidore;M
Jana;Jana;Jana;Jana;Xana;Jana;Jana;Jana;Jane;Jane;Jana;Jeanne;F
Jasmina;Jasmina;Jasmina;Jazmín;Xasmín;Jasmin;Jasmina;Jasmina;Jasmine;Jasmine;Jasmin;Jasmine;F
Jaume;Jaume;Jaume;Jaime;Xaime;Jakue;Jaime;Jaime;James;James;Jay;Jacques;M
Joan;Joan;Joan;Juan;Xoán;Jon;João;João;John;John;Shawn;Jean;M
Joana;Joana;Joana;Juana;Xoana;Joana;Joana;Joana;Joan;Joan;Joana;Jeanne;F
Jofre;Jofre;Jofre;Jofré;Xofre;Jofre;Geofredo;Geofredo;Geoffrey;Geoffrey;Jeff;Geoffroy;M
Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;Jorge;George;George;George;Georges;M
Jordina;Jordina;Jordina;Georgina;Xorxina;Gergine;Georgina;Georgina;Georgina;Georgina;Georgina;Georgine;F
Josefina;Josefina;Josefina;Josefina;Xosefina;Josefi;Josefina;Josefina;Josephine;Josephine;Josefina;Joséphine;F
Josep;Josep;Josep;José;Xosé;Joseba;José;José;Joseph;Joseph;Joe;José;M
Josep Maria;Josep Maria;Josep Maria;José María;Xosé María;Joseba Miren;José Maria;José Maria;Joseph Mary;Joseph Mary;Joe Mary;José-Marie;M
Josepa;Josepa;Josepa;Josefa;Xosefa;Josebe;Josefa;Josefa;Josepha;Josepha;Josefa;Josèphe;F
Júlia;Júlia;Júlia;Julia;Xulia;Julia;Júlia;Júlia;Julia;Julia;Julia;Julie;F
Laia;Laia;Laia;Eulalia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Eulalia;Eulalie;F
Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;F
Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laura;Laure;F
Lídia;Lídia;Lídia;Lidia;Lidia;Lide;Lídia;Lídia;Lydia;Lydia;Lidia;Lydie;F
Lina;Lina;Lina;Lina;Lina;Lina;Lina;Lina;Lina;Lina;Lina;Line;F
Llorenç;Llorenç;Llorenç;Lorenzo;Lourenzo;Loren;Lourenço;Lourenço;Lawrence;Lawrence;Lorenzo;Laurent;M
Lluc;Lluc;Lluc;Lucas;Lucas;Lukas;Lucas;Lucas;Luke;Luke;Lucas;Luc;M
Llúcia;Llúcia;Llúcia;Lucía;Lucía;Luzi;Lúcia;Lúcia;Lucy;Lucy;Lucia;Lucie;F
Lluís;Lluís;Lluís;Luis;Luís;Koldo;Luís;Luís;Louis;Louis;Lewis;Louis;M
Magalí;Magalí;Magalí;Magali;Magalí;Magali;Magali;Magali;Magali;Magali;Magali;Magali;F
Magda;Magda;Magda;Magda;Magda;Magda;Magda;Magda;Magda;Magda;Magda;Magda;F
Manel;Manel;Manel;Manuel;Manuel;Imanol;Manuel;Manuel;Manuel;Manuel;Emanuel;Manuel;M
Marc;Marc;Marc;Marcos;Marcos;Markos;Marcos;Marcos;Mark;Mark;Marcus;Marc;M
Marc Antoni;Marc Antoni;Marc Antoni;Marco Antonio;Marco Antonio;Marko Antonio;Marco António;Marco Antônio;Mark Antony;Mark Antony;Marc Anthony;Marc-Antoine;M
Marçal;Marçal;Marçal;Marcial;Marcial;Martzial;Marcial;Marcial;Marcial;Marcial;Marcial;Martial;M
Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzel;Marcelo;Marcelo;Marcel;Marcel;Marcelo;Marcel;M
Marcel·lí;Marcel·lí;Marcel·lí;Marcelino;Marcelino;Markelin;Marcelino;Marcelino;Marcelinus;Marcelinus;Marcelino;Marcelin;M
Marcelo;Marcelo;Marcelo;Marcelo;Marcelo;Martzelo;Marcelo;Marcelo;Marcel;Marcel;Marcelo;Marcel;M
Margarida;Margarida;Margarida;Margarita;Margarida;Margarita;Margarida;Margarida;Margaret;Margaret;Margarita;Marguerite;F
Maria;Maria;Maria;María;María;Maria;Maria;Maria;Mary;Mary;Maria;Marie;F
Marià;Marià;Marià;Mariano;Mariano;Mariano;Mariano;Mariano;Marianus;Marianus;Mariano;Mariane;M
Marian;Marian;Marian;Mariana;Mariana;Mariane;Mariana;Mariana;Marian;Marian;Marian;Marianne;F
Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marine;F
Mariona;Mariona;Mariona;Mariana;Mariana;Mariane;Mariana;Mariana;Marian;Marian;Marion;Marion;F
Marius;Marius;Marius;Mario;Mario;Mario;Mário;Mário;Mario;Mario;Mario;Marius;M
Màrius;Màrius;Màrius;Mario;Mario;Mario;Mário;Mário;Mario;Mario;Mario;Marius;M
Marta;Marta;Marta;Marta;Marta;Marta;Marta;Marta;Martha;Martha;Marta;Marthe;F
Martina;Martina;Martina;Martina;Martina;Martina;Martina;Martina;Martina;Martina;Martina;Martine;F
Mateu;Mateu;Mateu;Mateo;Mateo;Mateo;Mateus;Mateus;Matthew;Matthew;Mateo;Mathieu;M
Maurici;Maurici;Maurici;Mauricio;Mauricio;Mauritzio;Maurício;Maurício;Maurice;Maurice;Maurice;Maurice;M
Max;Max;Max;Máximo;Máximo;Maximo;Máximo;Máximo;Max;Max;Max;Max;M
Melcior;Melcior;Melcior;Melchor;Melchor;Melkor;Melchior;Melchior;Melchior;Melchior;Melchor;Melchior;M
Mercè;Mercè;Mercè;Mercedes;Mercedes;Mesede;Mercês;Mercês;Mercedes;Mercedes;Mercedes;Mercedes;F
Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Mike;Michel;M
Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Mireia;Mireille;F
Míriam;Míriam;Míriam;Miriam;Miriam;Miriam;Míriam;Míriam;Miriam;Miriam;Miriam;Myriam;F
Mònica;Mònica;Mònica;Mónica;Mónica;Monika;Mónica;Mônica;Monica;Monica;Monica;Monique;F
Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;Montserrat;F
Nadia;Nadia;Nadia;Nadia;Nadia;Nadia;Nádia;Nádia;Nadia;Nadia;Nadia;Nadia;F
Narcís;Narcís;Narcís;Narciso;Narciso;Nartziso;Narciso;Narciso;Narcissus;Narcissus;Narciso;Narcisse;M
Neus;Neus;Neus;Nieves;Neves;Edurne;Neves;Neves;Snow;Snow;Nieves;Neiges;F
Nicolau;Nicolau;Nicolau;Nicolás;Nicolao;Nikola;Nicolau;Nicolau;Nicholas;Nicholas;Nick;Nicolas;M
Nil;Nil;Nil;Nilo;Nilo;Nil;Nilo;Nilo;Nile;Nile;Nil;Nil;M
Noemí;Noemí;Noemí;Noemí;Noemí;Noemi;Noémia;Noémia;Naomi;Naomi;Noemi;Noémie;F
Núria;Núria;Núria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;Nuria;F
Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;Olga;F
Oriol;Oriol;Oriol;Oriol;Oriol;Oriol;Aureolo;Aureolo;Aureolus;Aureolus;Oriol;Auréol;M
Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Paul;Pablo;Paul;M
Pauet;Pauet;Pauet;Pablito;Pauliño;Paultxo;Paulinho;Paulinho;Paulie;Paulie;Pablito;Paulinet;M
Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paula;Paule;F
Pauleta;Pauleta;Pauleta;Paulette;Pauleta;Paulete;Pauleta;Pauleta;Paulette;Paulette;Paulette;Paulette;F
Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pedro;Pierre;M
Pilar;Pilar;Pilar;Pilar;Pilar;Miren;Pilar;Pilar;Pilar;Pilar;Pilar;Pilar;F
Pol;Pol;Pol;Pablo;Paulo;Paul;Paulo;Paulo;Paul;Paul;Pol;Paul;M
Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;Queralt;F
Quim;Quim;Quim;Joaquín;Joaquín;Xakin;Joaquim;Joaquim;Joachim;Joachim;Joaquin;Joachim;M
Rafel;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël;M
Ramon;Ramon;Ramon;Ramón;Ramón;Erramun;Ramão;Ramão;Raymond;Raymond;Ramon;Raymond;M
Raquel;Raquel;Raquel;Raquel;Raquel;Rakel;Raquel;Raquel;Rachel;Rachel;Raquel;Rachel;F
Raül;Raül;Raül;Raúl;Raúl;Raul;Raul;Raul;Ralph;Ralph;Raul;Raoul;M
Rebeca;Rebeca;Rebeca;Rebeca;Rebeca;Rakel;Rebeca;Rebeca;Rebecca;Rebecca;Raquel;Rebecca;F
Remei;Remei;Remei;Remedios;Remedios;Remedio;Remédios;Remédios;Remedios;Remedios;Remedios;Remèdes;F
Ricard;Ricard;Ricard;Ricardo;Ricardo;Rikardo;Ricardo;Ricardo;Richard;Richard;Rich;Richard;M
Roc;Roc;Roc;Roque;Roque;Roke;Roque;Roque;Rocco;Rocco;Roque;Roch;M
Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Rogério;Roger;Roger;Rodger;Roger;M
Rosa;Rosa;Rosa;Rosa;Rosa;Arrosa;Rosa;Rosa;Rose;Rose;Rosetta;Rose;F
Rosalia;Rosalia;Rosalia;Rosalía;Rosalía;Errosale;Rosália;Rosália;Rosalia;Rosalie;Roshalia;Rosalie;F
Roser;Roser;Roser;Rosario;Rosario;Arrosari;Rosário;Rosário;Rosary;Rosary;Rosario;Rosaire;F
Ruben;Rubèn;Rubén;Rubén;Rubén;Ruben;Ruben;Rubens;Reuben;Reuben;Reuben;Ruben;M
Salvador;Salvador;Salvador;Salvador;Salvador;Salbatore;Salvador;Salvador;Salvador;Salvador;Sal;Sauveur;M
Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Samuel;Sammy;Samuel;M
Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sara;Sarah;Sarah;Sarai;Sarah;F
Sergi;Sergi;Sergi;Sergio;Serxio;Sergi;Sérgio;Sérgio;Sergius;Sergio;Sergio;Serge;M
Sílvia;Sílvia;Sílvia;Silvia;Silvia;Zilbia;Sílvia;Sílvia;Silvia;Sylvia;Sylvia;Sylvie;F
Sofia;Sofia;Sofia;Sofía;Sofía;Sofia;Sofia;Sofia;Sophia;Sophia;Safiya;Sophie;F
Sònia;Sònia;Sònia;Sonia;Sonia;Sone;Sónia;Sônia;Sonia;Sonia;Sonya;Sonia;F
Tània;Tània;Tània;Tania;Tania;Tania;Tânia;Tânia;Tania;Tanya;Latanya;Tania;F
Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatyana;Tatiana;F
Tecla;Tecla;Tecla;Tecla;Tecla;Tecla;Tecla;Tecla;Thecla;Thecla;Thecla;Thècle;F
Teresa;Teresa;Teresa;Teresa;Teresa;Terexa;Teresa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Tina;Tina;Tina;Tina;Tina;Tina;Tina;Tina;Tina;Tina;Tina;Tina;F
Tomàs;Tomàs;Tomàs;Tomás;Tomás;Tomas;Tomás;Tomás;Thomas;Thomas;Thom;Thomas;M
Toni;Toni;Toni;Toni;Toni;Toni;Toni;Toninho;Tony;Tony;Tony;Antoine;M
Tònia;Antònia;Antònia;Antonia;Antonia;Antone;Antónia;Antônia;Antonia;Antonia;Latonia;Antonie;F
Valèria;Valèria;Valèria;Valeria;Valeria;Valeri;Valéria;Valéria;Valeria;Valerie;Valerie;Valérie;F
Ventura;Ventura;Ventura;Buenaventura;Ventura;Ventura;Boaventura;Boaventura;Bonaventure;Bonaventure;Ventura;Bonaventure;M
Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Vitor;Victor;Victor;Victor;Victor;M
Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Victória;Vitória;Victoria;Victoria;Vickie;Victoire;F
Violeta;Violeta;Violeta;Violeta;Violeta;Bioleta;Violeta;Violeta;Violet;Violet;Viola;Violette;F
Xavi;Xavi;Xavi;Xavi;Xavi;Xabi;Xavi;Xavi;Xavi;Xavi;Xavi;Xavi;M
Xavier;Xavier;Xavier;Javier;Xabier;Xabier;Xavier;Xavier;Xavier;Xavier;Zavier;Xavier;M
Xènia;Xènia;Xènia;Xenia;Xenia;Xenia;Xénia;Xênia;Xenia;Xenia;Zenia;Xenia;F
