pt-br;ca-ib;ca-va;ca;es;gl;eu;pt-eu;en_gb;en-us;en-us-af;fr;Género
Fabrício;Fabrici;Fabrici;Fabrici;Fabricio;Fabricio;Fabrizio;Fabrício;Fabricius;Fabricio;Fabricio;Fabrice;M
Fátima;Fàtima;Fàtima;Fàtima;Fátima;Fátima;Fatima;Fátima;Fatima;Fatima;Fatima;Fatima;F
Felipe;Felip;Felip;Felip;Felipe;Filipe;Felipe;Filipe;Philip;Philip;Phil;Philippe;M
Fernanda;Ferranda;Ferranda;Ferranda;Fernanda;Fernanda;Erranda;Fernanda;Fernanda;Fernanda;Fernanda;Fernande;F
Francisco;Francesc;Francesc;Francesc;Francisco;Francisco;Frantzisko;Francisco;Francis;Francis;Frank;François;M
Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabriel;Gabirel;Gabriel;Gabriel;Gabriel;Gabe;Gabriel;M
Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabriela;Gabirele;Gabriela;Gabriela;Gabriela;Gaby;Gabrielle;F
Gustavo;Gustau;Gustau;Gustau;Gustavo;Gustavo;Gustabo;Gustavo;Gustav;Gustave;Gus;Gustave;M
Heitor;Hèctor;Hèctor;Hèctor;Héctor;Héitor;Hektor;Heitor;Hector;Hector;Hector;Hector;M
Henrique;Enric;Enric;Enric;Enrique;Henrique;Endrika;Henrique;Henry;Henry;Hank;Henri;M
Iago;Jaume;Jaume;Jaume;Santiago;Iago;Jakue;Tiago;James;James;Jamal;Jacques;M
Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;Igor;M
Isabela;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabella;Isabella;Latoya;Isabelle;F
Jéssica;Jèssica;Jèssica;Jèssica;Jessica;Jessica;Jesika;Jéssica;Jessica;Jessica;Jazzy;Jessica;F
Joana;Joana;Joana;Joana;Juana;Xoana;Jone;Joana;Joan;Jane;Shanice;Jeanne;F
João;Joan;Joan;Joan;Juan;Xoán;Jon;João;John;John;Deshawn;Jean;M
Jorge;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Jorge;George;George;Georgethon;Georges;M
José;Josep;Josep;Josep;José;Xosé;Joseba;José;Joseph;Joseph;Joe;Joseph;M
Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliane;Juliana;Juliana;Juliana;Juliana;Julienne;F
Larissa;Larissa;Larissa;Larissa;Larissa;Larissa;Larisa;Larissa;Larissa;Larissa;Larissa;Larissa;F
Leonardo;Lleonard;Lleonard;Lleonard;Leonardo;Leonardo;Leonardo;Leonardo;Leonard;Leonard;Leo;Léonard;M
Letícia;Letícia;Letícia;Letícia;Leticia;Leticia;Letizia;Letícia;Letitia;Letitia;Letty;Laetitia;F
Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;Luana;F
Lucas;Lluc;Lluc;Lluc;Lucas;Lucas;Luken;Lucas;Luke;Luke;Luken;Luc;M
Luís;Lluís;Lluís;Lluís;Luis;Lois;Koldobika;Luís;Louis;Louis;Louie;Louis;M
Madalena;Magdalena;Magdalena;Magdalena;Magdalena;Madalena;Maialen;Madalena;Magdalene;Magdalene;Maddie;Madeleine;F
Manoel;Manel;Manel;Manel;Manuel;Manuel;Imanol;Manuel;Manuel;Manuel;Manny;Manuel;M
Marcelo;Marcel;Marcel;Marcel;Marcelo;Marcelo;Martzelo;Marcelo;Marcel;Marcel;Marcelo;Marcel;M
Maria;Maria;Maria;Maria;María;María;Maria;Maria;Mary;Mary;Tamika;Marie;F
Mariana;Mariana;Mariana;Mariana;Mariana;Mariana;Mariane;Mariana;Marian;Marian;Marianne;Marianne;F
Matheus;Mateu;Mateu;Mateu;Mateo;Mateu;Mateo;Mateus;Matthew;Matthew;Matt;Matthieu;M
Maurício;Maurici;Maurici;Maurici;Mauricio;Mauricio;Maurizio;Maurício;Maurice;Maurice;Maurice;Maurice;M
Michele;Miquela;Miquela;Miquela;Miguela;Miguela;Mikele;Micaela;Michaela;Michaela;Makayla;Michèle;F
Miguel;Miquel;Miquel;Miquel;Miguel;Miguel;Mikel;Miguel;Michael;Michael;Micheal;Michel;M
Natália;Natàlia;Natàlia;Natàlia;Natalia;Natalia;Natale;Natália;Natalie;Natalie;Nat;Nathalie;F
Patrícia;Patrícia;Patrícia;Patrícia;Patricia;Patricia;Patrizia;Patrícia;Patricia;Patricia;Patrice;Patrice;F
Paulo;Pau;Pau;Pau;Pablo;Paulo;Paul;Paulo;Paul;Paul;Pauley;Paul;M
Pedro;Pere;Pere;Pere;Pedro;Pedro;Peru;Pedro;Peter;Peter;Pete;Pierre;M
Rafael;Rafel;Rafel;Rafael;Rafael;Rafael;Rafael;Rafael;Raphael;Raphael;Rafe;Raphaël;M
Rafaela;Rafela;Rafela;Rafaela;Rafaela;Rafaela;Rafaela;Rafaela;Raphaela;Raphaela;Rafaela;Raphaëlle;F
Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renata;Renée;F
Renato;Renat;Renat;Renat;Renato;Renato;Renato;Renato;Renato;Renato;Renato;René;M
Rodrigo;Rodric;Roderic;Roderic;Rodrigo;Roi;Rodrigo;Rodrigo;Roderick;Roderick;Rod;Rodrigue;M
Rogério;Roger;Roger;Roger;Roger;Roxerio;Roger;Rogério;Roger;Roger;Rodger;Roger;M
Ruan;Joan;Joan;Joan;Juan;Xoán;Jon;João;John;John;Deshawn;Jean;M
Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;Sabrina;F
Samuel;Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Sammy;Samuel;M
Sérgio;Sergi;Sergi;Sergi;Sergio;Serxio;Sergi;Sérgio;Sergius;Sergio;Sergio;Serge;M
Simone;Simona;Simona;Simona;Simona;Simona;Simona;Simona;Simone;Simone;Simone;Simonne;F
Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;Sueli;F
Tainá;Tainá;Tainá;Tainá;Tainá;Tainá;Taina;Tainá;Taina;Taina;Taina;Tainá;F
Tatiane;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatiana;Tatyana;Tatiana;F
Teresa;Teresa;Teresa;Teresa;Teresa;Tareixa;Terexa;Tereza;Teresa;Theresa;Theresa;Thérèse;F
Thiago;Jaume;Jaume;Jaume;Santiago;Iago;Jakue;Tiago;James;James;Jamal;Jacques;M
Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Vanessa;Banesa;Vanessa;Vanessa;Vanessa;Nessa;Vanessa;F
Vitor;Víctor;Víctor;Víctor;Víctor;Víctor;Bitor;Vítor;Victor;Victor;Victor;Victor;M
Vitória;Victòria;Victòria;Victòria;Victoria;Victoria;Biktori;Vitória;Victoria;Victoria;Vickie;Victoire;F
Wagner;Vagner;Vagner;Vagner;Vagner;Vagner;Vagner;Wagner;Wagner;Wagner;Wagner;Wagner;M
Wesley;Wesley;Wesley;Wesley;Wesley;Wesley;Uesley;Wesley;Wesley;Wesley;Wesley;Wesley;M
Yasmin;Iasmín;Iasmín;Iasmín;Jazmín;Iasmín;Jasmin;Iasmin;Yasmin;Yasmin;Yazmine;Yasmine;F
Yuri;Jordi;Jordi;Jordi;Jorge;Xurxo;Gorka;Iuri;George;George;Yuri;Georges;M
