gl;ca-ib;ca-va;ca;es;eu;pt-eu;pt-br;en-gb;en-us;en-us-af;fr
Brais;Blai;Blai;Blai;Blas;Bladi;Brás;Brás;Blaise;Blaise;Blaze;Blaise
Branca;Blanca;Blanca;Blanca;Blanca;Zuria;Branca;Branca;Blanche;Blanche;Blanche;Blanche
Breogán;Breogán;Breogán;Breogán;Breogán;Breogan;Breogán;Breogán;Breogan;Breogan;Breogan;Breogan
Caridade;Caritat;Caritat;Caritat;Caridad;Karitate;Caridade;Caridade;Charity;Charity;Charity;Charité
Carmiña;Carme;Carme;Carme;Carmen;Karmen;Carmo;Carmo;Carmen;Carmen;Carmel;Carmine
Casiano;Cassià;Cassià;Cassià;Casiano;Kasian;Cassiano;Cassiano;Cassian;Cassian;Cassian;Cassien
Celsa;Celsa;Celsa;Celsa;Celsa;Kelsa;Celsa;Celsa;Celsa;Celsa;Celsa;Celse
Celso;Cels;Cels;Cels;Celso;Keltsa;Celso;Celso;Celso;Celso;Celso;Celse
Cibrán;Cebrià;Cebrià;Cebrià;Cipriano;Kipiren;Cipriano;Cipriano;Cyprian;Cyprian;Cyprian;Cyprien
Cira;Cira;Cira;Cira;Cira;Zira;Cira;Cira;Cyra;Cyra;Cyra;Cyra
Comba;Coloma;Coloma;Coloma;Paloma;Uxue;Pomba;Pomba;Dove;Dove;Paloma;Colombe
Damián;Damià;Damià;Damià;Damián;Damian;Damião;Damião;Damian;Damian;Damien;Damien
Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Daniel;Danny;Daniel
David;David;David;David;David;Davidi;David;David;David;David;Dave;David
Diego;Dídac;Dídac;Dídac;Diego;Diegotxo;Diogo;Diogo;Diego;Diego;Diego;Diego
Domingo;Domènec;Domènec;Domènec;Domingo;Domeka;Domingos;Domingos;Dominic;Dominic;Dominique;Dominique
Dores;Dolors;Dolors;Dolors;Dolores;Nekane;Dores;Dores;Dolores;Dolores;Lola;Dolores
Eloi;Eloi;Eloi;Eloi;Eloy;Eloi;Elói;Elói;Eloy;Eloy;Eloy;Éloi
Erea;Irena;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Irene;Ireen;Irène
Ermitas;Ermites;Ermites;Ermites;Ermitas;Ermita;Ermidas;Ermidas;Hermitage;Hermitage;Ermitas;Ermite
Estevo;Esteve;Esteve;Esteve;Esteban;Eztebe;Estêvão;Estêvão;Stephen;Stephen;Steve;Étienne
Euxenia;Eugènia;Eugènia;Eugènia;Eugenia;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Genie;Eugénie
Euxenio;Eugeni;Eugeni;Eugeni;Eugenio;Euken;Eugénio;Eugênio;Eugene;Eugene;Gene;Eugène
Evaristo;Evarist;Evarist;Evarist;Evaristo;Ebaristo;Evaristo;Evaristo;Evaristus;Evaristus;Evaristo;Évariste
Fabián;Fabià;Fabià;Fabià;Fabián;Fabian;Fabião;Fabião;Fabian;Fabian;Fabian;Fabien
Fabiola;Fabiola;Fabiola;Fabiola;Fabiola;Fabiola;Fabíola;Fabíola;Fabiola;Fabiola;Fabiola;Fabiole
Felicidade;Felicitat;Felicitat;Felicitat;Felicidad;Felizitate;Felicidade;Felicidade;Felicity;Felicity;Felicity;Felicité
Froilán;Froilà;Froilà;Froilà;Froilán;Froilan;Froilão;Froilão;Froilan;Froilan;Froilan;Froila
Gonzalo;Gonçal;Gonçal;Gonçal;Gonzalo;Gontzal;Gonçalo;Gonçalo;Gonzalo;Gonzalo;Gonzalo;Gonzalve
Gumersindo;Gumersind;Gumersind;Gumersind;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersindo;Gumersind
Helena;Elena;Elena;Elena;Elena;Elene;Helena;Helena;Helen;Helen;Yelena;Hélène
Hernán;Ferran;Ferran;Ferran;Hernán;Errando;Fernão;Fernão;Ferdinand;Ferdinand;Hernan;Fernand
Iago;Jaume;Jaume;Jaume;Santiago;Jakue;Tiago;Tiago;James;James;Jamal;Jacques
Icía;Cecília;Cecília;Cecília;Cecilia;Zezili;Cecília;Cecília;Cecilia;Cecilia;Cece;Cécile
Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Iria;Irie
Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma;Irma
Isidro;Isidre;Isidre;Isidre;Isidro;Isidore;Isidro;Isidro;Isidore;Isidore;Isidore;Isidore
Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isolina;Isoline
Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara;Lara
Lázaro;Llàtzer;Llàtzer;Llàtzer;Lázaro;Lazar;Lázaro;Lázaro;Lazarus;Lazarus;Lazarus;Lazare
Lisardo;Lisard;Lisard;Lisard;Lisardo;Lisardo;Lisardo;Lisardo;Lisardo;Lisardo;Lisardo;Lisard
Lito;Manuel;Manel;Manel;Manolito;Imanol;Manelinho;Manelinho;Manny;Manny;Manny;Manel
Lois;Lluís;Lluís;Lluís;Luis;Koldobika;Luís;Luís;Louis;Louis;Louie;Louis
Lorenzo;Llorenç;Llorenç;Llorenç;Lorenzo;Lontzi;Lourenço;Lourenço;Lawrence;Lawrence;Larry;Laurent
Lúa;Lluna;Lluna;Lluna;Luna;Ilargi;Lua;Lua;Moon;Moon;Luna;Lune
Madalena;Magdalena;Magdalena;Magdalena;Magdalena;Maialen;Madalena;Madalena;Magdalene;Magdalene;Maddie;Madeleine
Maiola;Maiola;Maiola;Maiola;Mayola;Maiola;Maiola;Maiola;Mayola;Mayola;Mayola;Mayole
Manuel;Manel;Manel;Manel;Manuel;Imanol;Manuel;Manuel;Manuel;Manuel;Manny;Manuel
Marcos;Marc;Marc;Marc;Marcos;Marko;Marcos;Marcos;Mark;Mark;Marcus;Marc
María;Maria;Maria;Maria;María;Maria;Maria;Maria;Mary;Mary;Tamika;Marie
María Antonia;Maria Antònia;Maria Antònia;Maria Antònia;María Antonia;Maria Antone;Maria Antónia;Maria Antônia;Mary Antonia;Mary Antonia;Latonia;Marie-Antonie
María Xosé;Maria Josep;Maria Josep;Maria Josep;María José;Maria Josebe;Maria José;Maria José;Mary Jo;Mary Jo;Mary-Jo;Marie-Josèphe
Mariña;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marina;Marine
Martín;Martí;Martí;Martí;Martín;Martin;Martim;Martim;Martin;Martin;Martell;Martin
Martiño;Martí;Martí;Martí;Martín;Martin;Martim;Martim;Martin;Martin;Martell;Martin
Maruxa;Maria;Maria;Maria;María;Maria;Maria;Maria;Mary;Mary;Tamika;Marie
Mateo;Mateu;Mateu;Mateu;Mateo;Mateo;Mateus;Mateus;Matthew;Matthew;Matt;Matthieu
Melisa;Melisa;Melisa;Melisa;Melisa;Melisa;Melissa;Melissa;Melissa;Melissa;Missy;Mélissa
Mencía;Mencia;Mencia;Mencia;Mencía;Mentzia;Mencia;Mencia;Mencia;Mencia;Mencia;Mencie
Miguel;Miquel;Miquel;Miquel;Miguel;Mikel;Miguel;Miguel;Michael;Michael;Micheal;Michel
Mireia;Mireia;Mireia;Mireia;Mireya;Mireia;Mireia;Mireia;Mireia;Mireia;Miree;Mireille
Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara;Naiara
Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;Nikanor;Nicanor;Nicanor;Nicanor;Nicanor;Nicanor;Nicanor
Noa;Noa;Noa;Noa;Noa;Noa;Noa;Noa;Noah;Noah;Noah;Noa
Noé;Noé;Noé;Noé;Noé;Noe;Noé;Noé;Noah;Noah;Noah;Noé
Noela;Noela;Noela;Noela;Noela;Noela;Noela;Noela;Noella;Noella;Noela;Noëlle
Olaia;Eulàlia;Eulàlia;Eulàlia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie
Olalla;Eulàlia;Eulàlia;Eulàlia;Eulalia;Eulale;Eulália;Eulália;Eulalia;Eulalia;Lalia;Eulalie
Ovidio;Ovidi;Ovidi;Ovidi;Ovidio;Ovidio;Ovídio;Ovídio;Ovid;Ovid;Ovidio;Ovide
Paulo;Pau;Pau;Pau;Pablo;Paul;Paulo;Paulo;Paul;Paul;Pauley;Paul
Pedro;Pere;Pere;Pere;Pedro;Peru;Pedro;Pedro;Peter;Peter;Pete;Pierre
Pomba;Coloma;Coloma;Coloma;Paloma;Uxue;Pomba;Pomba;Dove;Dove;Paloma;Colombe
Prudencio;Prudenci;Prudenci;Prudenci;Prudencio;Prudentzi;Prudêncio;Prudêncio;Prudence;Prudence;Prudencio;Prudence
Raimundo;Ramon;Ramon;Ramon;Ramón;Erramun;Raimundo;Raimundo;Raymond;Raymond;Ray;Raymond
Ramiro;Ramir;Ramir;Ramir;Ramiro;Ramir;Ramiro;Ramiro;Ramiro;Ramiro;Ramiro;Ramire
Rebeca;Rebeca;Rebeca;Rebeca;Rebeca;Rebeke;Rebeca;Rebeca;Rebecca;Rebecca;Becca;Rébecca
Rexina;Regina;Regina;Regina;Regina;Erregina;Regina;Regina;Regina;Regina;Regina;Reine
Roi;Rodric;Roderic;Roderic;Rodrigo;Rodrigo;Rodrigo;Rodrigo;Roderick;Roderick;Rod;Rodrigue
Roque;Roc;Roc;Roc;Roque;Roke;Roque;Roque;Rocco;Rocco;Rocky;Roch
Sabela;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Isabel;Elizabeth;Elizabeth;Latoya;Isabelle
Samuel;Samuel;Samuel;Samuel;Samuel;Samu;Samuel;Samuel;Samuel;Samuel;Sammy;Samuel
Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Severina;Séverine
Severino;Severí;Severí;Severí;Severino;Severino;Severino;Severino;Severinus;Severinus;Severino;Séverin
Simón;Simó;Simó;Simó;Simón;Simon;Simão;Simão;Simon;Simon;Simone;Simon
Tadeo;Tadeu;Tadeu;Tadeu;Tadeo;Tadeo;Tadeu;Tadeu;Thaddeus;Thaddeus;Thad;Thaddée
Tareixa;Teresa;Teresa;Teresa;Teresa;Terexa;Teresa;Tereza;Teresa;Theresa;Theresa;Thérèse
Teodoro;Teodor;Teodor;Teodor;Teodoro;Teodoro;Teodoro;Teodoro;Theodore;Theodore;Theo;Théodore
Tomé;Tomàs;Tomàs;Tomàs;Tomás;Tomas;Tomé;Tomé;Thomas;Thomas;Thom;Thomas
Ubaldo;Ubald;Ubald;Ubald;Ubaldo;Ubaldo;Ubaldo;Ubaldo;Ubald;Ubald;Ubaldo;Ubalde
Urbano;Urbà;Urbà;Urbà;Urbano;Urbano;Urbano;Urbano;Urban;Urban;Urban;Urbain
Uxía;Eugènia;Eugènia;Eugènia;Eugenia;Eukene;Eugénia;Eugênia;Eugenia;Eugenia;Genie;Eugénie
Uxío;Eugeni;Eugeni;Eugeni;Eugenio;Euken;Eugénio;Eugênio;Eugene;Eugene;Gene;Eugène
Valentín;Valentí;Valentí;Valentí;Valentín;Valentin;Valentim;Valentim;Valentine;Valentine;Val;Valentin
Xacinto;Jacint;Jacint;Jacint;Jacinto;Jakint;Jacinto;Jacinto;Hyacinth;Hyacinth;Hyacinth;Hyacinthe
Xacobe;Jaume;Jaume;Jaume;Jacobo;Jakue;Jacó;Jacó;Jacob;Jacob;Jake;Jacques
Xacobo;Jaume;Jaume;Jaume;Jacobo;Jakue;Jacó;Jacó;Jacob;Jacob;Jake;Jacques
Xandra;Sandra;Sandra;Sandra;Sandra;Sandra;Alexandra;Alexandra;Alexandra;Alexandra;Zandra;Alexandra
Xandre;Alexandre;Alexandre;Alexandre;Alejandro;Alexandre;Alexandre;Alexandre;Alexander;Alexander;Alex;Alexandre
Xela;Àngela;Àngela;Àngela;Ángela;Aingeru;Ângela;Ângela;Angela;Angela;Angie;Angèle
Xenebra;Ginebra;Ginebra;Ginebra;Ginebra;Ginebra;Ginebra;Ginebra;Geneva;Geneva;Genova;Genève
Xermán;Germà;Germà;Germà;Germán;German;Germano;Germano;German;German;Germain;Germain
Xiana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Juliana;Julienne
Xil;Gil;Gil;Gil;Gil;Gil;Gil;Gil;Giles;Giles;Giles;Gilles
Ximena;Ximena;Ximena;Ximena;Jimena;Jimena;Jimena;Jimena;Jimena;Jimena;Jimena;Chimène
Xoán;Joan;Joan;Joan;Juan;Jon;João;João;John;John;Deshawn;Jean
Xoán Antón;Joan Antoni;Joan Antoni;Joan Antoni;Juan Antonio;Jon Antoni;João António;João Antônio;John Anthony;John Anthony;John-Antwan;Jean-Antoine
Xoana;Joana;Joana;Joana;Juana;Jone;Joana;Joana;Joan;Jane;Shanice;Jeanne
Xoanciño;Joan;Joan;Joan;Juanito;Jon;Joãozinho;Joãozinho;Johnny;Johnny;Jonny;Jean
Xoel;Joel;Joel;Joel;Joel;Joel;Joel;Joel;Joel;Joel;Joelle;Joël
Xosé;Josep;Josep;Josep;José;Joseba;José;José;Joseph;Joseph;Joe;Joseph
Xosefa;Josepa;Josepa;Josepa;Josefa;Josebe;Josefa;Josefa;Josephine;Josephine;Jo-Sista;Josèphe
Xulia;Júlia;Júlia;Júlia;Julia;Yuile;Júlia;Júlia;Julia;Julia;Juliette;Julie
Xulián;Julià;Julià;Julià;Julián;Julian;Julião;Julião;Julian;Julian;Julian;Julien
Xurxo;Jordi;Jordi;Jordi;Jorge;Gorka;Jorge;Jorge;George;George;Georgethon;Georges
Xusto;Just;Just;Just;Justo;Justo;Justo;Justo;Justus;Justus;Justus;Juste
