ID;Grafema;IPA;Descripcion;Valor
58;j;/d??/;africada postalveolar sonora (ing);16
58;dg;/d??/;africada postalveolar sonora;16
58;dj;/d??/;africada postalveolar sonora;16
59;r;/?/;vibrante simple;14
60;rr;/r/;vibrante múltiple;14
60;r;/r/;vibrante múltiple (inicio de palabra);14
61;r~;/?~/;vibrante simple nasalizada;15
62;l;/l/;lateral alveolar;12
62;ll;/l/;lateral alveolar (cat);12
63;ll;/?/;lateral palatal;11
63;lh;/?/;lateral palatal (pt);11
63;l·l;/?/;lateral palatal (cat);11
64;l;/?/;lateral velarizada (ing);10
65;r;/?/;aproximante alveolar inglesa;11
66;w;/ß?/;aproximante bilabial;13
67;ð;/ð?/;aproximante dental;11
68;?;/?/;aproximante velar;10
69;?;/?/;aproximante labiodental;12
70;?;/?/;aproximante retrofleja;11
71;?;/?/;aproximante velar;10
80;´;';acento primario (tónica);5
81;`;?;acento secundario;3
82;0;0;marca de sílaba átona;0
83;:;?;alargamiento vocálico;2
84;_;?;enlace/ligadura;2
85;^;?~;nasalización prosódica;4
86;::;??;geminación consonántica;5
