idFonema;IPA;ASCII;Tipo;Subtipo;EsVocal;EsDiptongo;EsHiato;EsConsonante;Lenguas;Descripcion
75;/wæ/;W_AE;DIPTONGO;creciente-labiovelar;1;1;0;0;EN;diptongo creciente labiovelar
76;/wɑ/;W_A_POST;DIPTONGO;creciente-labiovelar;1;1;0;0;EN;diptongo creciente labiovelar
77;/wɒ/;W_O_INV;DIPTONGO;creciente-labiovelar;1;1;0;0;EN;diptongo creciente labiovelar
78;/we/;W_E;DIPTONGO;creciente-labiovelar;1;1;0;0;ES,CA,GL,PT,EN;diptongo creciente labiovelar
79;/wø/;W_OE;DIPTONGO;creciente-labiovelar;1;1;0;0;FR;diptongo creciente labiovelar
80;/wɛ/;W_E_AB;DIPTONGO;creciente-labiovelar;1;1;0;0;FR;diptongo creciente labiovelar
81;/wə/;W_SCHWA;DIPTONGO;creciente-labiovelar;1;1;0;0;EN;diptongo creciente labiovelar
82;/wɜ/;W_E_INV;DIPTONGO;creciente-labiovelar;1;1;0;0;EN;diptongo creciente labiovelar
83;/wi/;W_I;DIPTONGO;creciente-labiovelar;1;1;0;0;EN;diptongo creciente labiovelar
84;/wy/;W_Y;DIPTONGO;creciente-labiovelar;1;1;0;0;FR;diptongo creciente labiovelar
85;/wɨ/;W_I_BAR;DIPTONGO;creciente-labiovelar;1;1;0;0;UNIV;diptongo creciente labiovelar
86;/wʉ/;W_U_BAR;DIPTONGO;creciente-labiovelar;1;1;0;0;UNIV;diptongo creciente labiovelar
87;/wu/;W_U;DIPTONGO;creciente-labiovelar;1;1;0;0;UNIV;diptongo creciente labiovelar

88;/ɥa/;H_A;DIPTONGO;creciente-labial-palatal;1;1;0;0;FR;diptongo creciente labial-palatal
89;/ɥe/;H_E;DIPTONGO;creciente-labial-palatal;1;1;0;0;FR;diptongo creciente labial-palatal
90;/ɥi/;H_I;DIPTONGO;creciente-labial-palatal;1;1;0;0;FR;diptongo creciente labial-palatal
91;/ɥo/;H_O;DIPTONGO;creciente-labial-palatal;1;1;0;0;FR;diptongo creciente labial-palatal
92;/ɥø/;H_OE;DIPTONGO;creciente-labial-palatal;1;1;0;0;FR;diptongo creciente labial-palatal
93;/ɥœ/;H_OE_AB;DIPTONGO;creciente-labial-palatal;1;1;0;0;FR;diptongo creciente labial-palatal

94;/jã/;J_A_N;DIPTONGO;nasal-palatal;1;1;0;0;PT,FR;diptongo nasal palatal
95;/jẽ/;J_E_N;DIPTONGO;nasal-palatal;1;1;0;0;PT,FR;diptongo nasal palatal
96;/jõ/;J_O_N;DIPTONGO;nasal-palatal;1;1;0;0;PT,FR;diptongo nasal palatal
97;/jũ/;J_U_N;DIPTONGO;nasal-palatal;1;1;0;0;PT;diptongo nasal palatal

98;/wã/;W_A_N;DIPTONGO;nasal-labiovelar;1;1;0;0;PT;diptongo nasal labiovelar
99;/wẽ/;W_E_N;DIPTONGO;nasal-labiovelar;1;1;0;0;PT;diptongo nasal labiovelar
100;/wõ/;W_O_N;DIPTONGO;nasal-labiovelar;1;1;0;0;PT;diptongo nasal labiovelar
101;/wũ/;W_U_N;DIPTONGO;nasal-labiovelar;1;1;0;0;PT;diptongo nasal labiovelar

102;/ɥã/;H_A_N;DIPTONGO;nasal-labial-palatal;1;1;0;0;FR;diptongo nasal labial-palatal
103;/ɥẽ/;H_E_N;DIPTONGO;nasal-labial-palatal;1;1;0;0;FR;diptongo nasal labial-palatal
104;/ɥœ̃/;H_OE_N;DIPTONGO;nasal-labial-palatal;1;1;0;0;FR;diptongo nasal labial-palatal

105;/aj/;A_J;DIPTONGO;decreciente-palatal;1;1;0;0;ES,CA,GL,PT,EN;diptongo decreciente palatal
106;/ej/;E_J;DIPTONGO;decreciente-palatal;1;1;0;0;ES,CA,GL,PT,EN;diptongo decreciente palatal
107;/oj/;O_J;DIPTONGO;decreciente-palatal;1;1;0;0;ES,CA,GL,PT,EN;diptongo decreciente palatal
108;/uj/;U_J;DIPTONGO;decreciente-palatal;1;1;0;0;EN;diptongo decreciente palatal

109;/aw/;A_W;DIPTONGO;decreciente-labiovelar;1;1;0;0;ES,CA,GL,PT,EN;diptongo decreciente labiovelar
110;/ew/;E_W;DIPTONGO;decreciente-labiovelar;1;1;0;0;EN;diptongo decreciente labiovelar
111;/ow/;O_W;DIPTONGO;decreciente-labiovelar;1;1;0;0;EN;diptongo decreciente labiovelar
112;/uw/;U_W;DIPTONGO;decreciente-labiovelar;1;1;0;0;UNIV;diptongo decreciente labiovelar

113;/aɥ/;A_H;DIPTONGO;decreciente-labial-palatal;1;1;0;0;FR;diptongo decreciente labial-palatal
114;/eɥ/;E_H;DIPTONGO;decreciente-labial-palatal;1;1;0;0;FR;diptongo decreciente labial-palatal
115;/oɥ/;O_H;DIPTONGO;decreciente-labial-palatal;1;1;0;0;FR;diptongo decreciente labial-palatal

116;/ãj/;A_N_J;DIPTONGO;nasal-decreciente-palatal;1;1;0;0;PT;diptongo nasal decreciente palatal
117;/õj/;O_N_J;DIPTONGO;nasal-decreciente-palatal;1;1;0;0;PT;diptongo nasal decreciente palatal
118;/ãw/;A_N_W;DIPTONGO;nasal-decreciente-labiovelar;1;1;0;0;PT;diptongo nasal decreciente labiovelar
119;/õw/;O_N_W;DIPTONGO;nasal-decreciente-labiovelar;1;1;0;0;PT;diptongo nasal decreciente labiovelar

130;/jai/;J_A_J;TRIPTONGO;palatal-palatal;1;0;0;0;ES;triptongo con semivocal palatal inicial y final
131;/joi/;J_O_J;TRIPTONGO;palatal-palatal;1;0;0;0;UNIV;triptongo palatal-palatal
132;/jui/;J_U_J;TRIPTONGO;palatal-palatal;1;0;0;0;UNIV;triptongo palatal-palatal
133;/jaw/;J_A_W;TRIPTONGO;palatal-labiovelar;1;0;0;0;UNIV;triptongo palatal-labiovelar
134;/jew/;J_E_W;TRIPTONGO;palatal-labiovelar;1;0;0;0;UNIV;triptongo palatal-labiovelar
135;/jow/;J_O_W;TRIPTONGO;palatal-labiovelar;1;0;0;0;UNIV;triptongo palatal-labiovelar
136;/wai/;W_A_J;TRIPTONGO;labiovelar-palatal;1;0;0;0;ES,PT;triptongo labiovelar-palatal
137;/wei/;W_E_J;TRIPTONGO;labiovelar-palatal;1;0;0;0;UNIV;triptongo labiovelar-palatal
138;/woi/;W_O_J;TRIPTONGO;labiovelar-palatal;1;0;0;0;UNIV;triptongo labiovelar-palatal
139;/waw/;W_A_W;TRIPTONGO;labiovelar-labiovelar;1;0;0;0;UNIV;triptongo labiovelar-labiovelar
140;/wew/;W_E_W;TRIPTONGO;labiovelar-labiovelar;1;0;0;0;UNIV;triptongo labiovelar-labiovelar
141;/wow/;W_O_W;TRIPTONGO;labiovelar-labiovelar;1;0;0;0;UNIV;triptongo labiovelar-labiovelar
142;/ɥai/;H_A_J;TRIPTONGO;labial-palatal-palatal;1;0;0;0;FR;triptongo labial-palatal-palatal
143;/ɥei/;H_E_J;TRIPTONGO;labial-palatal-palatal;1;0;0;0;FR;triptongo labial-palatal-palatal
144;/ɥoi/;H_O_J;TRIPTONGO;labial-palatal-palatal;1;0;0;0;FR;triptongo labial-palatal-palatal
145;/ɥaw/;H_A_W;TRIPTONGO;labial-palatal-labiovelar;1;0;0;0;FR;triptongo labial-palatal-labiovelar
146;/ɥew/;H_E_W;TRIPTONGO;labial-palatal-labiovelar;1;0;0;0;FR;triptongo labial-palatal-labiovelar
147;/ɥow/;H_O_W;TRIPTONGO;labial-palatal-labiovelar;1;0;0;0;FR;triptongo labial-palatal-labiovelar
148;/jãj/;J_A_N_J;TRIPTONGO;nasal-palatal-palatal;1;0;0;0;PT;triptongo nasal palatal-palatal
149;/jẽj/;J_E_N_J;TRIPTONGO;nasal-palatal-palatal;1;0;0;0;PT;triptongo nasal palatal-palatal
150;/jõj/;J_O_N_J;TRIPTONGO;nasal-palatal-palatal;1;0;0;0;PT;triptongo nasal palatal-palatal
151;/wãj/;W_A_N_J;TRIPTONGO;nasal-labiovelar-palatal;1;0;0;0;PT;triptongo nasal labiovelar-palatal
152;/wẽj/;W_E_N_J;TRIPTONGO;nasal-labiovelar-palatal;1;0;0;0;PT;triptongo nasal labiovelar-palatal
153;/wõj/;W_O_N_J;TRIPTONGO;nasal-labiovelar-palatal;1;0;0;0;PT;triptongo nasal labiovelar-palatal
154;/jãw/;J_A_N_W;TRIPTONGO;nasal-palatal-labiovelar;1;0;0;0;PT;triptongo nasal palatal-labiovelar
155;/jẽw/;J_E_N_W;TRIPTONGO;nasal-palatal-labiovelar;1;0;0;0;PT;triptongo nasal palatal-labiovelar
156;/jõw/;J_O_N_W;TRIPTONGO;nasal-palatal-labiovelar;1;0;0;0;PT;triptongo nasal palatal-labiovelar
157;/ɥãj/;H_A_N_J;TRIPTONGO;nasal-labial-palatal-palatal;1;0;0;0;FR;triptongo nasal labial-palatal-palatal
158;/ɥẽj/;H_E_N_J;TRIPTONGO;nasal-labial-palatal-palatal;1;0;0;0;FR;triptongo nasal labial-palatal-palatal
159;/ɥõj/;H_O_N_J;TRIPTONGO;nasal-labial-palatal-palatal;1;0;0;0;FR;triptongo nasal labial-palatal-palatal
160;/ɥãw/;H_A_N_W;TRIPTONGO;nasal-labial-palatal-labiovelar;1;0;0;0;FR;triptongo nasal labial-palatal-labiovelar
161;/ɥẽw/;H_E_N_W;TRIPTONGO;nasal-labial-palatal-labiovelar;1;0;0;0;FR;triptongo nasal labial-palatal-labiovelar
162;/ɥõw/;H_O_N_W;TRIPTONGO;nasal-labial-palatal-labiovelar;1;0;0;0;FR;triptongo nasal labial-palatal-labiovelar
163;/jai̯/;J_AI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable
164;/joi̯/;J_OI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable
165;/wai̯/;W_AI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable
166;/woi̯/;W_OI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable
167;/ɥai̯/;H_AI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable
168;/ɥoi̯/;H_OI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable
169;/ɥui̯/;H_UI;TRIPTONGO;universal-razonable;1;0;0;0;UNIV;triptongo universal razonable

180;/p/;P;CONSONANTE;oclusiva-bilabial-sorda;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;oclusiva bilabial sorda
181;/b/;B;CONSONANTE;oclusiva-bilabial-sonora;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;oclusiva bilabial sonora
182;/β/;B_FRIC;CONSONANTE;fricativa-bilabial-sonora;0;0;0;1;ES;fricativa bilabial sonora
183;/m/;M;CONSONANTE;nasal-bilabial;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;nasal bilabial

184;/t/;T;CONSONANTE;oclusiva-dental-sorda;0;0;0;1;ES,CA,GL,EU,PT,FR;oclusiva dental sorda
185;/d/;D;CONSONANTE;oclusiva-dental-sonora;0;0;0;1;ES,CA,GL,EU,PT,FR;oclusiva dental sonora
186;/θ/;TH;CONSONANTE;fricativa-dental-sorda;0;0;0;1;ES;fricativa dental sorda
187;/ð/;DH;CONSONANTE;fricativa-dental-sonora;0;0;0;1;EN;fricativa dental sonora
188;/n/;N;CONSONANTE;nasal-dental;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;nasal dental

189;/c/;C;CONSONANTE;oclusiva-palatal-sorda;0;0;0;1;UNIV;oclusiva palatal sorda
190;/ɟ/;J_OC;CONSONANTE;oclusiva-palatal-sonora;0;0;0;1;UNIV;oclusiva palatal sonora
191;/ɲ/;NY;CONSONANTE;nasal-palatal;0;0;0;1;ES,CA,GL,PT,FR;nasal palatal
192;/ʎ/;LL;CONSONANTE;lateral-palatal;0;0;0;1;CA,GL,IT;lateral palatal

193;/k/;K;CONSONANTE;oclusiva-velar-sorda;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;oclusiva velar sorda
194;/g/;G;CONSONANTE;oclusiva-velar-sonora;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;oclusiva velar sonora
195;/ɣ/;G_FRIC;CONSONANTE;fricativa-velar-sonora;0;0;0;1;ES;fricativa velar sonora
196;/ŋ/;NG;CONSONANTE;nasal-velar;0;0;0;1;EN,PT;nasal velar

197;/q/;Q;CONSONANTE;oclusiva-uvular-sorda;0;0;0;1;UNIV;oclusiva uvular sorda
198;/ɢ/;G_UV;CONSONANTE;oclusiva-uvular-sonora;0;0;0;1;UNIV;oclusiva uvular sonora
199;/ʁ/;R_UV;CONSONANTE;fricativa-uvular-sonora;0;0;0;1;FR;fricativa uvular sonora

200;/f/;F;CONSONANTE;fricativa-labiodental-sorda;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;fricativa labiodental sorda
201;/v/;V;CONSONANTE;fricativa-labiodental-sonora;0;0;0;1;EN,FR,PT;fricativa labiodental sonora

202;/s/;S;CONSONANTE;fricativa-alveolar-sorda;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;fricativa alveolar sorda
203;/z/;Z;CONSONANTE;fricativa-alveolar-sonora;0;0;0;1;EN,FR,PT;fricativa alveolar sonora
204;/ʃ/;SH;CONSONANTE;fricativa-postalveolar-sorda;0;0;0;1;EN,FR,PT;fricativa postalveolar sorda
205;/ʒ/;ZH;CONSONANTE;fricativa-postalveolar-sonora;0;0;0;1;FR,PT;fricativa postalveolar sonora
206;/ɕ/;C_SH;CONSONANTE;fricativa-alveolopalatal-sorda;0;0;0;1;UNIV;fricativa alveolopalatal sorda
207;/ʑ/;Z_SH;CONSONANTE;fricativa-alveolopalatal-sonora;0;0;0;1;UNIV;fricativa alveolopalatal sonora

208;/h/;H;CONSONANTE;fricativa-glotal-sorda;0;0;0;1;EN,PT;fricativa glotal sorda

209;/t͡ʃ/;CH;CONSONANTE;africada-postalveolar-sorda;0;0;0;1;ES,CA,GL,PT,EN;africada postalveolar sorda
210;/d͡ʒ/;DJ;CONSONANTE;africada-postalveolar-sonora;0;0;0;1;EN,PT;africada postalveolar sonora
211;/t͡ɕ/;C_TSH;CONSONANTE;africada-alveolopalatal-sorda;0;0;0;1;UNIV;africada alveolopalatal sorda
212;/d͡ʑ/;D_TSH;CONSONANTE;africada-alveolopalatal-sonora;0;0;0;1;UNIV;africada alveolopalatal sonora

213;/l/;L;CONSONANTE;lateral-alveolar;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;lateral alveolar
214;/ɾ/;R_SIMPLE;CONSONANTE;vibrante-simple;0;0;0;1;ES,CA,GL,PT;vibrante simple
215;/r/;R;CONSONANTE;vibrante-multiple;0;0;0;1;ES,CA,GL,PT;vibrante múltiple

216;/j/;J;CONSONANTE;aproximante-palatal;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;aproximante palatal
217;/w/;W;CONSONANTE;aproximante-labiovelar;0;0;0;1;ES,CA,GL,EU,PT,EN,FR;aproximante labiovelar
218;/ɥ/;H_SEMI;CONSONANTE;aproximante-labial-palatal;0;0;0;1;FR;aproximante labial-palatal

219;/ʋ/;V_AP;CONSONANTE;aproximante-labiodental;0;0;0;1;UNIV;aproximante labiodental
220;/ɹ/;R_AP;CONSONANTE;aproximante-alveolar;0;0;0;1;EN;aproximante alveolar
221;/ɻ/;R_RETRO;CONSONANTE;aproximante-retroflexa;0;0;0;1;UNIV;aproximante retrofleja
222;/j̊/;J_S;CONSONANTE;aproximante-palatal-sorda;0;0;0;1;UNIV;aproximante palatal sorda
223;/ẘ/;W_S;CONSONANTE;aproximante-labiovelar-sorda;0;0;0;1;UNIV;aproximante labiovelar sorda

224;/ɫ/;L_VEL;CONSONANTE;lateral-velarizada;0;0;0;1;EN,PT;lateral velarizada
225;/ʟ/;L_UV;CONSONANTE;lateral-uvular;0;0;0;1;UNIV;lateral uvular

226;/ɱ/;M_LABD;CONSONANTE;nasal-labiodental;0;0;0;1;UNIV;nasal labiodental
227;/ɳ/;N_RETRO;CONSONANTE;nasal-retroflexa;0;0;0;1;UNIV;nasal retrofleja
228;/ɲ̊/;NY_S;CONSONANTE;nasal-palatal-sorda;0;0;0;1;UNIV;nasal palatal sorda

229;/ʔ/;GLOT_STOP;CONSONANTE;oclusiva-glotal;0;0;0;1;EN,AR;oclusiva glotal
230;/ʕ/;PHAR_SON;CONSONANTE;fricativa-faringea-sonora;0;0;0;1;UNIV;fricativa faríngea sonora
231;/ħ/;PHAR_S;CONSONANTE;fricativa-faringea-sorda;0;0;0;1;UNIV;fricativa faríngea sorda

232;/ɬ/;L_FRIC;CONSONANTE;fricativa-lateral-sorda;0;0;0;1;UNIV;fricativa lateral sorda
233;/ɮ/;L_FRIC_S;CONSONANTE;fricativa-lateral-sonora;0;0;0;1;UNIV;fricativa lateral sonora

234;/ʘ/;BILAB_CLICK;CONSONANTE;clic-bilabial;0;0;0;1;UNIV;clic bilabial
235;/ǀ/;DENT_CLICK;CONSONANTE;clic-dental;0;0;0;1;UNIV;clic dental
236;/ǃ/;ALV_CLICK;CONSONANTE;clic-alveolar;0;0;0;1;UNIV;clic alveolar
237;/ǂ/;PAL_CLICK;CONSONANTE;clic-palatal;0;0;0;1;UNIV;clic palatal
238;/ǁ/;LAT_CLICK;CONSONANTE;clic-lateral;0;0;0;1;UNIV;clic lateral
239;/‼/;CLICK_MARK;CONSONANTE;clic-variante;0;0;0;1;UNIV;clic variante

250;ˈ;STRESS1;PROSODICO;acento-primario;0;0;0;0;UNIV;acento primario
251;ˌ;STRESS2;PROSODICO;acento-secundario;0;0;0;0;UNIV;acento secundario
252;ː;LONG;PROSODICO;alargamiento;0;0;0;0;UNIV;marca de alargamiento
253;ˑ;HALFLONG;PROSODICO;semialargamiento;0;0;0;0;UNIV;marca de semialargamiento
254;̆;BREVE;PROSODICO;brevedad;0;0;0;0;UNIV;marca de brevedad

255;.|;PAUSE1;PROSODICO;pausa-menor;0;0;0;0;UNIV;pausa menor
256;‖;PAUSE2;PROSODICO;pausa-mayor;0;0;0;0;UNIV;pausa mayor
257;.;END;PROSODICO;fin-enunciado;0;0;0;0;UNIV;fin de enunciado
258;,;CONT;PROSODICO;continuacion;0;0;0;0;UNIV;continuación prosódica

259;̃;NASAL;SUPRASEG;nasalizacion;0;0;0;0;UNIV;marca de nasalización
260;̥;DEVOIC;SUPRASEG;ensordecimiento;0;0;0;0;UNIV;marca de ensordecimiento
261;̬;VOICE;SUPRASEG;sonorizacion;0;0;0;0;UNIV;marca de sonorización
262;̹;LAB;SUPRASEG;labializacion;0;0;0;0;UNIV;marca de labialización
263;̜;DELAB;SUPRASEG;deslabializacion;0;0;0;0;UNIV;marca de deslabialización
264;̟;ADV;SUPRASEG;avance;0;0;0;0;UNIV;marca de avance articulatorio
265;̠;RET;SUPRASEG;retroceso;0;0;0;0;UNIV;marca de retroceso articulatorio
266;̝;RAISE;SUPRASEG;elevacion;0;0;0;0;UNIV;marca de elevación
267;̞;LOWER;SUPRASEG;descenso;0;0;0;0;UNIV;marca de descenso
268;̘;ADV_TONG;SUPRASEG;lengua-avanzada;0;0;0;0;UNIV;marca de lengua adelantada
269;̙;RET_TONG;SUPRASEG;lengua-retraida;0;0;0;0;UNIV;marca de lengua retraída

270;̤;BREATHY;SUPRASEG;voz-soplada;0;0;0;0;UNIV;marca de voz soplada
271;̰;CREAKY;SUPRASEG;voz-creaky;0;0;0;0;UNIV;marca de voz creaky
272;̪;DENT;SUPRASEG;dentalizacion;0;0;0;0;UNIV;marca de dentalización
273;̺;APICAL;SUPRASEG;apical;0;0;0;0;UNIV;marca apical
274;̻;LAMINAL;SUPRASEG;laminal;0;0;0;0;UNIV;marca laminal

275;͡;TIE;SUPRASEG;coarticulacion;0;0;0;0;UNIV;marca de coarticulación
276;‿;LIAISON;SUPRASEG;ligadura;0;0;0;0;UNIV;marca de ligadura
277;+;JUNCT;SUPRASEG;juntura;0;0;0;0;UNIV;juntura prosódica

278;̚;NO_RELEASE;SUPRASEG;oclusiva-sin-liberacion;0;0;0;0;UNIV;marca de oclusiva sin liberación
279;̟̥;ADV_DEVOIC;SUPRASEG;avance-ensordecido;0;0;0;0;UNIV;avance con ensordecimiento
280;̠̬;RET_VOIC;SUPRASEG;retroceso-sonorizado;0;0;0;0;UNIV;retroceso con sonorización

281;̩;SYLL;SUPRASEG;silabicidad;0;0;0;0;UNIV;marca de consonante silábica
282;̯;NON_SYLL;SUPRASEG;no-silabico;0;0;0;0;UNIV;marca de elemento no silábico

