Prefijo;Tipo;Origen;Notas;Activo;es;ca;ca-va;ca-ib;gl;eu;pt-eu;pt-br;fr;en-gb
hepta;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
hetero;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
hexa;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
hidro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
higro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
holo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
homo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
icono;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
idio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
iso;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
kilo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
leuco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
lipo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
lito;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
macro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
mega;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
meso;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
meta;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
micro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
mili;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
miria;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
mio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
mono;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
morfo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
multi;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
nano;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
necro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
nefro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
neo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
neumo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
neuro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
octo;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
oligo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
onco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
onto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
ornito;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
osteo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1

paleo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
para;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
pato;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
penta;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
peri;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
pilo;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
pino;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
piro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
podo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
poli;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
poro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
proto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
psico;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
ptero;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
quimio;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
quiro;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
radio;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
rino;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
sarco;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
septo;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
seudo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
sidero;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
socio;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
soma;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
spermato;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
taqui;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tecno;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tele;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tera;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
termo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tetra;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tomo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tono;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
toxi;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
tri;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
xeno;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
xero;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
xilo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
zoo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1

orto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
pan;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
peri;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
poli;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
pos;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
post;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
pre;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
proto;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
pseudo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
retro;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
semi;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
sobre;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
sub;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
super;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
tele;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
trans;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
tri;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
ultra;formante;Latino;;1;1;1;1;1;1;1;1;1;1;1
xeno;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
zoo;formante;Griego;;1;1;1;1;1;1;1;1;1;1;1
