Prefijo;Tipo;Origen;Notas;Activo;es;ca;ca-va;ca-ib;gl;eu;pt-eu;pt-br;fr;en-gb
ferro;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
filo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
fisio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
fito;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
fono;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
foto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
galacto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
gastro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
geo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
geronto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
giga;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
gineco;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
gluco;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
grafo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
helio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemato;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hepato;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hepta;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hetero;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hexa;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
hidro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
higro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
holo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
homo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
iso;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1

higro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
holo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
homo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
iso;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
kilo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
mega;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
meta;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
micro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
mili;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
miria;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
morfo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
mio;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
necro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
nefro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
neo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
neumo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
neuro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
nano;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
octo;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
oligo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
onco;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
onto;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
ornito;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
osteo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
paleo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
para;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
pato;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
penta;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
peri;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
piro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
podo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
poli;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
proto;auténtico;Griego;;1;1;0;0;0;1;0;1;1;1;0
psico;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
quiro;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
rino;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
sarco;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
seudo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
sin;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
taqui;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
tecno;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
tele;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
tera;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
termo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
tetra;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
tri;auténtico;Latino;;1;1;1;1;1;1;1;1;1;1;1
xeno;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
xero;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
xilo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1
zoo;auténtico;Griego;;1;1;1;1;1;1;1;1;1;1;1

acanto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
acro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
ad;prefijoide;Latino;;1;1;0;0;0;1;0;1;1;1;0
adeno;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
aero;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
agro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
alo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
ana;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
andro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
anemo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
anfi;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
angio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
anglo;prefijoide;Inglés;;1;1;1;1;1;1;1;1;1;1;1
an;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
antropo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
arqueo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
astro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
audio;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
auto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
baro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
biblio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
bio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cardio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cata;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cefalo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
centi;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
clepto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cis;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
cito;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
co;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
com;prefijoide;Latino;;1;1;0;0;0;1;0;1;1;1;0
cosmo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
crio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cripto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cromo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
crono;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cuadri;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
dactilo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
deca;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
demo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
dento;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
dermato;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
dermo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
dia;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
di;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
dodeca;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
eco;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
ecto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
electro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
endo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
eno;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
eritro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
etno;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
exo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
equi;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
fago;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
ferro;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
filo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
fisio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
fito;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
fono;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
foto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
galacto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
gastro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
geo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1


geronto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
giga;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
gineco;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
gluco;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
grafo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
helio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemato;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hepato;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hepta;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hetero;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hexa;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hidro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hidra;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemi;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
higro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
holo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
homo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
iso;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
leuco;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
lipo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
lito;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
macro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
mega;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
meso;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
meta;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
micro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
miria;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
morfo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
mio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
mili;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
necro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
nefro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
neo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
neumo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
neuro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
nano;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
octo;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
oligo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
onco;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
onto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
ornito;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
osteo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
paleo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
para;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
pato;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
penta;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
peri;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
piro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
podo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
poli;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
proto;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
psico;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
quiro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
rino;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
sarco;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
seudo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
sin;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
taqui;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
tecno;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
tele;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
tera;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
termo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
tetra;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
tri;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
xeno;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
xero;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
xilo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
zoo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1


acú;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ambi;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ambi-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ambi(o);prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ambi-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
anaero;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
angi(o);prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
anteo;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
antropo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
anti-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
antropo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
arqui;prefijoide;Griego;;1;1;0;0;0;1;0;1;1;1;1
auto-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
bari;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
bi-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
bio-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
braqui;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
brio;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cardio-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cefalo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
centi-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ciano;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cine;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cloro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
co-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
colo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cono;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
corno;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
cráneo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
crio-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
crono-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
cuasi;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
cuatri;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
cuatri-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
cuatri(o);prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
cuatri-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
deca-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
demo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
dendro;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
dodeca-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
eco-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
ecto-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
electro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
endo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
eno-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
entero;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
eritro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
espiro;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
estereo;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
etno-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
exo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
extra-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
ferro-;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
fito-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
fono-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
foto-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
galacto-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
gastro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
geo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1


ger;prefijoide;Latino;;1;1;1;1;1;1;1;1;1;1;1
gine-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
gluco-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
graf-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
helio-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hemo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hepato-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hetero-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
hidro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
higro-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
holo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
homo-;prefijoide;Griego;;1;1;1;1;1;1;1;1;1;1;1
